cell_id,op,proof_id,op_seq,kind,expected_status,status,revert_reason,return_value,computational_gas,pubdata_bytes,pubdata_gas,gas_per_pubdata,gas_used,calldata_bytes,calldata_sha256,bytecode_bytes,bytecode_hash,contract_address,tx_hash,block_number
primary-groth16-d5,deploy_verifier,,1,tx,1,1,,,487466,3371,283164,84,769405,132,ba9355c38a8104edd1b3d0495ba83f8ca373a6932a9f92d7a01b73e65ed12bf9,3040,0x0100005fe1f7eb30ff73bf3a9f18dde1706f4fc092896fe69c2f23e554859b64,0x588758d8a0Ad1162A6294f3C274753137E664aE0,0x000e204ca1a431753759067cb870e6b33278cf4815db6ff768be21ce7b6621aa,1
primary-groth16-d5,deploy_manager,,2,tx,1,1,,,730737,5389,452676,84,1181454,164,a7a9ebb5b6128cae73685632e104199605917f6da6298e585bd96b4abfb483a3,6752,0x010000d37155e3640948296be420258a2e1a98adb16b55738b817247e9fd54eb,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,0x8c110816e7925ea29a351117dd169a87e466e2a5d8c5c6e0c8321ff79f631cf9,3
primary-groth16-d5,set_issuer,,3,tx,1,1,,,124477,51,4284,84,128742,68,727fd06686258f939093f54b4f3c375b0f3052da4ba7867e73d6f93a90702a06,,,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,0x713564879c8aff6031e6624c8058f345711ab28df94e9be12b15a64f20b02b53,5
primary-groth16-d5,add_root,,4,tx,1,1,,,124797,51,4284,84,129062,36,b91c4cff980f8874fb8d0fca3dd2b3046defc125bb26b20f9f41f40dec3d44ad,,,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,0x5e364c59718431f15f59f71461e49a4af077fe9c2edb59374c5128c3809ac4fa,7
primary-groth16-d5,precheck_call,G16-d5-p0,5,call,call,call,,true,,,,,,292,5837cb8f85853d1b4c5630e24fd145aeeb696d2dcc92dcf8c0220201ca5ef8a8,,,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,,
primary-groth16-d5,verify_credential,G16-d5-p0,6,tx,1,1,,true,451324,18,1512,84,452829,292,5837cb8f85853d1b4c5630e24fd145aeeb696d2dcc92dcf8c0220201ca5ef8a8,,,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,0x1126c7cc680225882b677ea854fb1032b6aff536cf286ccfdff4b5f9869f0ebd,9
primary-groth16-d5,verify_proof_call,G16-d5-p0,7,call,call,call,,true,,,,,,292,38f356f938ae3972d0d16abf8b3d053f411f73f5e13f61d42c5093a3e09bf3e3,,,0x588758d8a0Ad1162A6294f3C274753137E664aE0,,
primary-groth16-d5,verify_proof_direct,G16-d5-p0,8,tx,1,1,,true,444311,18,1512,84,445816,292,38f356f938ae3972d0d16abf8b3d053f411f73f5e13f61d42c5093a3e09bf3e3,,,0x588758d8a0Ad1162A6294f3C274753137E664aE0,0xa4eddf96b537d4333f9e334b56c0a87866befea5770d10a8f995c1e94089a61c,11
primary-groth16-d5,neg_unknown_root,G16-d10-p0,9,tx,0,0,Invalid root,,118680,18,1512,84,120185,292,9730c9450f195fc730e64f4d7205cbf45b26ff9f17580d9d401e13400ba0e3aa,,,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,0xc65e47c100eb2a1f3c717853e61d3539e13fa64e5a630009122424300ce5c4fb,13
primary-groth16-d5,neg_tampered_call,G16-d5-p0,10,call,call,call,,false,,,,,,292,5169eaca91f388b9c453d6920bfc9ce86df4f28ac6f0c930b136dab1d05064cc,,,0x588758d8a0Ad1162A6294f3C274753137E664aE0,,
primary-groth16-d5,neg_tampered,G16-d5-p0,11,tx,0,0,Invalid proof,,451051,18,1512,84,452556,292,3706b086d0a5ec6b62119ecca236a168e121207ecd0d35c0be12cc6ee34c92c1,,,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,0x63084fc762770abcdc00fd9f4fb82305cd0f734f086348ef9f9c42261fdc5ff5,15
primary-groth16-d5,neg_cross_depth_setup,G16-d10-p0,12,tx,1,1,,,124797,51,4284,84,129062,36,c70e0fc0dcce1b144b1b3352307a21f93a93f2fce4e70bc9dec9627a6e721205,,,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,0x2ea093dd12ed3ae78d0e15d630902536c91164d2c047c71ca05957809a5ff09d,17
primary-groth16-d5,neg_cross_depth_call,G16-d10-p0,13,call,call,call,,false,,,,,,292,00d891db3117c020bf1d8ac8aacda4825f46fbd4c9b717316cfac8afe0a258f1,,,0x588758d8a0Ad1162A6294f3C274753137E664aE0,,
primary-groth16-d5,neg_cross_depth,G16-d10-p0,14,tx,0,0,Invalid proof,,451089,18,1512,84,452594,292,9730c9450f195fc730e64f4d7205cbf45b26ff9f17580d9d401e13400ba0e3aa,,,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,0x055c49832ca65f4fdd46652c00878edfda46f33c578d075ffe74951ff5518639,19
primary-groth16-d5,neg_non_issuer,G16-d5-p0,15,tx,0,0,CredentialManager: not issuer,,118599,45,3780,84,122362,36,b91c4cff980f8874fb8d0fca3dd2b3046defc125bb26b20f9f41f40dec3d44ad,,,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,0x9942be09712475aea01e4b86ff7e929c5dc4cf38deddf130e36a735872b26093,21
primary-plonk-d10,deploy_verifier,,1,tx,1,1,,,2906398,24523,2059932,84,4957419,132,bdfab204242816186ca7f3d5295a88ceb0701d0aa8b0b4f67b6ebefebc5e5880,41824,0x0100051bb9cfc72f77646c32d6a9a333146a15075f8f1fa25c6002ff333ee19a,0x588758d8a0Ad1162A6294f3C274753137E664aE0,0x72f595315a2d5fa29001067a7439ccbd311e1b3dd0b09e470f0c2896cfa8fa5e,1
primary-plonk-d10,deploy_manager,,2,tx,1,1,,,717867,5261,441924,84,1157879,164,5ae41b7f8aa8271295fd8de1e55bf63ed775a74acada927c682a6adf2b2a742b,6624,0x010000cf8ad512f1d77f4733ef95b69a7329a5310824ac0599410635c1c0ebcf,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,0x90e146665c904a54107cc501f9edb87cbf72f9e49537ea08f3cd4720cefb8b58,3
