source,contract,depth,bytecode_bytes,bytecode_words,bytecode_hash,bytecode_sha256,eravm_size_ok,deployed_in_matrix
contracts/chain/CredentialManagerGroth16.sol,CredentialManagerGroth16,,6752,211,0x010000d37155e3640948296be420258a2e1a98adb16b55738b817247e9fd54eb,3f186bb57155e3640948296be420258a2e1a98adb16b55738b817247e9fd54eb,1,1
contracts/chain/CredentialManagerPlonk.sol,CredentialManagerPlonk,,6624,207,0x010000cf8ad512f1d77f4733ef95b69a7329a5310824ac0599410635c1c0ebcf,27a368628ad512f1d77f4733ef95b69a7329a5310824ac0599410635c1c0ebcf,1,1
contracts/Groth16LegacyVerifierDepth5.sol,Groth16LegacyVerifierDepth5,5,3040,95,0x0100005fe1f7eb30ff73bf3a9f18dde1706f4fc092896fe69c2f23e554859b64,f850e13de1f7eb30ff73bf3a9f18dde1706f4fc092896fe69c2f23e554859b64,1,1
contracts/Groth16LegacyVerifierDepth6.sol,Groth16LegacyVerifierDepth6,6,3040,95,0x0100005f52255742226f05800a4e7dfa7d113bb34bedc99987908555f4398148,94699daa52255742226f05800a4e7dfa7d113bb34bedc99987908555f4398148,1,0
contracts/Groth16LegacyVerifierDepth7.sol,Groth16LegacyVerifierDepth7,7,3040,95,0x0100005fb25c1e6da133feeeec9241705eec7a0952dcb9fb69b4abd04fb66281,18617e18b25c1e6da133feeeec9241705eec7a0952dcb9fb69b4abd04fb66281,1,0
contracts/Groth16LegacyVerifierDepth8.sol,Groth16LegacyVerifierDepth8,8,3040,95,0x0100005f81382155d2bed8292cb8d5610a4a877654a68acfa038aefe511fae91,1656eb8f81382155d2bed8292cb8d5610a4a877654a68acfa038aefe511fae91,1,0
contracts/Groth16LegacyVerifierDepth9.sol,Groth16LegacyVerifierDepth9,9,3040,95,0x0100005f49dc1cd2f675034815695fda56b741d4f65b83b5c4ba4b3165028f2b,72e9528149dc1cd2f675034815695fda56b741d4f65b83b5c4ba4b3165028f2b,1,0
contracts/Groth16LegacyVerifierDepth10.sol,Groth16LegacyVerifierDepth10,10,3040,95,0x0100005f6d9e45181edea5c8b96077efc04e7b3bac094201038cf8e0b4224cdb,77bf45466d9e45181edea5c8b96077efc04e7b3bac094201038cf8e0b4224cdb,1,1
contracts/Groth16LegacyVerifierDepth11.sol,Groth16LegacyVerifierDepth11,11,3040,95,0x0100005f89c4cefae9b82d938e5f49479fd773521ddfd615284396aa1bbb65c1,3be22e7e89c4cefae9b82d938e5f49479fd773521ddfd615284396aa1bbb65c1,1,1
contracts/Groth16LegacyVerifierDepth12.sol,Groth16LegacyVerifierDepth12,12,3040,95,0x0100005f043fcb8bdd66bd13b3da3f666e5123dc99be1cf27c28bfcd38f14b28,c4e971fd043fcb8bdd66bd13b3da3f666e5123dc99be1cf27c28bfcd38f14b28,1,0
contracts/Groth16LegacyVerifierDepth13.sol,Groth16LegacyVerifierDepth13,13,3040,95,0x0100005f1dc23fc7534a3857827ca9b0cdd4e6db1ed82dbf90129ab0ee1a194f,eeb9dcca1dc23fc7534a3857827ca9b0cdd4e6db1ed82dbf90129ab0ee1a194f,1,0
contracts/Groth16LegacyVerifierDepth14.sol,Groth16LegacyVerifierDepth14,14,3040,95,0x0100005ff9c94468ef04aa3abb837da073e72420031329a99b0b989ad2e597b7,c395ef87f9c94468ef04aa3abb837da073e72420031329a99b0b989ad2e597b7,1,0
contracts/Groth16LegacyVerifierDepth15.sol,Groth16LegacyVerifierDepth15,15,3040,95,0x0100005f8b33ef34b7a471fdd08e49fad8475b02e36738a1bb52cd8cbae4ec59,5a9f361c8b33ef34b7a471fdd08e49fad8475b02e36738a1bb52cd8cbae4ec59,1,1
contracts/chain/PlonkVerifierDepth5.sol,PlonkVerifierDepth5,5,41824,1307,0x0100051b574ff5fa13334fda8cd311790adb11aca28279960e75147e6d0e8872,329448ea574ff5fa13334fda8cd311790adb11aca28279960e75147e6d0e8872,1,1
contracts/chain/PlonkVerifierDepth6.sol,PlonkVerifierDepth6,6,41824,1307,0x0100051b5622328107e72cf3fcd1edcc8194cf1e747b85af455699879077834f,eaec49395622328107e72cf3fcd1edcc8194cf1e747b85af455699879077834f,1,0
contracts/chain/PlonkVerifierDepth7.sol,PlonkVerifierDepth7,7,41824,1307,0x0100051b0f86003ea78b072405b27ded3e02c8f5062133a885461366f1a7abb1,4cd77b6f0f86003ea78b072405b27ded3e02c8f5062133a885461366f1a7abb1,1,0
contracts/chain/PlonkVerifierDepth8.sol,PlonkVerifierDepth8,8,41824,1307,0x0100051b587c2f545720118bfdad5f5f14b44b45af3beb73893c8854198dfbe3,6644c518587c2f545720118bfdad5f5f14b44b45af3beb73893c8854198dfbe3,1,0
contracts/chain/PlonkVerifierDepth9.sol,PlonkVerifierDepth9,9,41824,1307,0x0100051b2d35ed53f91662363aacad518d0f1d5bef6fcc7355de6d7d9dd46fe2,51ce620d2d35ed53f91662363aacad518d0f1d5bef6fcc7355de6d7d9dd46fe2,1,0
contracts/chain/PlonkVerifierDepth10.sol,PlonkVerifierDepth10,10,41824,1307,0x0100051bb9cfc72f77646c32d6a9a333146a15075f8f1fa25c6002ff333ee19a,bf95ada5b9cfc72f77646c32d6a9a333146a15075f8f1fa25c6002ff333ee19a,1,1
contracts/chain/PlonkVerifierDepth11.sol,PlonkVerifierDepth11,11,42208,1319,0x0100052778196cbbed42200c01f2280655dacb2e92a94516f3d56c93d48e4b62,22b03e4178196cbbed42200c01f2280655dacb2e92a94516f3d56c93d48e4b62,1,1
contracts/chain/PlonkVerifierDepth12.sol,PlonkVerifierDepth12,12,42208,1319,0x01000527c8b58592692b22d50d60a700f1542588e63f518224860134fb683e41,aa23668ec8b58592692b22d50d60a700f1542588e63f518224860134fb683e41,1,0
contracts/chain/PlonkVerifierDepth13.sol,PlonkVerifierDepth13,13,42208,1319,0x01000527468578ce3487b394af8e15ef8f305654e7abcf03b41a5c08faa91940,9f832ab7468578ce3487b394af8e15ef8f305654e7abcf03b41a5c08faa91940,1,0
contracts/chain/PlonkVerifierDepth14.sol,PlonkVerifierDepth14,14,42208,1319,0x010005277bc1473e29a152c9a2a22a5bbce586057cafb6f8ce6b9b1237172665,ce2a4e9e7bc1473e29a152c9a2a22a5bbce586057cafb6f8ce6b9b1237172665,1,0
contracts/chain/PlonkVerifierDepth15.sol,PlonkVerifierDepth15,15,42208,1319,0x0100052765cab970b17b0cdc721bf5c98f284c5cfa3453344da2e2c80a2a9459,2777fef065cab970b17b0cdc721bf5c98f284c5cfa3453344da2e2c80a2a9459,1,1
