cell_id,backend,depth,op_seq,op,kind,proof_id,proof_j,leaf_index,from_account,contract_name,gas_limit,expected_status,status,expected_revert,revert_reason,expected_return,return_value,check_pass,computational_gas,pubdata_bytes,pubdata_gas,gas_per_pubdata,gas_used,gas_used_derived,calldata_bytes,raw_tx_bytes,factory_deps,bytecode_bytes,bytecode_hash,bytecode_matches_artifact,calldata_sha256
primary-groth16-d5,groth16,5,1,deploy_verifier,tx,,,,A0,Groth16LegacyVerifierDepth5,20000000,1,1,,,,,1,487466,3371,283164,84,769405,769405,132,3322,1,3040,0x0100005fe1f7eb30ff73bf3a9f18dde1706f4fc092896fe69c2f23e554859b64,1,ba9355c38a8104edd1b3d0495ba83f8ca373a6932a9f92d7a01b73e65ed12bf9
primary-groth16-d5,groth16,5,2,deploy_manager,tx,,,,A0,CredentialManagerGroth16,20000000,1,1,,,,,1,730737,5389,452676,84,1181454,1181454,164,7066,1,6752,0x010000d37155e3640948296be420258a2e1a98adb16b55738b817247e9fd54eb,1,a7a9ebb5b6128cae73685632e104199605917f6da6298e585bd96b4abfb483a3
primary-groth16-d5,groth16,5,3,set_issuer,tx,,,,A0,CredentialManagerGroth16,2000000,1,1,,,,,1,124477,51,4284,84,128742,128742,68,211,0,,,,727fd06686258f939093f54b4f3c375b0f3052da4ba7867e73d6f93a90702a06
primary-groth16-d5,groth16,5,4,add_root,tx,,,,A0,CredentialManagerGroth16,2000000,1,1,,,,,1,124797,51,4284,84,129062,129062,36,178,0,,,,b91c4cff980f8874fb8d0fca3dd2b3046defc125bb26b20f9f41f40dec3d44ad
primary-groth16-d5,groth16,5,5,precheck_call,call,G16-d5-p0,0,2,A0,CredentialManagerGroth16,,call,call,,,true,true,1,,,,,,,292,,,,,,5837cb8f85853d1b4c5630e24fd145aeeb696d2dcc92dcf8c0220201ca5ef8a8
primary-groth16-d5,groth16,5,6,verify_credential,tx,G16-d5-p0,0,2,A0,CredentialManagerGroth16,10000000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,292,437,0,,,,5837cb8f85853d1b4c5630e24fd145aeeb696d2dcc92dcf8c0220201ca5ef8a8
primary-groth16-d5,groth16,5,7,verify_credential,tx,G16-d5-p1,1,6,A0,CredentialManagerGroth16,10000000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,292,437,0,,,,77081f141b0a9545515f5634b68ce1c62baf696b804c1dca43a47a4c1315c347
primary-groth16-d5,groth16,5,8,verify_credential,tx,G16-d5-p2,2,10,A0,CredentialManagerGroth16,10000000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,292,437,0,,,,0eb8507a498849ef0b107b12dc37664043f43ccb264665284d857cbd6e9a9447
primary-groth16-d5,groth16,5,9,verify_credential,tx,G16-d5-p3,3,14,A0,CredentialManagerGroth16,10000000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,292,437,0,,,,9989e21fd9b136f60c79b292cec0791d6024260adc3bfd6e58f367783c9579d6
primary-groth16-d5,groth16,5,10,verify_credential,tx,G16-d5-p4,4,18,A0,CredentialManagerGroth16,10000000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,292,437,0,,,,126cc5e35860522ddfe1ae9d3b0c5e9255612d37d259f6403d9aa1179529885e
primary-groth16-d5,groth16,5,11,verify_credential,tx,G16-d5-p5,5,22,A0,CredentialManagerGroth16,10000000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,292,437,0,,,,ee37913f96e71bf93249ef1fa07b7424ce69eb921427126963d720ec2bff5e42
primary-groth16-d5,groth16,5,12,verify_credential,tx,G16-d5-p6,6,26,A0,CredentialManagerGroth16,10000000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,292,437,0,,,,043f856bdbe25ea270d02aa67d222e3005979fc789670f602334c12da69262c0
primary-groth16-d5,groth16,5,13,verify_credential,tx,G16-d5-p7,7,30,A0,CredentialManagerGroth16,10000000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,292,437,0,,,,72a370fd6c6e8ea0a64309d7537b70ba5dc4f3d3948713988b7c144211a78be9
primary-groth16-d5,groth16,5,14,verify_proof_call,call,G16-d5-p0,0,2,A0,Groth16LegacyVerifierDepth5,,call,call,,,true,true,1,,,,,,,292,,,,,,38f356f938ae3972d0d16abf8b3d053f411f73f5e13f61d42c5093a3e09bf3e3
primary-groth16-d5,groth16,5,15,verify_proof_call,call,G16-d5-p1,1,6,A0,Groth16LegacyVerifierDepth5,,call,call,,,true,true,1,,,,,,,292,,,,,,a370a18d9c39377115545ba9af7615da222dc733a39c1b2c32fb2b9c4b33086f
primary-groth16-d5,groth16,5,16,verify_proof_call,call,G16-d5-p2,2,10,A0,Groth16LegacyVerifierDepth5,,call,call,,,true,true,1,,,,,,,292,,,,,,0d2d7d3aa3af7b66c607f41e3d721b8b42df5a3c86cee0d579ed2b26d5fed439
primary-groth16-d5,groth16,5,17,verify_proof_call,call,G16-d5-p3,3,14,A0,Groth16LegacyVerifierDepth5,,call,call,,,true,true,1,,,,,,,292,,,,,,0d788cabedc8faadf7f6192d7b7e3442591799b8d0f61f669d8e7044ff55b0d9
primary-groth16-d5,groth16,5,18,verify_proof_call,call,G16-d5-p4,4,18,A0,Groth16LegacyVerifierDepth5,,call,call,,,true,true,1,,,,,,,292,,,,,,8591dd32989bc600ebb0687f8686fdfb4796e90641751cf75de255ad63d285cb
primary-groth16-d5,groth16,5,19,verify_proof_call,call,G16-d5-p5,5,22,A0,Groth16LegacyVerifierDepth5,,call,call,,,true,true,1,,,,,,,292,,,,,,dde6e93a83ef8d8c28aaca9695ecffbc6f440d9d59cb4af669fcab2919339b70
primary-groth16-d5,groth16,5,20,verify_proof_call,call,G16-d5-p6,6,26,A0,Groth16LegacyVerifierDepth5,,call,call,,,true,true,1,,,,,,,292,,,,,,134926e4c635b7604bf798d424277df349d6073939e82a9a7aef5eb94f449937
primary-groth16-d5,groth16,5,21,verify_proof_call,call,G16-d5-p7,7,30,A0,Groth16LegacyVerifierDepth5,,call,call,,,true,true,1,,,,,,,292,,,,,,024d66f792d9241cd6ae6f266bc9afd2d46efc8121690d56662f47852300733d
primary-groth16-d5,groth16,5,22,verify_proof_direct,tx,G16-d5-p0,0,2,A0,Groth16LegacyVerifierDepth5,10000000,1,1,,,true,true,1,444311,18,1512,84,445816,445816,292,437,0,,,,38f356f938ae3972d0d16abf8b3d053f411f73f5e13f61d42c5093a3e09bf3e3
primary-groth16-d5,groth16,5,23,verify_proof_direct,tx,G16-d5-p1,1,6,A0,Groth16LegacyVerifierDepth5,10000000,1,1,,,true,true,1,444311,18,1512,84,445816,445816,292,437,0,,,,a370a18d9c39377115545ba9af7615da222dc733a39c1b2c32fb2b9c4b33086f
