cell_id,backend,depth,proof_id,proof_j,leaf_index,verify_credential_computational_gas,verify_credential_pubdata_bytes,verify_credential_gas_used,verify_credential_calldata_bytes,verify_proof_direct_computational_gas,verify_proof_direct_pubdata_bytes,verify_proof_direct_gas_used,verify_proof_direct_calldata_bytes,manager_overhead_computational_gas,manager_overhead_gas_used
primary-groth16-d5,groth16,5,G16-d5-p0,0,2,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d5,groth16,5,G16-d5-p1,1,6,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d5,groth16,5,G16-d5-p2,2,10,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d5,groth16,5,G16-d5-p3,3,14,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d5,groth16,5,G16-d5-p4,4,18,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d5,groth16,5,G16-d5-p5,5,22,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d5,groth16,5,G16-d5-p6,6,26,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d5,groth16,5,G16-d5-p7,7,30,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d10,groth16,10,G16-d10-p0,0,64,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d10,groth16,10,G16-d10-p1,1,192,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d10,groth16,10,G16-d10-p2,2,320,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d10,groth16,10,G16-d10-p3,3,448,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d10,groth16,10,G16-d10-p4,4,576,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d10,groth16,10,G16-d10-p5,5,704,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d10,groth16,10,G16-d10-p6,6,832,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d10,groth16,10,G16-d10-p7,7,960,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d11,groth16,11,G16-d11-p0,0,128,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d11,groth16,11,G16-d11-p1,1,384,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d11,groth16,11,G16-d11-p2,2,640,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d11,groth16,11,G16-d11-p3,3,896,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d11,groth16,11,G16-d11-p4,4,1152,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d11,groth16,11,G16-d11-p5,5,1408,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d11,groth16,11,G16-d11-p6,6,1664,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d11,groth16,11,G16-d11-p7,7,1920,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d15,groth16,15,G16-d15-p0,0,2048,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d15,groth16,15,G16-d15-p1,1,6144,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d15,groth16,15,G16-d15-p2,2,10240,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d15,groth16,15,G16-d15-p3,3,14336,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d15,groth16,15,G16-d15-p4,4,18432,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d15,groth16,15,G16-d15-p5,5,22528,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d15,groth16,15,G16-d15-p6,6,26624,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-groth16-d15,groth16,15,G16-d15-p7,7,30720,451324,18,452829,292,444311,18,445816,292,7013,7013
primary-plonk-d5,plonk,5,PLK-d5-p0,0,2,452793,18,454298,804,445344,18,446849,804,7449,7449
primary-plonk-d5,plonk,5,PLK-d5-p1,1,6,453459,18,454964,804,446010,18,447515,804,7449,7449
primary-plonk-d5,plonk,5,PLK-d5-p2,2,10,453537,18,455042,804,446088,18,447593,804,7449,7449
primary-plonk-d5,plonk,5,PLK-d5-p3,3,14,451581,18,453086,804,444132,18,445637,804,7449,7449
primary-plonk-d5,plonk,5,PLK-d5-p4,4,18,451755,18,453260,804,444306,18,445811,804,7449,7449
primary-plonk-d5,plonk,5,PLK-d5-p5,5,22,453399,18,454904,804,445950,18,447455,804,7449,7449
primary-plonk-d5,plonk,5,PLK-d5-p6,6,26,452307,18,453812,804,444858,18,446363,804,7449,7449
primary-plonk-d5,plonk,5,PLK-d5-p7,7,30,452691,18,454196,804,445242,18,446747,804,7449,7449
primary-plonk-d10,plonk,10,PLK-d10-p0,0,64,453699,18,455204,804,446250,18,447755,804,7449,7449
primary-plonk-d10,plonk,10,PLK-d10-p1,1,192,451047,18,452552,804,443598,18,445103,804,7449,7449
primary-plonk-d10,plonk,10,PLK-d10-p2,2,320,451353,18,452858,804,443904,18,445409,804,7449,7449
primary-plonk-d10,plonk,10,PLK-d10-p3,3,448,452535,18,454040,804,445086,18,446591,804,7449,7449
primary-plonk-d10,plonk,10,PLK-d10-p4,4,576,454059,18,455564,804,446610,18,448115,804,7449,7449
primary-plonk-d10,plonk,10,PLK-d10-p5,5,704,452685,18,454190,804,445236,18,446741,804,7449,7449
primary-plonk-d10,plonk,10,PLK-d10-p6,6,832,455613,18,457118,804,448164,18,449669,804,7449,7449
primary-plonk-d10,plonk,10,PLK-d10-p7,7,960,453675,18,455180,804,446226,18,447731,804,7449,7449
primary-plonk-d11,plonk,11,PLK-d11-p0,0,128,452967,18,454472,804,445518,18,447023,804,7449,7449
primary-plonk-d11,plonk,11,PLK-d11-p1,1,384,452889,18,454394,804,445440,18,446945,804,7449,7449
primary-plonk-d11,plonk,11,PLK-d11-p2,2,640,453597,18,455102,804,446148,18,447653,804,7449,7449
primary-plonk-d11,plonk,11,PLK-d11-p3,3,896,451251,18,452756,804,443802,18,445307,804,7449,7449
primary-plonk-d11,plonk,11,PLK-d11-p4,4,1152,451917,18,453422,804,444468,18,445973,804,7449,7449
primary-plonk-d11,plonk,11,PLK-d11-p5,5,1408,454203,18,455708,804,446754,18,448259,804,7449,7449
primary-plonk-d11,plonk,11,PLK-d11-p6,6,1664,450915,18,452420,804,443466,18,444971,804,7449,7449
primary-plonk-d11,plonk,11,PLK-d11-p7,7,1920,451959,18,453464,804,444510,18,446015,804,7449,7449
primary-plonk-d15,plonk,15,PLK-d15-p0,0,2048,452793,18,454298,804,445344,18,446849,804,7449,7449
primary-plonk-d15,plonk,15,PLK-d15-p1,1,6144,451881,18,453386,804,444432,18,445937,804,7449,7449
primary-plonk-d15,plonk,15,PLK-d15-p2,2,10240,452481,18,453986,804,445032,18,446537,804,7449,7449
primary-plonk-d15,plonk,15,PLK-d15-p3,3,14336,453837,18,455342,804,446388,18,447893,804,7449,7449
primary-plonk-d15,plonk,15,PLK-d15-p4,4,18432,453555,18,455060,804,446106,18,447611,804,7449,7449
primary-plonk-d15,plonk,15,PLK-d15-p5,5,22528,452865,18,454370,804,445416,18,446921,804,7449,7449
primary-plonk-d15,plonk,15,PLK-d15-p6,6,26624,453135,18,454640,804,445686,18,447191,804,7449,7449
primary-plonk-d15,plonk,15,PLK-d15-p7,7,30720,454065,18,455570,804,446616,18,448121,804,7449,7449
