backend,op,n,depths,cells,computational_gas_min,computational_gas_max,pubdata_bytes_min,pubdata_bytes_max,gas_used_min,gas_used_max
groth16,deploy_verifier,4,5|10|11|15,4,487466,487466,3371,3371,769405,769405
groth16,deploy_manager,4,5|10|11|15,4,730737,730737,5389,5389,1181454,1181454
groth16,set_issuer,4,5|10|11|15,4,124477,124477,51,51,128742,128742
groth16,add_root,4,5|10|11|15,4,124797,124797,51,51,129062,129062
groth16,verify_credential,32,5|10|11|15,4,451324,451324,18,18,452829,452829
groth16,verify_proof_direct,32,5|10|11|15,4,444311,444311,18,18,445816,445816
groth16,manager_overhead,32,5|10|11|15,4,7013,7013,0,0,7013,7013
plonk,deploy_verifier,4,5|10|11|15,4,2906398,2924800,24523,24667,4957419,4987865
plonk,deploy_manager,4,5|10|11|15,4,717867,717867,5261,5261,1157879,1157879
plonk,set_issuer,4,5|10|11|15,4,124461,124461,51,51,128726,128726
plonk,add_root,4,5|10|11|15,4,124781,124781,51,51,129046,129046
plonk,verify_credential,32,5|10|11|15,4,450915,455613,18,18,452420,457118
plonk,verify_proof_direct,32,5|10|11|15,4,443466,448164,18,18,444971,449669
plonk,manager_overhead,32,5|10|11|15,4,7449,7449,0,0,7449,7449
