profile,source,contract,depth,init_bytes,runtime_bytes,runtime_keccak,eip170_runtime_ok,eip3860_initcode_ok,deployed_in_matrix
bridge,contracts/CredentialManager.sol,CredentialManager,,7726,6531,0x7c4e7f1c7b93eeff11b761f6819809d75799cba4b166fcda2549a84730f211d6,1,1,1
bridge,contracts/Groth16LegacyVerifierDepth11.sol,Groth16LegacyVerifierDepth11,11,1567,1535,0x0e65d748105159ae8bfa14f6a206b40ce70b830c5d4a9980e07bb7b5bc43207c,1,1,1
bridge,hardhat/console.sol,console,,166,86,0xe611dbc5ceb19b852084c210a66750800cc67b2766d788ae2cca80c82690df6f,1,1,0
primary,contracts/chain/CredentialManagerGroth16.sol,CredentialManagerGroth16,,2378,2140,0x3fa88dab92b4daae5449537045ac5d6e143ea11f41fcdff2d37adb5523454ace,1,1,1
primary,contracts/chain/CredentialManagerPlonk.sol,CredentialManagerPlonk,,2270,2032,0x81cfa580fc010d5bf437f4e25120ed772a570f64d5503726e6beb874892ec653,1,1,1
primary,contracts/Groth16LegacyVerifierDepth5.sol,Groth16LegacyVerifierDepth5,5,1406,1374,0xd2265cf2fd416385d635f7e4516dc0426e34ab18c61d5bbfdd683902ab2760f7,1,1,1
primary,contracts/Groth16LegacyVerifierDepth6.sol,Groth16LegacyVerifierDepth6,6,1406,1374,0x66572fa29701c26d70bb7974a8498d1de9208320d75ed270a84c45b9b3b9b237,1,1,0
primary,contracts/Groth16LegacyVerifierDepth7.sol,Groth16LegacyVerifierDepth7,7,1406,1374,0xdc48ef85c0aee5f05449a82f511df46fb2e727df4b5466ffd223fb72e5b8adf5,1,1,0
primary,contracts/Groth16LegacyVerifierDepth8.sol,Groth16LegacyVerifierDepth8,8,1406,1374,0x5c7b960a25672335077cafd9e1fbb1e685089eb8c03079088c18ed2e6975b631,1,1,0
primary,contracts/Groth16LegacyVerifierDepth9.sol,Groth16LegacyVerifierDepth9,9,1406,1374,0x0696899988874d8ad5e08fbb581463bc1240fd60c60176401f080185f472cdf0,1,1,0
primary,contracts/Groth16LegacyVerifierDepth10.sol,Groth16LegacyVerifierDepth10,10,1406,1374,0x0700d7a7bc18908790c68cd6f9a3800495db5899f2f6e28b8caf619f0315cd86,1,1,1
primary,contracts/Groth16LegacyVerifierDepth11.sol,Groth16LegacyVerifierDepth11,11,1404,1372,0x1660e5c0187e477090c96776978c5c58afcac37df9cc19705e8395f2a690cefa,1,1,1
primary,contracts/Groth16LegacyVerifierDepth12.sol,Groth16LegacyVerifierDepth12,12,1406,1374,0xddc26b0e4ecbd74d7585efdf6177c2281768d2b0ab6573bd5eafc5febc3a2271,1,1,0
primary,contracts/Groth16LegacyVerifierDepth13.sol,Groth16LegacyVerifierDepth13,13,1406,1374,0x205ce4a8d41bca863e9c1b3a983510df19fb1e2c7cc1dae1b3b7d13aba4d5d54,1,1,0
primary,contracts/Groth16LegacyVerifierDepth14.sol,Groth16LegacyVerifierDepth14,14,1406,1374,0x603fecf7ff5662a86a75a8e111ff92960b6771660d716f75cefe3dd1bc37fdcf,1,1,0
primary,contracts/Groth16LegacyVerifierDepth15.sol,Groth16LegacyVerifierDepth15,15,1406,1374,0x085bab7f625aa60f1081b7b3292531997c4733a612dafcfdf8375abde640ef74,1,1,1
primary,contracts/chain/PlonkVerifierDepth5.sol,PlonkVerifierDepth5,5,5447,5415,0x81bd2193cc19102868c8c8e61cf5999441a2925fabdaac763111cf7322ed082d,1,1,1
primary,contracts/chain/PlonkVerifierDepth6.sol,PlonkVerifierDepth6,6,5447,5415,0x367b7e8f7beb3778729f187f098f53eebb87a2855700be0e04fc5a69d3e8947d,1,1,0
primary,contracts/chain/PlonkVerifierDepth7.sol,PlonkVerifierDepth7,7,5447,5415,0xc3795e43f52db3602e4c16e7fa25786e607e38bb6c611f69a8adc7df417b3ace,1,1,0
primary,contracts/chain/PlonkVerifierDepth8.sol,PlonkVerifierDepth8,8,5447,5415,0x63840d6e13a28bd705cbd724af47fba3c53e1e15f4015f53aca047fcc98cb81d,1,1,0
primary,contracts/chain/PlonkVerifierDepth9.sol,PlonkVerifierDepth9,9,5445,5413,0x1502555be0e8487ca4effb4ea47a8c4290a2ef36242c1a19f30671651d40c926,1,1,0
primary,contracts/chain/PlonkVerifierDepth10.sol,PlonkVerifierDepth10,10,5445,5413,0x0f9e4e6a75f74410329f14fbc186bf6a563c32c6ade9bb87c537b598001df46a,1,1,1
primary,contracts/chain/PlonkVerifierDepth11.sol,PlonkVerifierDepth11,11,5467,5435,0xb1839425094b9d5cc3e24cf8a9c779b46cb934c81145bd3eb8bace410ac95e03,1,1,1
primary,contracts/chain/PlonkVerifierDepth12.sol,PlonkVerifierDepth12,12,5465,5433,0x8f63ecedef27b484b5ed4b48fa94f4d0e8abca0fc532a174168df574d26b3d17,1,1,0
primary,contracts/chain/PlonkVerifierDepth13.sol,PlonkVerifierDepth13,13,5465,5433,0x3bcb70bef7411c9cf3e44df2345e1f0942caf55a0518bd5926c18898e197b545,1,1,0
primary,contracts/chain/PlonkVerifierDepth14.sol,PlonkVerifierDepth14,14,5467,5435,0xed71235b99a7cdd3169aa877123c84b762d338857458d31506098c6c3e80cd2a,1,1,0
primary,contracts/chain/PlonkVerifierDepth15.sol,PlonkVerifierDepth15,15,5467,5435,0x9c067b2716d3bbe23dc32dc49ae4e785252bf62b7543147a64bbb2da0be8fec9,1,1,1
