cell_id,profile,backend,depth,op_seq,op,kind,proof_id,proof_j,leaf_index,from_account,contract_name,gas_limit,expected_status,status,expected_revert,revert_reason,expected_return,return_value,check_pass,gas_used,calldata_bytes,calldata_zero_bytes,calldata_tokens,calldata_gas_standard,floor_gas_7623,create_gas,intrinsic_gas,exec_gas_derived,floor_binding,code_deposit_gas,initcode_bytes,runtime_bytes,runtime_keccak,runtime_matches_artifact,calldata_sha256
primary-groth16-d5,primary,groth16,5,1,deploy_verifier,tx,,,,A0,Groth16LegacyVerifierDepth5,6000000,1,1,,,,,1,350084,1406,51,5471,21884,75710,32088,74972,275112,0,274800,1406,1374,0xd2265cf2fd416385d635f7e4516dc0426e34ab18c61d5bbfdd683902ab2760f7,1,5331d44244ef7c248c6fc11ad547f11a24bf93877a601995cfc1f6562e8998fd
primary-groth16-d5,primary,groth16,5,2,deploy_manager,tx,,,,A0,CredentialManagerGroth16,6000000,1,1,,,,,1,565248,2410,84,9388,37552,114880,32152,90704,474544,0,428000,2410,2140,0x3fa88dab92b4daae5449537045ac5d6e143ea11f41fcdff2d37adb5523454ace,1,19ee042dbe867a3c02cb22e3913366b1c44d39bcad3099526989912ebfacd00a
primary-groth16-d5,primary,groth16,5,3,set_issuer,tx,,,,A0,CredentialManagerGroth16,300000,1,1,,,,,1,47900,68,43,143,572,22430,0,21572,26328,0,,,,,,727fd06686258f939093f54b4f3c375b0f3052da4ba7867e73d6f93a90702a06
primary-groth16-d5,primary,groth16,5,4,add_root,tx,,,,A0,CredentialManagerGroth16,300000,1,1,,,,,1,47334,36,1,141,564,22410,0,21564,25770,0,,,,,,b91c4cff980f8874fb8d0fca3dd2b3046defc125bb26b20f9f41f40dec3d44ad
primary-groth16-d5,primary,groth16,5,5,precheck_call,call,G16-d5-p0,0,2,A0,CredentialManagerGroth16,,call,call,,,true,true,1,,292,1,1165,,,,,,,,,,,,5837cb8f85853d1b4c5630e24fd145aeeb696d2dcc92dcf8c0220201ca5ef8a8
primary-groth16-d5,primary,groth16,5,6,verify_credential,tx,G16-d5-p0,0,2,A0,CredentialManagerGroth16,1000000,1,1,,,,,1,223958,292,1,1165,4660,32650,0,25660,198298,0,,,,,,5837cb8f85853d1b4c5630e24fd145aeeb696d2dcc92dcf8c0220201ca5ef8a8
primary-groth16-d5,primary,groth16,5,7,verify_credential,tx,G16-d5-p1,1,6,A0,CredentialManagerGroth16,1000000,1,1,,,,,1,223946,292,2,1162,4648,32620,0,25648,198298,0,,,,,,77081f141b0a9545515f5634b68ce1c62baf696b804c1dca43a47a4c1315c347
primary-groth16-d5,primary,groth16,5,8,verify_credential,tx,G16-d5-p2,2,10,A0,CredentialManagerGroth16,1000000,1,1,,,,,1,223958,292,1,1165,4660,32650,0,25660,198298,0,,,,,,0eb8507a498849ef0b107b12dc37664043f43ccb264665284d857cbd6e9a9447
primary-groth16-d5,primary,groth16,5,9,verify_credential,tx,G16-d5-p3,3,14,A0,CredentialManagerGroth16,1000000,1,1,,,,,1,223958,292,1,1165,4660,32650,0,25660,198298,0,,,,,,9989e21fd9b136f60c79b292cec0791d6024260adc3bfd6e58f367783c9579d6
primary-groth16-d5,primary,groth16,5,10,verify_credential,tx,G16-d5-p4,4,18,A0,CredentialManagerGroth16,1000000,1,1,,,,,1,223946,292,2,1162,4648,32620,0,25648,198298,0,,,,,,126cc5e35860522ddfe1ae9d3b0c5e9255612d37d259f6403d9aa1179529885e
primary-groth16-d5,primary,groth16,5,11,verify_credential,tx,G16-d5-p5,5,22,A0,CredentialManagerGroth16,1000000,1,1,,,,,1,223958,292,1,1165,4660,32650,0,25660,198298,0,,,,,,ee37913f96e71bf93249ef1fa07b7424ce69eb921427126963d720ec2bff5e42
primary-groth16-d5,primary,groth16,5,12,verify_credential,tx,G16-d5-p6,6,26,A0,CredentialManagerGroth16,1000000,1,1,,,,,1,223946,292,2,1162,4648,32620,0,25648,198298,0,,,,,,043f856bdbe25ea270d02aa67d222e3005979fc789670f602334c12da69262c0
primary-groth16-d5,primary,groth16,5,13,verify_credential,tx,G16-d5-p7,7,30,A0,CredentialManagerGroth16,1000000,1,1,,,,,1,223934,292,3,1159,4636,32590,0,25636,198298,0,,,,,,72a370fd6c6e8ea0a64309d7537b70ba5dc4f3d3948713988b7c144211a78be9
primary-groth16-d5,primary,groth16,5,14,verify_proof_call,call,G16-d5-p0,0,2,A0,Groth16LegacyVerifierDepth5,,call,call,,,true,true,1,,292,1,1165,,,,,,,,,,,,38f356f938ae3972d0d16abf8b3d053f411f73f5e13f61d42c5093a3e09bf3e3
primary-groth16-d5,primary,groth16,5,15,verify_proof_call,call,G16-d5-p1,1,6,A0,Groth16LegacyVerifierDepth5,,call,call,,,true,true,1,,292,2,1162,,,,,,,,,,,,a370a18d9c39377115545ba9af7615da222dc733a39c1b2c32fb2b9c4b33086f
primary-groth16-d5,primary,groth16,5,16,verify_proof_call,call,G16-d5-p2,2,10,A0,Groth16LegacyVerifierDepth5,,call,call,,,true,true,1,,292,1,1165,,,,,,,,,,,,0d2d7d3aa3af7b66c607f41e3d721b8b42df5a3c86cee0d579ed2b26d5fed439
primary-groth16-d5,primary,groth16,5,17,verify_proof_call,call,G16-d5-p3,3,14,A0,Groth16LegacyVerifierDepth5,,call,call,,,true,true,1,,292,1,1165,,,,,,,,,,,,0d788cabedc8faadf7f6192d7b7e3442591799b8d0f61f669d8e7044ff55b0d9
