backend,depth,j,proof_id,leaf_index,root,proof_file,proof_sha256,public_file,public_sha256,input_sha256,zkey_sha256,vkey_sha256,wasm_sha256,verified_offchain,root_matches_committed,generated_at_utc,prove_wall_ms_engineering
groth16,5,0,G16-d5-p0,2,8772061116891597512098326450504850663371859585885077427179882578819842555696,groth16/d5/p0.proof.json,6470af472b8d2978560b7db24a3386245611afa6cc5a2dd00c193e462ebc7326,groth16/d5/p0.public.json,f5538363769f4c909cbc124cc35db980fcd98991f60292f281b0d0bb04a49e74,755a048a87d68abc89dc7a85b10f96bb78a264cd0380270bb690b3e5bc4a3d5c,41c7636150900ee72cf6323930dd506bd0fc015a94a20905cc61c856b4fe919a,29db25872edc00211232ad17b7823af28973552a03e201a1929adb695c750560,d55a45dca0a237648b31a53a5b8c9694489748ca4ac7359bd3898e68cb7ccfb2,1,1,2026-09-25T09:36:53.146Z,263
plonk,5,0,PLK-d5-p0,2,8772061116891597512098326450504850663371859585885077427179882578819842555696,plonk/d5/p0.proof.json,9e63bed3c62c431475178aea053940da3c8f27bffd365caea3c10ebf2a7a39b1,plonk/d5/p0.public.json,f5538363769f4c909cbc124cc35db980fcd98991f60292f281b0d0bb04a49e74,755a048a87d68abc89dc7a85b10f96bb78a264cd0380270bb690b3e5bc4a3d5c,8b7d89ef154d0704a4a5fb8df978ea728f0decad61374b1d3a80a026ad357fec,9424cc86468f25ed703a6a03b759ffde4ecbbd6b2fe07d8cebda7af5af748849,d55a45dca0a237648b31a53a5b8c9694489748ca4ac7359bd3898e68cb7ccfb2,1,1,2026-09-25T09:37:01.284Z,8137
groth16,5,1,G16-d5-p1,6,8772061116891597512098326450504850663371859585885077427179882578819842555696,groth16/d5/p1.proof.json,01a558311364d0d603ca0516552f9b16709e0ec6eddd7395d3cf038620cd2b19,groth16/d5/p1.public.json,f5538363769f4c909cbc124cc35db980fcd98991f60292f281b0d0bb04a49e74,90ffcab56c98cf23d5c81078c5fa00cba35b552954481884211ba4eda8a7e3a8,41c7636150900ee72cf6323930dd506bd0fc015a94a20905cc61c856b4fe919a,29db25872edc00211232ad17b7823af28973552a03e201a1929adb695c750560,d55a45dca0a237648b31a53a5b8c9694489748ca4ac7359bd3898e68cb7ccfb2,1,1,2026-09-25T09:37:01.446Z,160
plonk,5,1,PLK-d5-p1,6,8772061116891597512098326450504850663371859585885077427179882578819842555696,plonk/d5/p1.proof.json,4ecb32f53244f69f33a94013db9840b0863b3bae59018f82aad556a22c467b27,plonk/d5/p1.public.json,f5538363769f4c909cbc124cc35db980fcd98991f60292f281b0d0bb04a49e74,90ffcab56c98cf23d5c81078c5fa00cba35b552954481884211ba4eda8a7e3a8,8b7d89ef154d0704a4a5fb8df978ea728f0decad61374b1d3a80a026ad357fec,9424cc86468f25ed703a6a03b759ffde4ecbbd6b2fe07d8cebda7af5af748849,d55a45dca0a237648b31a53a5b8c9694489748ca4ac7359bd3898e68cb7ccfb2,1,1,2026-09-25T09:37:09.605Z,8158
groth16,5,2,G16-d5-p2,10,8772061116891597512098326450504850663371859585885077427179882578819842555696,groth16/d5/p2.proof.json,3fc013893aa8831bafeadfa0346939e28a7513432e2c1b9ba4c6e7ec9d1bc5e9,groth16/d5/p2.public.json,f5538363769f4c909cbc124cc35db980fcd98991f60292f281b0d0bb04a49e74,c4021c879afa01c0b8e4ae0e6eaa56fa44340f601ba0a0df6ced45a025c04555,41c7636150900ee72cf6323930dd506bd0fc015a94a20905cc61c856b4fe919a,29db25872edc00211232ad17b7823af28973552a03e201a1929adb695c750560,d55a45dca0a237648b31a53a5b8c9694489748ca4ac7359bd3898e68cb7ccfb2,1,1,2026-09-25T09:37:09.769Z,163
plonk,5,2,PLK-d5-p2,10,8772061116891597512098326450504850663371859585885077427179882578819842555696,plonk/d5/p2.proof.json,c90d38f8bd09480bc8f49ee4f1543a3dc19049b10b53f43b7f552e6e422d11d9,plonk/d5/p2.public.json,f5538363769f4c909cbc124cc35db980fcd98991f60292f281b0d0bb04a49e74,c4021c879afa01c0b8e4ae0e6eaa56fa44340f601ba0a0df6ced45a025c04555,8b7d89ef154d0704a4a5fb8df978ea728f0decad61374b1d3a80a026ad357fec,9424cc86468f25ed703a6a03b759ffde4ecbbd6b2fe07d8cebda7af5af748849,d55a45dca0a237648b31a53a5b8c9694489748ca4ac7359bd3898e68cb7ccfb2,1,1,2026-09-25T09:37:17.951Z,8181
groth16,5,3,G16-d5-p3,14,8772061116891597512098326450504850663371859585885077427179882578819842555696,groth16/d5/p3.proof.json,b456a5a54524c342800b9cd2d133a8aa16e21e4d28c46213d969e35be9e05530,groth16/d5/p3.public.json,f5538363769f4c909cbc124cc35db980fcd98991f60292f281b0d0bb04a49e74,09db843afb8cd2eaf6d10672a9126bbe135d09647d1dd1c6a5a229049deda60c,41c7636150900ee72cf6323930dd506bd0fc015a94a20905cc61c856b4fe919a,29db25872edc00211232ad17b7823af28973552a03e201a1929adb695c750560,d55a45dca0a237648b31a53a5b8c9694489748ca4ac7359bd3898e68cb7ccfb2,1,1,2026-09-25T09:37:18.117Z,165
plonk,5,3,PLK-d5-p3,14,8772061116891597512098326450504850663371859585885077427179882578819842555696,plonk/d5/p3.proof.json,97c353d14ca4f434a4b415cd5e9a6b0a8e67dda2fea850ba0a5570a8468be4d3,plonk/d5/p3.public.json,f5538363769f4c909cbc124cc35db980fcd98991f60292f281b0d0bb04a49e74,09db843afb8cd2eaf6d10672a9126bbe135d09647d1dd1c6a5a229049deda60c,8b7d89ef154d0704a4a5fb8df978ea728f0decad61374b1d3a80a026ad357fec,9424cc86468f25ed703a6a03b759ffde4ecbbd6b2fe07d8cebda7af5af748849,d55a45dca0a237648b31a53a5b8c9694489748ca4ac7359bd3898e68cb7ccfb2,1,1,2026-09-25T09:37:26.452Z,8334
groth16,5,4,G16-d5-p4,18,8772061116891597512098326450504850663371859585885077427179882578819842555696,groth16/d5/p4.proof.json,7698076bd7186eec4fdf0b10fa013da3f17713388820ffad579d757fe24b6c35,groth16/d5/p4.public.json,f5538363769f4c909cbc124cc35db980fcd98991f60292f281b0d0bb04a49e74,58f8647c2916e91b0ff4abda26c74a9ee34339a66e8f3283707404c9ce599b8a,41c7636150900ee72cf6323930dd506bd0fc015a94a20905cc61c856b4fe919a,29db25872edc00211232ad17b7823af28973552a03e201a1929adb695c750560,d55a45dca0a237648b31a53a5b8c9694489748ca4ac7359bd3898e68cb7ccfb2,1,1,2026-09-25T09:37:26.616Z,162
plonk,5,4,PLK-d5-p4,18,8772061116891597512098326450504850663371859585885077427179882578819842555696,plonk/d5/p4.proof.json,18044fe7f015f2c3c3e3ec9f0325769b4b457eae601111955647e7b8733dc62e,plonk/d5/p4.public.json,f5538363769f4c909cbc124cc35db980fcd98991f60292f281b0d0bb04a49e74,58f8647c2916e91b0ff4abda26c74a9ee34339a66e8f3283707404c9ce599b8a,8b7d89ef154d0704a4a5fb8df978ea728f0decad61374b1d3a80a026ad357fec,9424cc86468f25ed703a6a03b759ffde4ecbbd6b2fe07d8cebda7af5af748849,d55a45dca0a237648b31a53a5b8c9694489748ca4ac7359bd3898e68cb7ccfb2,1,1,2026-09-25T09:37:35.191Z,8574
