schedule_id,_run,session_id,phase,block_id,pair_id,network,backend,op,proof_id,state,error_class,tx_hash,gas_used,effective_gas_price,receipt_fee_wei,fee_consistency_ok,send_to_hash_ms,hash_to_receipt_ms,request_to_receipt_ms,polls,inclusion_block,inclusion_block_time_utc,block_at_hash,l1_batch_number,runtime_matches_artifact,t0_utc
SETUP-SEP-01,dry-setup-sepolia-05c9bfe-20260925T151305Z,SETUP,setup,SETUP-SEP,,sepolia,groth16,deploy_verifier,,confirmed_success,,0xaa2c3e3f10d1a14f522c46812426b03f5f169ea024c9fb43b5e70f6fb336bd06,349628,2500000000,874070000000000,1,2.063,1012.261,1014.324,3,1,2026-09-25T15:13:06.000Z,0,,1,2026-09-25T15:13:05.339Z
SETUP-SEP-02,dry-setup-sepolia-05c9bfe-20260925T151305Z,SETUP,setup,SETUP-SEP,,sepolia,groth16,deploy_manager,,confirmed_success,,0xa2bd4fe8542fd7ae89069bd09a781d1c3763ad6284f00d5774d155754fa48406,565248,2500000000,1413120000000000,1,5.926,1012.343,1018.269,3,2,2026-09-25T15:13:07.000Z,1,,1,2026-09-25T15:13:06.370Z
SETUP-SEP-03,dry-setup-sepolia-05c9bfe-20260925T151305Z,SETUP,setup,SETUP-SEP,,sepolia,groth16,set_issuer,,confirmed_success,,0xa68c862869158aa234c74918ee86d4877ad9200b1bbca663cc9070d5bc5baa74,47900,2500000000,119750000000000,1,4.432,1006.983,1011.415,3,3,2026-09-25T15:13:08.000Z,2,,,2026-09-25T15:13:07.402Z
SETUP-SEP-04,dry-setup-sepolia-05c9bfe-20260925T151305Z,SETUP,setup,SETUP-SEP,,sepolia,groth16,add_root,,confirmed_success,,0xff56ec1d230243713fb4dd929c5476932049580b1c1da2a09645543e7d09a653,47334,2500000000,118335000000000,1,3.328,1003.425,1006.753,3,4,2026-09-25T15:13:09.000Z,3,,,2026-09-25T15:13:08.425Z
SETUP-SEP-05,dry-setup-sepolia-05c9bfe-20260925T151305Z,SETUP,setup,SETUP-SEP,,sepolia,plonk,deploy_verifier,,confirmed_success,,0xbfdb8de4c0e44277058c60d27a8c73da0d5b69f300b40c536a0c2ca32c2c5a3e,1226937,2500000000,3067342500000000,1,8.891,1004.992,1013.883,3,5,2026-09-25T15:13:10.000Z,4,,1,2026-09-25T15:13:09.448Z
SETUP-SEP-06,dry-setup-sepolia-05c9bfe-20260925T151305Z,SETUP,setup,SETUP-SEP,,sepolia,plonk,deploy_manager,,confirmed_success,,0xac4edd98b797eb29bbf35d811a9b56cc8824bf5f979a166035d8e4fa544800e5,541930,2500000000,1354825000000000,1,5.739,1012.182,1017.921,3,6,2026-09-25T15:13:11.000Z,5,,1,2026-09-25T15:13:10.476Z
SETUP-SEP-07,dry-setup-sepolia-05c9bfe-20260925T151305Z,SETUP,setup,SETUP-SEP,,sepolia,plonk,set_issuer,,confirmed_success,,0xcf6719efae2792c0b9d83818a3ab2dded1f46d16ad661fb05704ca3eb1f5de7e,47900,2500000000,119750000000000,1,3.402,1004.099,1007.501,3,7,2026-09-25T15:13:12.000Z,6,,,2026-09-25T15:13:11.504Z
SETUP-SEP-08,dry-setup-sepolia-05c9bfe-20260925T151305Z,SETUP,setup,SETUP-SEP,,sepolia,plonk,add_root,,confirmed_success,,0x329c095d1efee67c5b24aaa99f2fd4891527d1d94ddc0ed3503cc4ff1a283d67,47334,2500000000,118335000000000,1,3.091,1009.677,1012.768,3,8,2026-09-25T15:13:13.000Z,7,,,2026-09-25T15:13:12.522Z
SETUP-ERA-01,dry-setup-era-sepolia-05c9bfe-20260925T151313Z,SETUP,setup,SETUP-ERA,,era-sepolia,groth16,deploy_verifier,,confirmed_success,,0x0e7607c0fedeab2fc3ec15e9f2db5a1a857934b6da94910d020e6fb866f00a62,757146,25000000,18928650000000,1,2.081,504.367,506.448,2,30,2026-09-25T15:13:35.000Z,29,10,1,2026-09-25T15:13:13.910Z
SETUP-ERA-02,dry-setup-era-sepolia-05c9bfe-20260925T151313Z,SETUP,setup,SETUP-ERA,,era-sepolia,groth16,deploy_manager,,confirmed_success,,0x7cebb3b8f03e0e8e840f6d1531946b6e6c0b6ee03dafe217f14c8cc2c3df3a81,1161857,25000000,29046425000000,1,5.659,507.493,513.152,2,31,2026-09-25T15:13:36.000Z,30,11,1,2026-09-25T15:13:14.435Z
SETUP-ERA-03,dry-setup-era-sepolia-05c9bfe-20260925T151313Z,SETUP,setup,SETUP-ERA,,era-sepolia,groth16,set_issuer,,confirmed_success,,0x609020c05ed8be24390ea03cd83e7d4f875dc95c5cc292adff8153f47d372028,128557,25000000,3213925000000,1,3.95,502.764,506.714,2,33,2026-09-25T15:13:38.000Z,32,11,,2026-09-25T15:13:14.963Z
SETUP-ERA-04,dry-setup-era-sepolia-05c9bfe-20260925T151313Z,SETUP,setup,SETUP-ERA,,era-sepolia,groth16,add_root,,confirmed_success,,0x833b003415da8f37e082de6d857957a138076010ab838c577d0052fefa9a0e7f,128877,25000000,3221925000000,1,3.762,503.295,507.057,2,35,2026-09-25T15:13:40.000Z,34,12,,2026-09-25T15:13:15.482Z
SETUP-ERA-05,dry-setup-era-sepolia-05c9bfe-20260925T151313Z,SETUP,setup,SETUP-ERA,,era-sepolia,plonk,deploy_verifier,,confirmed_success,,0x525ec0b32b7cf61f227382964cdeb8d34fd4cd9bf9a23cf689b9cbebe1a28787,4898160,25000000,122454000000000,1,10.823,507.57,518.393,2,37,2026-09-25T15:13:42.000Z,36,13,1,2026-09-25T15:13:16.024Z
