phase,network,backend,op,planned,unsent_preflight_failure,unsent_client_error,unsent_insufficient_balance,submitted_no_receipt,reverted,confirmed_success,gas_used_min,gas_used_median,gas_used_max,effective_gas_price_min,effective_gas_price_median,effective_gas_price_max,receipt_fee_wei_min,receipt_fee_wei_median,receipt_fee_wei_max,send_to_hash_ms_min,send_to_hash_ms_median,send_to_hash_ms_max,hash_to_receipt_ms_min,hash_to_receipt_ms_median,hash_to_receipt_ms_max,request_to_receipt_ms_min,request_to_receipt_ms_median,request_to_receipt_ms_max
setup,era-sepolia,groth16,add_root,1,0,0,0,0,0,1,128877,128877,128877,25000000,25000000,25000000,3221925000000,3221925000000,3221925000000,3.762,3.762,3.762,503.295,503.295,503.295,507.057,507.057,507.057
setup,era-sepolia,groth16,deploy_manager,1,0,0,0,0,0,1,1161857,1161857,1161857,25000000,25000000,25000000,29046425000000,29046425000000,29046425000000,5.659,5.659,5.659,507.493,507.493,507.493,513.152,513.152,513.152
setup,era-sepolia,groth16,deploy_verifier,1,0,0,0,0,0,1,757146,757146,757146,25000000,25000000,25000000,18928650000000,18928650000000,18928650000000,2.081,2.081,2.081,504.367,504.367,504.367,506.448,506.448,506.448
setup,era-sepolia,groth16,set_issuer,1,0,0,0,0,0,1,128557,128557,128557,25000000,25000000,25000000,3213925000000,3213925000000,3213925000000,3.95,3.95,3.95,502.764,502.764,502.764,506.714,506.714,506.714
setup,era-sepolia,plonk,add_root,1,0,0,0,0,0,1,128861,128861,128861,25000000,25000000,25000000,3221525000000,3221525000000,3221525000000,4.302,4.302,4.302,506.44,506.44,506.44,510.742,510.742,510.742
setup,era-sepolia,plonk,deploy_manager,1,0,0,0,0,0,1,1138747,1138747,1138747,25000000,25000000,25000000,28468675000000,28468675000000,28468675000000,5.212,5.212,5.212,505.959,505.959,505.959,511.171,511.171,511.171
setup,era-sepolia,plonk,deploy_verifier,1,0,0,0,0,0,1,4898160,4898160,4898160,25000000,25000000,25000000,122454000000000,122454000000000,122454000000000,10.823,10.823,10.823,507.57,507.57,507.57,518.393,518.393,518.393
setup,era-sepolia,plonk,set_issuer,1,0,0,0,0,0,1,128541,128541,128541,25000000,25000000,25000000,3213525000000,3213525000000,3213525000000,3.655,3.655,3.655,505.731,505.731,505.731,509.386,509.386,509.386
setup,sepolia,groth16,add_root,1,0,0,0,0,0,1,47334,47334,47334,2500000000,2500000000,2500000000,118335000000000,118335000000000,118335000000000,3.328,3.328,3.328,1003.425,1003.425,1003.425,1006.753,1006.753,1006.753
setup,sepolia,groth16,deploy_manager,1,0,0,0,0,0,1,565248,565248,565248,2500000000,2500000000,2500000000,1413120000000000,1413120000000000,1413120000000000,5.926,5.926,5.926,1012.343,1012.343,1012.343,1018.269,1018.269,1018.269
setup,sepolia,groth16,deploy_verifier,1,0,0,0,0,0,1,349628,349628,349628,2500000000,2500000000,2500000000,874070000000000,874070000000000,874070000000000,2.063,2.063,2.063,1012.261,1012.261,1012.261,1014.324,1014.324,1014.324
setup,sepolia,groth16,set_issuer,1,0,0,0,0,0,1,47900,47900,47900,2500000000,2500000000,2500000000,119750000000000,119750000000000,119750000000000,4.432,4.432,4.432,1006.983,1006.983,1006.983,1011.415,1011.415,1011.415
setup,sepolia,plonk,add_root,1,0,0,0,0,0,1,47334,47334,47334,2500000000,2500000000,2500000000,118335000000000,118335000000000,118335000000000,3.091,3.091,3.091,1009.677,1009.677,1009.677,1012.768,1012.768,1012.768
setup,sepolia,plonk,deploy_manager,1,0,0,0,0,0,1,541930,541930,541930,2500000000,2500000000,2500000000,1354825000000000,1354825000000000,1354825000000000,5.739,5.739,5.739,1012.182,1012.182,1012.182,1017.921,1017.921,1017.921
setup,sepolia,plonk,deploy_verifier,1,0,0,0,0,0,1,1226937,1226937,1226937,2500000000,2500000000,2500000000,3067342500000000,3067342500000000,3067342500000000,8.891,8.891,8.891,1004.992,1004.992,1004.992,1013.883,1013.883,1013.883
setup,sepolia,plonk,set_issuer,1,0,0,0,0,0,1,47900,47900,47900,2500000000,2500000000,2500000000,119750000000000,119750000000000,119750000000000,3.402,3.402,3.402,1004.099,1004.099,1004.099,1007.501,1007.501,1007.501
verification,era-sepolia,groth16,verify_credential,2,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,
verification,era-sepolia,plonk,verify_credential,2,0,0,1,0,0,1,454329,454329,454329,25000000,25000000,25000000,11358225000000,11358225000000,11358225000000,,,,,,,1010.915,1010.915,1010.915
verification,sepolia,groth16,verify_credential,2,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,
verification,sepolia,plonk,verify_credential,2,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,
