run_id,schedule_id,session_id,op,backend,proof_id,tx_hash,row_state,t_receipt_utc,receipt_now,l1_batch_number,batch_status,committed_at,proven_at,executed_at,commit_tx_hash,prove_tx_hash,execute_tx_hash,commit_chain_id,execute_chain_id,receipt_to_commit_s,receipt_to_prove_s,receipt_to_execute_s,tx_details_status
dry-S1-05c9bfe-20260925T151238Z,S1-ERA-1,S1,verify_credential,plonk,PLK-d11-p0,0xfb2d32397fbef2767ed60eb817e8bdb313e3f18b4adcdd4935079b39f552ca3b,confirmed_success,2026-09-25T15:12:43.099Z,present,19,verified,2026-09-25T15:12:44.776Z,2026-09-25T15:12:46.776Z,2026-09-25T15:12:48.776Z,0x7932252405533641426addd6a5610fe69e0d288ca15d82a51136fb4254737d2d,0x6c18ce7392a91c9f665de03ace49657b2d3ef5d7402508db7b3ad4c482bedba4,0xe957da2da9f260083cc025ee4258c407d7f7d97bbe06f86befb905bc5ba4b744,11155111,11155111,1.677,3.677,5.677,included
dry-S1-05c9bfe-20260925T151238Z,S1-ERA-2,S1,verify_credential,groth16,G16-d11-p0,0xba47557c78220f55708056099279b02e61364a90114d1750b9f0cba18eab9fe1,confirmed_success,2026-09-25T15:12:43.620Z,present,20,verified,2026-09-25T15:12:45.687Z,2026-09-25T15:12:47.687Z,2026-09-25T15:12:49.687Z,0x2f845d62c02a04348d11a770aab1e0bd1aeba87553ae720743a58a1a1e054b51,0x106061fc5b71b9c438e2200f724c6ca96f7712c7dcaa2d58a35316bf0bad2cfb,0x9e217cfa58c17267d7a9aedda7ff854eb100e533f8f70ed907069916eed3977b,11155111,11155111,2.067,4.067,6.067,included
dry-S1-05c9bfe-20260925T151238Z,S1-ERA-3,S1,verify_credential,plonk,PLK-d11-p1,0x9e73ab9f216a6713e1b52769f617d0091f42f43cee9907e597bb2ef9b7d262f3,confirmed_success,2026-09-25T15:12:44.143Z,present,20,verified,2026-09-25T15:12:45.687Z,2026-09-25T15:12:47.687Z,2026-09-25T15:12:49.687Z,0x2f845d62c02a04348d11a770aab1e0bd1aeba87553ae720743a58a1a1e054b51,0x106061fc5b71b9c438e2200f724c6ca96f7712c7dcaa2d58a35316bf0bad2cfb,0x9e217cfa58c17267d7a9aedda7ff854eb100e533f8f70ed907069916eed3977b,11155111,11155111,1.544,3.544,5.544,included
dry-S1-05c9bfe-20260925T151238Z,S1-ERA-4,S1,verify_credential,groth16,G16-d11-p1,0x4c66175a4920a8faf2a9ea23c7fe067b8de5a49488cc7ff70d9fca40f125f4e6,confirmed_success,2026-09-25T15:12:44.668Z,present,21,verified,2026-09-25T15:12:46.599Z,2026-09-25T15:12:48.599Z,2026-09-25T15:12:50.599Z,0x02b20c3feae1c30d4dab09f420cc81350fbec87c900e0e01c0b63179b373820d,0xe84f9c53bbf012d9ae10eef42075855f2e8ee4b01c1e84b1ce9274f82d18ae5b,0xbc9773376eb3032dd45889d32b8f52892baed652650639b1ebdc2f517a47ac75,11155111,11155111,1.931,3.931,5.931,included
dry-S2-05c9bfe-20260925T151245Z,S2-ERA-1,S2,verify_credential,groth16,G16-d11-p1,0xb01b80e7c180acf971b2eec5b0658b7440ca67ba6298fc0d7e48431151b291d5,confirmed_success,2026-09-25T15:12:45.561Z,present,22,verified,2026-09-25T15:12:47.506Z,2026-09-25T15:12:49.506Z,2026-09-25T15:12:51.506Z,0xd4dcf605fabc8925397caca62762a8eecafa050f1781118692cd7e1b4e5bde37,0x61623370de5211c8a34aa2e994c207130d79e652f2ac57762311a29515197f80,0x59263dfc495850f1e60efb33fdab1bf3b30b06798509ef6385c7d70e11a92524,11155111,11155111,1.945,3.945,5.945,included
dry-S2-05c9bfe-20260925T151245Z,S2-ERA-2,S2,verify_credential,plonk,PLK-d11-p0,0xe621342a31177971843c4e261d0ea5e6d46f280fcfd47ab874aef4bee1cedc68,confirmed_success,2026-09-25T15:12:46.088Z,present,23,verified,2026-09-25T15:12:48.416Z,2026-09-25T15:12:50.416Z,2026-09-25T15:12:52.416Z,0xb15374475cd9e656d12b0cd5542d08fabea72df1f6045135753863c37dda4105,0x10b7cbbffca69be4264da280d9dad89c973477410b475f0b09577ffe894f18c9,0x9d37180acae775ab3a63b425af5557f1cadf12cc9d26bbc19589ca23533e70ce,11155111,11155111,2.328,4.328,6.328,included
dry-S2-05c9bfe-20260925T151245Z,S2-ERA-3,S2,verify_credential,groth16,G16-d11-p0,0x6faf6c53e2996b4888385e935910d637000395ad6702ad48d47c2e08ab2640b0,confirmed_success,2026-09-25T15:12:46.611Z,present,23,verified,2026-09-25T15:12:48.416Z,2026-09-25T15:12:50.416Z,2026-09-25T15:12:52.416Z,0xb15374475cd9e656d12b0cd5542d08fabea72df1f6045135753863c37dda4105,0x10b7cbbffca69be4264da280d9dad89c973477410b475f0b09577ffe894f18c9,0x9d37180acae775ab3a63b425af5557f1cadf12cc9d26bbc19589ca23533e70ce,11155111,11155111,1.805,3.805,5.805,included
dry-S2-05c9bfe-20260925T151245Z,S2-ERA-4,S2,verify_credential,plonk,PLK-d11-p1,0x2e824d48f3168306c129754a29da63cb93f00426ba59355ebb6cd69527772c53,confirmed_success,2026-09-25T15:12:47.138Z,present,24,verified,2026-09-25T15:12:49.329Z,2026-09-25T15:12:51.329Z,2026-09-25T15:12:53.329Z,0x0bc9b12df7c6929494f3217be16601f0e3711f65078b196e9115745be481ac35,0x948f5be70401f556ae2653d4148983c2af580d409dab0cdf5c8b79c423123bc9,0xd380d3e4908456556b32d1b009722e9de491744b54943d7c1ada536612ec9211,11155111,11155111,2.191,4.191,6.191,included
dry-S3-05c9bfe-20260925T151251Z,S3-ERA-1,S3,verify_credential,groth16,G16-d11-p1,0xd70eab2e62853294afc2cd02edfadb21b4b6922282b018ecf49fbe18dc1ef985,confirmed_success,2026-09-25T15:12:55.270Z,present,33,verified,2026-09-25T15:12:57.528Z,2026-09-25T15:12:59.528Z,2026-09-25T15:13:01.528Z,0x007f12816afd74f9721fa276fb8fb2aabed019e3a3f273159edcb51b1bbe72b3,0x04b8d33f6e92185b6574f5033f03c5353cb66aa1c280acb340cfb0cf75ec87cd,0x9c2e6069fc5f3d9c10d1ba0050e9eaf89279f127f33059f4982cf4d57f760226,11155111,11155111,2.258,4.258,6.258,included
dry-S3-05c9bfe-20260925T151251Z,S3-ERA-2,S3,verify_credential,plonk,PLK-d11-p0,0x73be2556c7cc0bbbf2323ea29ce76a60c30c7b146c125deeb830614c093f0879,confirmed_success,2026-09-25T15:12:55.795Z,present,33,verified,2026-09-25T15:12:57.528Z,2026-09-25T15:12:59.528Z,2026-09-25T15:13:01.528Z,0x007f12816afd74f9721fa276fb8fb2aabed019e3a3f273159edcb51b1bbe72b3,0x04b8d33f6e92185b6574f5033f03c5353cb66aa1c280acb340cfb0cf75ec87cd,0x9c2e6069fc5f3d9c10d1ba0050e9eaf89279f127f33059f4982cf4d57f760226,11155111,11155111,1.733,3.733,5.733,included
