schedule_id,op,backend,proof_id,row_state,l1_batch_number,batch_status,committed_at,proven_at,executed_at,commit_chain_id,receipt_to_commit_s,receipt_to_prove_s,receipt_to_execute_s
S1-ERA-1,verify_credential,plonk,PLK-d11-p0,confirmed_success,19,verified,2026-09-25T15:12:44.776Z,2026-09-25T15:12:46.776Z,2026-09-25T15:12:48.776Z,11155111,1.677,3.677,5.677
S1-ERA-2,verify_credential,groth16,G16-d11-p0,confirmed_success,20,verified,2026-09-25T15:12:45.687Z,2026-09-25T15:12:47.687Z,2026-09-25T15:12:49.687Z,11155111,2.067,4.067,6.067
S1-ERA-3,verify_credential,plonk,PLK-d11-p1,confirmed_success,20,verified,2026-09-25T15:12:45.687Z,2026-09-25T15:12:47.687Z,2026-09-25T15:12:49.687Z,11155111,1.544,3.544,5.544
S1-ERA-4,verify_credential,groth16,G16-d11-p1,confirmed_success,21,verified,2026-09-25T15:12:46.599Z,2026-09-25T15:12:48.599Z,2026-09-25T15:12:50.599Z,11155111,1.931,3.931,5.931
S2-ERA-1,verify_credential,groth16,G16-d11-p1,confirmed_success,22,verified,2026-09-25T15:12:47.506Z,2026-09-25T15:12:49.506Z,2026-09-25T15:12:51.506Z,11155111,1.945,3.945,5.945
S2-ERA-2,verify_credential,plonk,PLK-d11-p0,confirmed_success,23,verified,2026-09-25T15:12:48.416Z,2026-09-25T15:12:50.416Z,2026-09-25T15:12:52.416Z,11155111,2.328,4.328,6.328
S2-ERA-3,verify_credential,groth16,G16-d11-p0,confirmed_success,23,verified,2026-09-25T15:12:48.416Z,2026-09-25T15:12:50.416Z,2026-09-25T15:12:52.416Z,11155111,1.805,3.805,5.805
S2-ERA-4,verify_credential,plonk,PLK-d11-p1,confirmed_success,24,verified,2026-09-25T15:12:49.329Z,2026-09-25T15:12:51.329Z,2026-09-25T15:12:53.329Z,11155111,2.191,4.191,6.191
S3-ERA-1,verify_credential,groth16,G16-d11-p1,confirmed_success,33,verified,2026-09-25T15:12:57.528Z,2026-09-25T15:12:59.528Z,2026-09-25T15:13:01.528Z,11155111,2.258,4.258,6.258
S3-ERA-2,verify_credential,plonk,PLK-d11-p0,confirmed_success,33,verified,2026-09-25T15:12:57.528Z,2026-09-25T15:12:59.528Z,2026-09-25T15:13:01.528Z,11155111,1.733,3.733,5.733
S3-ERA-3,verify_credential,groth16,G16-d11-p0,confirmed_success,34,verified,2026-09-25T15:12:58.435Z,2026-09-25T15:13:00.435Z,2026-09-25T15:13:02.435Z,11155111,2.118,4.118,6.118
S3-ERA-4,verify_credential,plonk,PLK-d11-p1,confirmed_success,34,verified,2026-09-25T15:12:58.435Z,2026-09-25T15:13:00.435Z,2026-09-25T15:13:02.435Z,11155111,1.592,3.592,5.592
SETUP-ERA-01,deploy_verifier,groth16,,confirmed_success,10,verified,2026-09-25T15:12:36.575Z,2026-09-25T15:12:38.575Z,2026-09-25T15:12:40.575Z,11155111,1.693,3.693,5.693
SETUP-ERA-02,deploy_manager,groth16,,confirmed_success,11,verified,2026-09-25T15:12:37.490Z,2026-09-25T15:12:39.490Z,2026-09-25T15:12:41.490Z,11155111,2.075,4.075,6.075
SETUP-ERA-03,set_issuer,groth16,,confirmed_success,11,verified,2026-09-25T15:12:37.490Z,2026-09-25T15:12:39.490Z,2026-09-25T15:12:41.490Z,11155111,1.554,3.554,5.554
SETUP-ERA-04,add_root,groth16,,confirmed_success,12,verified,2026-09-25T15:12:38.399Z,2026-09-25T15:12:40.399Z,2026-09-25T15:12:42.399Z,11155111,1.937,3.937,5.937
SETUP-ERA-05,deploy_verifier,plonk,,confirmed_success,13,verified,2026-09-25T15:12:39.310Z,2026-09-25T15:12:41.310Z,2026-09-25T15:12:43.310Z,11155111,2.299,4.299,6.299
SETUP-ERA-06,deploy_manager,plonk,,confirmed_success,13,verified,2026-09-25T15:12:39.310Z,2026-09-25T15:12:41.310Z,2026-09-25T15:12:43.310Z,11155111,1.772,3.772,5.772
SETUP-ERA-07,set_issuer,plonk,,confirmed_success,14,verified,2026-09-25T15:12:40.217Z,2026-09-25T15:12:42.217Z,2026-09-25T15:12:44.217Z,11155111,2.154,4.154,6.154
SETUP-ERA-08,add_root,plonk,,confirmed_success,14,verified,2026-09-25T15:12:40.217Z,2026-09-25T15:12:42.217Z,2026-09-25T15:12:44.217Z,11155111,1.627,3.627,5.627
