schedule_id,_run,session_id,phase,block_id,pair_id,network,backend,op,proof_id,state,error_class,tx_hash,gas_used,effective_gas_price,receipt_fee_wei,fee_consistency_ok,send_to_hash_ms,hash_to_receipt_ms,request_to_receipt_ms,polls,inclusion_block,inclusion_block_time_utc,block_at_hash,l1_batch_number,runtime_matches_artifact,t0_utc
SETUP-SEP-01,dry-setup-sepolia-05c9bfe-20260925T151225Z,SETUP,setup,SETUP-SEP,,sepolia,groth16,deploy_verifier,,confirmed_success,,0xaa2c3e3f10d1a14f522c46812426b03f5f169ea024c9fb43b5e70f6fb336bd06,349628,2500000000,874070000000000,1,3.053,1005.643,1008.696,3,1,2026-09-25T15:12:26.000Z,0,,1,2026-09-25T15:12:25.781Z
SETUP-SEP-02,dry-setup-sepolia-05c9bfe-20260925T151225Z,SETUP,setup,SETUP-SEP,,sepolia,groth16,deploy_manager,,confirmed_success,,0xa2bd4fe8542fd7ae89069bd09a781d1c3763ad6284f00d5774d155754fa48406,565248,2500000000,1413120000000000,1,8.263,1006.685,1014.948,3,2,2026-09-25T15:12:27.000Z,1,,1,2026-09-25T15:12:26.809Z
SETUP-SEP-03,dry-setup-sepolia-05c9bfe-20260925T151225Z,SETUP,setup,SETUP-SEP,,sepolia,groth16,set_issuer,,confirmed_success,,0xa68c862869158aa234c74918ee86d4877ad9200b1bbca663cc9070d5bc5baa74,47900,2500000000,119750000000000,1,4.991,1007.516,1012.507,3,3,2026-09-25T15:12:28.000Z,2,,,2026-09-25T15:12:27.837Z
SETUP-SEP-04,dry-setup-sepolia-05c9bfe-20260925T151225Z,SETUP,setup,SETUP-SEP,,sepolia,groth16,add_root,,confirmed_success,,0xff56ec1d230243713fb4dd929c5476932049580b1c1da2a09645543e7d09a653,47334,2500000000,118335000000000,1,3.303,1008.002,1011.305,3,4,2026-09-25T15:12:29.000Z,3,,,2026-09-25T15:12:28.861Z
SETUP-SEP-05,dry-setup-sepolia-05c9bfe-20260925T151225Z,SETUP,setup,SETUP-SEP,,sepolia,plonk,deploy_verifier,,confirmed_success,,0xbfdb8de4c0e44277058c60d27a8c73da0d5b69f300b40c536a0c2ca32c2c5a3e,1226937,2500000000,3067342500000000,1,10.048,1008.893,1018.941,3,5,2026-09-25T15:12:30.000Z,4,,1,2026-09-25T15:12:29.889Z
SETUP-SEP-06,dry-setup-sepolia-05c9bfe-20260925T151225Z,SETUP,setup,SETUP-SEP,,sepolia,plonk,deploy_manager,,confirmed_success,,0xac4edd98b797eb29bbf35d811a9b56cc8824bf5f979a166035d8e4fa544800e5,541930,2500000000,1354825000000000,1,5.371,1008.324,1013.695,3,6,2026-09-25T15:12:31.000Z,5,,1,2026-09-25T15:12:30.921Z
SETUP-SEP-07,dry-setup-sepolia-05c9bfe-20260925T151225Z,SETUP,setup,SETUP-SEP,,sepolia,plonk,set_issuer,,confirmed_success,,0xcf6719efae2792c0b9d83818a3ab2dded1f46d16ad661fb05704ca3eb1f5de7e,47900,2500000000,119750000000000,1,3.19,1009.35,1012.54,3,7,2026-09-25T15:12:32.000Z,6,,,2026-09-25T15:12:31.946Z
SETUP-SEP-08,dry-setup-sepolia-05c9bfe-20260925T151225Z,SETUP,setup,SETUP-SEP,,sepolia,plonk,add_root,,confirmed_success,,0x329c095d1efee67c5b24aaa99f2fd4891527d1d94ddc0ed3503cc4ff1a283d67,47334,2500000000,118335000000000,1,4.21,1011.3,1015.51,3,8,2026-09-25T15:12:33.000Z,7,,,2026-09-25T15:12:32.972Z
SETUP-ERA-01,dry-setup-era-sepolia-05c9bfe-20260925T151234Z,SETUP,setup,SETUP-ERA,,era-sepolia,groth16,deploy_verifier,,confirmed_success,,0x0e7607c0fedeab2fc3ec15e9f2db5a1a857934b6da94910d020e6fb866f00a62,757146,25000000,18928650000000,1,2.753,504.228,506.981,2,30,2026-09-25T15:12:55.000Z,29,10,1,2026-09-25T15:12:34.375Z
SETUP-ERA-02,dry-setup-era-sepolia-05c9bfe-20260925T151234Z,SETUP,setup,SETUP-ERA,,era-sepolia,groth16,deploy_manager,,confirmed_success,,0x7cebb3b8f03e0e8e840f6d1531946b6e6c0b6ee03dafe217f14c8cc2c3df3a81,1161857,25000000,29046425000000,1,5.135,507.499,512.634,2,32,2026-09-25T15:12:57.000Z,31,11,1,2026-09-25T15:12:34.902Z
SETUP-ERA-03,dry-setup-era-sepolia-05c9bfe-20260925T151234Z,SETUP,setup,SETUP-ERA,,era-sepolia,groth16,set_issuer,,confirmed_success,,0x609020c05ed8be24390ea03cd83e7d4f875dc95c5cc292adff8153f47d372028,128557,25000000,3213925000000,1,3.449,504.467,507.916,2,33,2026-09-25T15:12:58.000Z,32,11,,2026-09-25T15:12:35.428Z
SETUP-ERA-04,dry-setup-era-sepolia-05c9bfe-20260925T151234Z,SETUP,setup,SETUP-ERA,,era-sepolia,groth16,add_root,,confirmed_success,,0x833b003415da8f37e082de6d857957a138076010ab838c577d0052fefa9a0e7f,128877,25000000,3221925000000,1,3.707,504.069,507.776,2,35,2026-09-25T15:13:00.000Z,34,12,,2026-09-25T15:12:35.954Z
SETUP-ERA-05,dry-setup-era-sepolia-05c9bfe-20260925T151234Z,SETUP,setup,SETUP-ERA,,era-sepolia,plonk,deploy_verifier,,confirmed_success,,0x525ec0b32b7cf61f227382964cdeb8d34fd4cd9bf9a23cf689b9cbebe1a28787,4898160,25000000,122454000000000,1,7.474,503.654,511.128,2,37,2026-09-25T15:13:02.000Z,36,13,1,2026-09-25T15:12:36.500Z
SETUP-ERA-06,dry-setup-era-sepolia-05c9bfe-20260925T151234Z,SETUP,setup,SETUP-ERA,,era-sepolia,plonk,deploy_manager,,confirmed_success,,0xae16244c74c3c7c11a372f9fb1241f5a3935da515091ad694f933b9fbbb6a8b6,1138747,25000000,28468675000000,1,7.473,502.876,510.349,2,39,2026-09-25T15:13:04.000Z,38,13,1,2026-09-25T15:12:37.028Z
SETUP-ERA-07,dry-setup-era-sepolia-05c9bfe-20260925T151234Z,SETUP,setup,SETUP-ERA,,era-sepolia,plonk,set_issuer,,confirmed_success,,0x8e9ab4e0f1e4abbc5a025f08c7f063a6b419037ac75b340a1f2daf75fc2bc9c7,128541,25000000,3213525000000,1,5.259,506.997,512.256,2,40,2026-09-25T15:13:05.000Z,39,14,,2026-09-25T15:12:37.551Z
SETUP-ERA-08,dry-setup-era-sepolia-05c9bfe-20260925T151234Z,SETUP,setup,SETUP-ERA,,era-sepolia,plonk,add_root,,confirmed_success,,0x4424a7a8c60bce170ca60d0cd97606afcb8507f22f7612ac4b7500e5b718dec7,128861,25000000,3221525000000,1,3.985,507.053,511.038,2,42,2026-09-25T15:13:07.000Z,41,14,,2026-09-25T15:12:38.079Z
S1-SEP-1,dry-S1-05c9bfe-20260925T151238Z,S1,verification,S1-SEP,S1-SEP-P1,sepolia,plonk,verify_credential,PLK-d11-p0,confirmed_success,,0x8881a32dc9416af6ff890adf81f1201cb359f2d43dd3ce9e09b6775a57e51bc9,300026,2500000000,750065000000000,1,2.13,1006.151,1008.281,3,14,2026-09-25T15:12:39.000Z,13,,,2026-09-25T15:12:38.977Z
S1-SEP-2,dry-S1-05c9bfe-20260925T151238Z,S1,verification,S1-SEP,S1-SEP-P1,sepolia,groth16,verify_credential,G16-d11-p1,confirmed_success,,0x3eaa4d2d2938da177818f2f6952a87461803b21c8e80f8eeb1f9ff47fc5afbf3,223958,2500000000,559895000000000,1,4.358,1006.109,1010.467,3,15,2026-09-25T15:12:40.000Z,14,,,2026-09-25T15:12:40.004Z
S1-SEP-3,dry-S1-05c9bfe-20260925T151238Z,S1,verification,S1-SEP,S1-SEP-P2,sepolia,plonk,verify_credential,PLK-d11-p1,confirmed_success,,0x7ae01796f91a4f340cd4089c824f4076c304cc1100093e60dfec4f6aee689f13,299880,2500000000,749700000000000,1,4.639,507.828,512.467,2,16,2026-09-25T15:12:41.000Z,15,,,2026-09-25T15:12:41.026Z
