session_id,network,backend,planned,confirmed_success,session_first_t0_utc,gas_used_median,receipt_fee_wei_median,effective_gas_price_median,request_to_receipt_ms_median,request_to_receipt_ms_min,request_to_receipt_ms_max
S1,era-sepolia,groth16,2,2,2026-09-25T15:12:43.112Z,452764,11319100000000,25000000,509.584,508.483,510.685
S1,era-sepolia,plonk,2,2,2026-09-25T15:12:42.595Z,454368,11359200000000,25000000,506.413,504.028,508.799
S1,sepolia,groth16,2,2,2026-09-25T15:12:40.004Z,223952,559880000000000,2500000000,1011.277,1010.467,1012.088
S1,sepolia,plonk,2,2,2026-09-25T15:12:38.977Z,299953,749882500000000,2500000000,760.374,512.467,1008.281
S2,era-sepolia,groth16,2,2,2026-09-25T15:12:45.052Z,452764,11319100000000,25000000,509.15,509.097,509.204
S2,era-sepolia,plonk,2,2,2026-09-25T15:12:45.575Z,454368,11359200000000,25000000,513.664,513.263,514.065
S2,sepolia,groth16,2,2,2026-09-25T15:12:47.169Z,223952,559880000000000,2500000000,761.979,509.733,1014.225
S2,sepolia,plonk,2,2,2026-09-25T15:12:47.689Z,299953,749882500000000,2500000000,1016.707,1016.398,1017.016
S3,era-sepolia,groth16,2,2,2026-09-25T15:12:54.763Z,452764,11319100000000,25000000,507.348,507.122,507.574
S3,era-sepolia,plonk,2,2,2026-09-25T15:12:55.284Z,454368,11359200000000,25000000,511.36,510.799,511.92
S3,sepolia,groth16,2,2,2026-09-25T15:12:51.657Z,223952,559880000000000,2500000000,1016.784,1016.578,1016.989
S3,sepolia,plonk,2,2,2026-09-25T15:12:51.137Z,299953,749882500000000,2500000000,762.994,508.272,1017.715
