phase,network,backend,op,planned,unsent_preflight_failure,unsent_client_error,unsent_insufficient_balance,submitted_no_receipt,reverted,confirmed_success,gas_used_min,gas_used_median,gas_used_max,effective_gas_price_min,effective_gas_price_median,effective_gas_price_max,receipt_fee_wei_min,receipt_fee_wei_median,receipt_fee_wei_max,send_to_hash_ms_min,send_to_hash_ms_median,send_to_hash_ms_max,hash_to_receipt_ms_min,hash_to_receipt_ms_median,hash_to_receipt_ms_max,request_to_receipt_ms_min,request_to_receipt_ms_median,request_to_receipt_ms_max
setup,era-sepolia,groth16,add_root,1,0,0,0,0,0,1,128877,128877,128877,25000000,25000000,25000000,3221925000000,3221925000000,3221925000000,3.707,3.707,3.707,504.069,504.069,504.069,507.776,507.776,507.776
setup,era-sepolia,groth16,deploy_manager,1,0,0,0,0,0,1,1161857,1161857,1161857,25000000,25000000,25000000,29046425000000,29046425000000,29046425000000,5.135,5.135,5.135,507.499,507.499,507.499,512.634,512.634,512.634
setup,era-sepolia,groth16,deploy_verifier,1,0,0,0,0,0,1,757146,757146,757146,25000000,25000000,25000000,18928650000000,18928650000000,18928650000000,2.753,2.753,2.753,504.228,504.228,504.228,506.981,506.981,506.981
setup,era-sepolia,groth16,set_issuer,1,0,0,0,0,0,1,128557,128557,128557,25000000,25000000,25000000,3213925000000,3213925000000,3213925000000,3.449,3.449,3.449,504.467,504.467,504.467,507.916,507.916,507.916
setup,era-sepolia,plonk,add_root,1,0,0,0,0,0,1,128861,128861,128861,25000000,25000000,25000000,3221525000000,3221525000000,3221525000000,3.985,3.985,3.985,507.053,507.053,507.053,511.038,511.038,511.038
setup,era-sepolia,plonk,deploy_manager,1,0,0,0,0,0,1,1138747,1138747,1138747,25000000,25000000,25000000,28468675000000,28468675000000,28468675000000,7.473,7.473,7.473,502.876,502.876,502.876,510.349,510.349,510.349
setup,era-sepolia,plonk,deploy_verifier,1,0,0,0,0,0,1,4898160,4898160,4898160,25000000,25000000,25000000,122454000000000,122454000000000,122454000000000,7.474,7.474,7.474,503.654,503.654,503.654,511.128,511.128,511.128
setup,era-sepolia,plonk,set_issuer,1,0,0,0,0,0,1,128541,128541,128541,25000000,25000000,25000000,3213525000000,3213525000000,3213525000000,5.259,5.259,5.259,506.997,506.997,506.997,512.256,512.256,512.256
setup,sepolia,groth16,add_root,1,0,0,0,0,0,1,47334,47334,47334,2500000000,2500000000,2500000000,118335000000000,118335000000000,118335000000000,3.303,3.303,3.303,1008.002,1008.002,1008.002,1011.305,1011.305,1011.305
setup,sepolia,groth16,deploy_manager,1,0,0,0,0,0,1,565248,565248,565248,2500000000,2500000000,2500000000,1413120000000000,1413120000000000,1413120000000000,8.263,8.263,8.263,1006.685,1006.685,1006.685,1014.948,1014.948,1014.948
setup,sepolia,groth16,deploy_verifier,1,0,0,0,0,0,1,349628,349628,349628,2500000000,2500000000,2500000000,874070000000000,874070000000000,874070000000000,3.053,3.053,3.053,1005.643,1005.643,1005.643,1008.696,1008.696,1008.696
setup,sepolia,groth16,set_issuer,1,0,0,0,0,0,1,47900,47900,47900,2500000000,2500000000,2500000000,119750000000000,119750000000000,119750000000000,4.991,4.991,4.991,1007.516,1007.516,1007.516,1012.507,1012.507,1012.507
setup,sepolia,plonk,add_root,1,0,0,0,0,0,1,47334,47334,47334,2500000000,2500000000,2500000000,118335000000000,118335000000000,118335000000000,4.21,4.21,4.21,1011.3,1011.3,1011.3,1015.51,1015.51,1015.51
setup,sepolia,plonk,deploy_manager,1,0,0,0,0,0,1,541930,541930,541930,2500000000,2500000000,2500000000,1354825000000000,1354825000000000,1354825000000000,5.371,5.371,5.371,1008.324,1008.324,1008.324,1013.695,1013.695,1013.695
setup,sepolia,plonk,deploy_verifier,1,0,0,0,0,0,1,1226937,1226937,1226937,2500000000,2500000000,2500000000,3067342500000000,3067342500000000,3067342500000000,10.048,10.048,10.048,1008.893,1008.893,1008.893,1018.941,1018.941,1018.941
setup,sepolia,plonk,set_issuer,1,0,0,0,0,0,1,47900,47900,47900,2500000000,2500000000,2500000000,119750000000000,119750000000000,119750000000000,3.19,3.19,3.19,1009.35,1009.35,1009.35,1012.54,1012.54,1012.54
verification,era-sepolia,groth16,verify_credential,6,0,0,0,0,0,6,452764,452764,452764,25000000,25000000,25000000,11319100000000,11319100000000,11319100000000,1.626,4.226,5.051,503.192,504.565,507.578,507.122,508.79,510.685
verification,era-sepolia,plonk,verify_credential,6,0,0,0,0,0,6,454329,454368,454407,25000000,25000000,25000000,11358225000000,11359200000000,11360175000000,3.609,5.095,6.238,500.419,506.397,507.827,504.028,511.36,514.065
verification,sepolia,groth16,verify_credential,6,0,0,0,0,0,6,223946,223952,223958,2500000000,2500000000,2500000000,559865000000000,559880000000000,559895000000000,2.68,3.871,4.358,507.053,1009.245,1013.37,509.733,1013.157,1016.989
verification,sepolia,plonk,verify_credential,6,0,0,0,0,0,6,299880,299953,300026,2500000000,2500000000,2500000000,749700000000000,749882500000000,750065000000000,1.826,4.155,4.8,506.446,1009.152,1013.649,508.272,1012.34,1017.715
