schedule_id,_run,session_id,phase,block_id,pair_id,network,backend,op,proof_id,state,error_class,tx_hash,gas_used,effective_gas_price,receipt_fee_wei,fee_consistency_ok,send_to_hash_ms,hash_to_receipt_ms,request_to_receipt_ms,polls,inclusion_block,inclusion_block_time_utc,block_at_hash,l1_batch_number,runtime_matches_artifact,t0_utc
SETUP-SEP-01,dry-setup-sepolia-6827943-20260925T164639Z,SETUP,setup,SETUP-SEP,,sepolia,groth16,deploy_verifier,,confirmed_success,,0xa93be084e72ac365b72334c23d9289cfd43b97a5e1d7b46877b7257649bdf556,349628,2500000000,874070000000000,1,2.343,1011.373,1013.716,3,1,2026-09-25T16:46:39.000Z,0,,1,2026-09-25T16:46:39.182Z
SETUP-SEP-02,dry-setup-sepolia-6827943-20260925T164639Z,SETUP,setup,SETUP-SEP,,sepolia,groth16,deploy_manager,,confirmed_success,,0xd87611947d972ce0fb713d5cf5390f45c274093910d606fe9d8bec3c966385b6,565248,2500000000,1413120000000000,1,6.209,1010.109,1016.318,3,2,2026-09-25T16:46:40.000Z,1,,1,2026-09-25T16:46:40.212Z
SETUP-SEP-03,dry-setup-sepolia-6827943-20260925T164639Z,SETUP,setup,SETUP-SEP,,sepolia,groth16,set_issuer,,confirmed_success,,0xd65975b3488086f7324ff6fbdbccd15160a77accd39e8f70b48bf7bfe26cacb6,47900,2500000000,119750000000000,1,3.457,1005.089,1008.546,3,3,2026-09-25T16:46:41.000Z,2,,,2026-09-25T16:46:41.239Z
SETUP-SEP-04,dry-setup-sepolia-6827943-20260925T164639Z,SETUP,setup,SETUP-SEP,,sepolia,groth16,add_root,,confirmed_success,,0xd92958e932bf566439cae21f7b2f564ddee1f207ead069803d631304b2a8e1ec,47334,2500000000,118335000000000,1,3.314,1011.602,1014.916,3,4,2026-09-25T16:46:42.000Z,3,,,2026-09-25T16:46:42.257Z
SETUP-SEP-05,dry-setup-sepolia-6827943-20260925T164639Z,SETUP,setup,SETUP-SEP,,sepolia,plonk,deploy_verifier,,confirmed_success,,0xdff194bce9f373747a33822cfbb49dca0db2c2fdde264af617be5a17cfaebfb7,1226937,2500000000,3067342500000000,1,9.525,1009.497,1019.022,3,5,2026-09-25T16:46:43.000Z,4,,1,2026-09-25T16:46:43.286Z
SETUP-SEP-06,dry-setup-sepolia-6827943-20260925T164639Z,SETUP,setup,SETUP-SEP,,sepolia,plonk,deploy_manager,,confirmed_success,,0xf5c366162c675737fbf4d6da39955ebe52aab84fc296cb190df2d75e5a1e6e77,541930,2500000000,1354825000000000,1,4.902,1010.168,1015.07,3,6,2026-09-25T16:46:44.000Z,5,,1,2026-09-25T16:46:44.316Z
SETUP-SEP-07,dry-setup-sepolia-6827943-20260925T164639Z,SETUP,setup,SETUP-SEP,,sepolia,plonk,set_issuer,,confirmed_success,,0xa8d386d92966cd0df48b4877465915d3d85630004d22dc87332c6bfaeec0ce15,47900,2500000000,119750000000000,1,4.262,1009.529,1013.791,3,7,2026-09-25T16:46:45.000Z,6,,,2026-09-25T16:46:45.339Z
SETUP-SEP-08,dry-setup-sepolia-6827943-20260925T164639Z,SETUP,setup,SETUP-SEP,,sepolia,plonk,add_root,,confirmed_success,,0x5429a9f932f281bbc0a82ae4d0994283fdbcbb08d439ed3119e6708ac8cd8ca7,47334,2500000000,118335000000000,1,3.51,1009.157,1012.667,3,8,2026-09-25T16:46:46.000Z,7,,,2026-09-25T16:46:46.360Z
SETUP-ERA-01,dry-setup-era-sepolia-6827943-20260925T164647Z,SETUP,setup,SETUP-ERA,,era-sepolia,groth16,deploy_verifier,,confirmed_success,,0x09c8f6d8aadd68c30aaf770d8723e4b1f5e71e6518f042d9765c362d7b42c47c,757146,25000000,18928650000000,1,2.392,507.014,509.406,2,29,2026-09-25T16:47:07.000Z,28,10,1,2026-09-25T16:46:47.627Z
SETUP-ERA-02,dry-setup-era-sepolia-6827943-20260925T164647Z,SETUP,setup,SETUP-ERA,,era-sepolia,groth16,deploy_manager,,confirmed_success,,0x3b1a50d2d66a71138a7c175f2e17d3f37b770d998fe9f7292b302137b68cf224,1161857,25000000,29046425000000,1,7.133,507.2,514.333,2,31,2026-09-25T16:47:09.000Z,30,11,1,2026-09-25T16:46:48.153Z
SETUP-ERA-03,dry-setup-era-sepolia-6827943-20260925T164647Z,SETUP,setup,SETUP-ERA,,era-sepolia,groth16,set_issuer,,confirmed_success,,0x9989be12ac3cf563848d8d0d2a74f3290d6e20feb5a7eb08b4e87a29caaf393b,128557,25000000,3213925000000,1,5.1,508.33,513.43,2,33,2026-09-25T16:47:11.000Z,32,11,,2026-09-25T16:46:48.681Z
SETUP-ERA-04,dry-setup-era-sepolia-6827943-20260925T164647Z,SETUP,setup,SETUP-ERA,,era-sepolia,groth16,add_root,,confirmed_success,,0xd18b26c1b3c9d7516ed39c61c222daccb08f24d7ed486262772076e4f6cd72d5,128877,25000000,3221925000000,1,4.452,505.569,510.021,2,34,2026-09-25T16:47:12.000Z,33,12,,2026-09-25T16:46:49.205Z
SETUP-ERA-05,dry-setup-era-sepolia-6827943-20260925T164647Z,SETUP,setup,SETUP-ERA,,era-sepolia,plonk,deploy_verifier,,confirmed_success,,0x71f4bf4b8dd431018407829355cbc313c259e74e6358a5f91b4c4f4e72256e99,4898160,25000000,122454000000000,1,11.555,508.36,519.915,2,36,2026-09-25T16:47:14.000Z,35,12,1,2026-09-25T16:46:49.751Z
SETUP-ERA-06,dry-setup-era-sepolia-6827943-20260925T164647Z,SETUP,setup,SETUP-ERA,,era-sepolia,plonk,deploy_manager,,confirmed_success,,0xcd707d50910aa40fea02b3e442680b7ca13523d67575b9fdbbe6bfac0003e5ca,1138747,25000000,28468675000000,1,5.446,506.974,512.42,2,38,2026-09-25T16:47:16.000Z,37,13,1,2026-09-25T16:46:50.286Z
SETUP-ERA-07,dry-setup-era-sepolia-6827943-20260925T164647Z,SETUP,setup,SETUP-ERA,,era-sepolia,plonk,set_issuer,,confirmed_success,,0x9f48e20a014cfe60bb4b03792f21adba925043cdd41fd42c02137100ccbc8585,128541,25000000,3213525000000,1,4.426,1.011,5.437,1,39,2026-09-25T16:47:17.000Z,39,13,,2026-09-25T16:46:50.810Z
SETUP-ERA-08,dry-setup-era-sepolia-6827943-20260925T164647Z,SETUP,setup,SETUP-ERA,,era-sepolia,plonk,add_root,,confirmed_success,,0x233fac911188317c018cc43c9650d1d794727c96bc99add29ebabcb66f47fbb4,128861,25000000,3221525000000,1,3.334,504.688,508.022,2,40,2026-09-25T16:47:18.000Z,39,14,,2026-09-25T16:46:50.823Z
S1-SEP-1,dry-S1-6827943-20260925T164651Z,S1,verification,S1-SEP,S1-SEP-P1,sepolia,plonk,verify_credential,PLK-d11-p0,unsent_client_error,send_rpc_error,,,,,,,,,,,,,,,2026-09-25T16:46:51.582Z
