phase,network,backend,op,planned,unsent_preflight_failure,unsent_client_error,unsent_insufficient_balance,submitted_no_receipt,reverted,confirmed_success,gas_used_min,gas_used_median,gas_used_max,effective_gas_price_min,effective_gas_price_median,effective_gas_price_max,receipt_fee_wei_min,receipt_fee_wei_median,receipt_fee_wei_max,send_to_hash_ms_min,send_to_hash_ms_median,send_to_hash_ms_max,hash_to_receipt_ms_min,hash_to_receipt_ms_median,hash_to_receipt_ms_max,request_to_receipt_ms_min,request_to_receipt_ms_median,request_to_receipt_ms_max
setup,era-sepolia,groth16,add_root,1,0,0,0,0,0,1,128877,128877,128877,25000000,25000000,25000000,3221925000000,3221925000000,3221925000000,4.452,4.452,4.452,505.569,505.569,505.569,510.021,510.021,510.021
setup,era-sepolia,groth16,deploy_manager,1,0,0,0,0,0,1,1161857,1161857,1161857,25000000,25000000,25000000,29046425000000,29046425000000,29046425000000,7.133,7.133,7.133,507.2,507.2,507.2,514.333,514.333,514.333
setup,era-sepolia,groth16,deploy_verifier,1,0,0,0,0,0,1,757146,757146,757146,25000000,25000000,25000000,18928650000000,18928650000000,18928650000000,2.392,2.392,2.392,507.014,507.014,507.014,509.406,509.406,509.406
setup,era-sepolia,groth16,set_issuer,1,0,0,0,0,0,1,128557,128557,128557,25000000,25000000,25000000,3213925000000,3213925000000,3213925000000,5.1,5.1,5.1,508.33,508.33,508.33,513.43,513.43,513.43
setup,era-sepolia,plonk,add_root,1,0,0,0,0,0,1,128861,128861,128861,25000000,25000000,25000000,3221525000000,3221525000000,3221525000000,3.334,3.334,3.334,504.688,504.688,504.688,508.022,508.022,508.022
setup,era-sepolia,plonk,deploy_manager,1,0,0,0,0,0,1,1138747,1138747,1138747,25000000,25000000,25000000,28468675000000,28468675000000,28468675000000,5.446,5.446,5.446,506.974,506.974,506.974,512.42,512.42,512.42
setup,era-sepolia,plonk,deploy_verifier,1,0,0,0,0,0,1,4898160,4898160,4898160,25000000,25000000,25000000,122454000000000,122454000000000,122454000000000,11.555,11.555,11.555,508.36,508.36,508.36,519.915,519.915,519.915
setup,era-sepolia,plonk,set_issuer,1,0,0,0,0,0,1,128541,128541,128541,25000000,25000000,25000000,3213525000000,3213525000000,3213525000000,4.426,4.426,4.426,1.011,1.011,1.011,5.437,5.437,5.437
setup,sepolia,groth16,add_root,1,0,0,0,0,0,1,47334,47334,47334,2500000000,2500000000,2500000000,118335000000000,118335000000000,118335000000000,3.314,3.314,3.314,1011.602,1011.602,1011.602,1014.916,1014.916,1014.916
setup,sepolia,groth16,deploy_manager,1,0,0,0,0,0,1,565248,565248,565248,2500000000,2500000000,2500000000,1413120000000000,1413120000000000,1413120000000000,6.209,6.209,6.209,1010.109,1010.109,1010.109,1016.318,1016.318,1016.318
setup,sepolia,groth16,deploy_verifier,1,0,0,0,0,0,1,349628,349628,349628,2500000000,2500000000,2500000000,874070000000000,874070000000000,874070000000000,2.343,2.343,2.343,1011.373,1011.373,1011.373,1013.716,1013.716,1013.716
setup,sepolia,groth16,set_issuer,1,0,0,0,0,0,1,47900,47900,47900,2500000000,2500000000,2500000000,119750000000000,119750000000000,119750000000000,3.457,3.457,3.457,1005.089,1005.089,1005.089,1008.546,1008.546,1008.546
setup,sepolia,plonk,add_root,1,0,0,0,0,0,1,47334,47334,47334,2500000000,2500000000,2500000000,118335000000000,118335000000000,118335000000000,3.51,3.51,3.51,1009.157,1009.157,1009.157,1012.667,1012.667,1012.667
setup,sepolia,plonk,deploy_manager,1,0,0,0,0,0,1,541930,541930,541930,2500000000,2500000000,2500000000,1354825000000000,1354825000000000,1354825000000000,4.902,4.902,4.902,1010.168,1010.168,1010.168,1015.07,1015.07,1015.07
setup,sepolia,plonk,deploy_verifier,1,0,0,0,0,0,1,1226937,1226937,1226937,2500000000,2500000000,2500000000,3067342500000000,3067342500000000,3067342500000000,9.525,9.525,9.525,1009.497,1009.497,1009.497,1019.022,1019.022,1019.022
setup,sepolia,plonk,set_issuer,1,0,0,0,0,0,1,47900,47900,47900,2500000000,2500000000,2500000000,119750000000000,119750000000000,119750000000000,4.262,4.262,4.262,1009.529,1009.529,1009.529,1013.791,1013.791,1013.791
verification,era-sepolia,groth16,verify_credential,2,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,
verification,era-sepolia,plonk,verify_credential,2,0,0,1,0,0,1,454329,454329,454329,25000000,25000000,25000000,11358225000000,11358225000000,11358225000000,,,,,,,1017.299,1017.299,1017.299
verification,sepolia,groth16,verify_credential,2,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,
verification,sepolia,plonk,verify_credential,2,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,
