schedule_id,op,backend,proof_id,row_state,l1_batch_number,batch_status,committed_at,proven_at,executed_at,commit_chain_id,receipt_to_commit_s,receipt_to_prove_s,receipt_to_execute_s
S1-ERA-1,verify_credential,plonk,PLK-d11-p0,confirmed_success,19,verified,2026-09-25T16:46:18.504Z,2026-09-25T16:46:20.504Z,2026-09-25T16:46:22.504Z,11155111,1.597,3.597,5.597
S1-ERA-2,verify_credential,groth16,G16-d11-p0,confirmed_success,20,verified,2026-09-25T16:46:19.411Z,2026-09-25T16:46:21.411Z,2026-09-25T16:46:23.411Z,11155111,1.985,3.985,5.985
S1-ERA-3,verify_credential,plonk,PLK-d11-p1,confirmed_success,21,verified,2026-09-25T16:46:20.319Z,2026-09-25T16:46:22.319Z,2026-09-25T16:46:24.319Z,11155111,2.374,4.374,6.374
S1-ERA-4,verify_credential,groth16,G16-d11-p1,confirmed_success,21,verified,2026-09-25T16:46:20.319Z,2026-09-25T16:46:22.319Z,2026-09-25T16:46:24.319Z,11155111,1.856,3.856,5.856
S2-ERA-1,verify_credential,groth16,G16-d11-p1,confirmed_success,22,verified,2026-09-25T16:46:21.225Z,2026-09-25T16:46:23.225Z,2026-09-25T16:46:25.225Z,11155111,2.003,4.003,6.003
S2-ERA-2,verify_credential,plonk,PLK-d11-p0,confirmed_success,23,verified,2026-09-25T16:46:22.133Z,2026-09-25T16:46:24.133Z,2026-09-25T16:46:26.133Z,11155111,2.386,4.386,6.386
S2-ERA-3,verify_credential,groth16,G16-d11-p0,confirmed_success,23,verified,2026-09-25T16:46:22.133Z,2026-09-25T16:46:24.133Z,2026-09-25T16:46:26.133Z,11155111,1.862,3.862,5.862
S2-ERA-4,verify_credential,plonk,PLK-d11-p1,confirmed_success,24,verified,2026-09-25T16:46:23.040Z,2026-09-25T16:46:25.040Z,2026-09-25T16:46:27.040Z,11155111,2.251,4.251,6.251
S3-ERA-1,verify_credential,groth16,G16-d11-p1,confirmed_success,33,verified,2026-09-25T16:46:31.214Z,2026-09-25T16:46:33.214Z,2026-09-25T16:46:35.214Z,11155111,1.958,3.958,5.958
S3-ERA-2,verify_credential,plonk,PLK-d11-p0,confirmed_success,34,verified,2026-09-25T16:46:32.125Z,2026-09-25T16:46:34.125Z,2026-09-25T16:46:36.125Z,11155111,2.347,4.347,6.347
S3-ERA-3,verify_credential,groth16,G16-d11-p0,confirmed_success,34,verified,2026-09-25T16:46:32.125Z,2026-09-25T16:46:34.125Z,2026-09-25T16:46:36.125Z,11155111,1.828,3.828,5.828
S3-ERA-4,verify_credential,plonk,PLK-d11-p1,confirmed_success,35,verified,2026-09-25T16:46:33.036Z,2026-09-25T16:46:35.036Z,2026-09-25T16:46:37.036Z,11155111,2.218,4.218,6.218
SETUP-ERA-01,deploy_verifier,groth16,,confirmed_success,10,verified,2026-09-25T16:46:10.291Z,2026-09-25T16:46:12.291Z,2026-09-25T16:46:14.291Z,11155111,1.95,3.95,5.95
SETUP-ERA-02,deploy_manager,groth16,,confirmed_success,11,verified,2026-09-25T16:46:11.204Z,2026-09-25T16:46:13.204Z,2026-09-25T16:46:15.204Z,11155111,2.332,4.332,6.332
SETUP-ERA-03,set_issuer,groth16,,confirmed_success,11,verified,2026-09-25T16:46:11.204Z,2026-09-25T16:46:13.204Z,2026-09-25T16:46:15.204Z,11155111,1.81,3.81,5.81
SETUP-ERA-04,add_root,groth16,,confirmed_success,12,verified,2026-09-25T16:46:12.113Z,2026-09-25T16:46:14.113Z,2026-09-25T16:46:16.113Z,11155111,2.197,4.197,6.197
SETUP-ERA-05,deploy_verifier,plonk,,confirmed_success,12,verified,2026-09-25T16:46:12.113Z,2026-09-25T16:46:14.113Z,2026-09-25T16:46:16.113Z,11155111,1.649,3.649,5.649
SETUP-ERA-06,deploy_manager,plonk,,confirmed_success,13,verified,2026-09-25T16:46:13.025Z,2026-09-25T16:46:15.025Z,2026-09-25T16:46:17.025Z,11155111,2.037,4.037,6.037
SETUP-ERA-07,set_issuer,plonk,,confirmed_success,13,verified,2026-09-25T16:46:13.025Z,2026-09-25T16:46:15.025Z,2026-09-25T16:46:17.025Z,11155111,1.515,3.515,5.515
SETUP-ERA-08,add_root,plonk,,confirmed_success,14,verified,2026-09-25T16:46:13.941Z,2026-09-25T16:46:15.941Z,2026-09-25T16:46:17.941Z,11155111,1.914,3.914,5.914
