schedule_id,_run,session_id,phase,block_id,pair_id,network,backend,op,proof_id,state,error_class,tx_hash,gas_used,effective_gas_price,receipt_fee_wei,fee_consistency_ok,send_to_hash_ms,hash_to_receipt_ms,request_to_receipt_ms,polls,inclusion_block,inclusion_block_time_utc,block_at_hash,l1_batch_number,runtime_matches_artifact,t0_utc
SETUP-SEP-01,dry-setup-sepolia-6827943-20260925T164559Z,SETUP,setup,SETUP-SEP,,sepolia,groth16,deploy_verifier,,confirmed_success,,0xa93be084e72ac365b72334c23d9289cfd43b97a5e1d7b46877b7257649bdf556,349628,2500000000,874070000000000,1,3.787,1008.379,1012.166,3,1,2026-09-25T16:46:00.000Z,0,,1,2026-09-25T16:45:59.366Z
SETUP-SEP-02,dry-setup-sepolia-6827943-20260925T164559Z,SETUP,setup,SETUP-SEP,,sepolia,groth16,deploy_manager,,confirmed_success,,0xd87611947d972ce0fb713d5cf5390f45c274093910d606fe9d8bec3c966385b6,565248,2500000000,1413120000000000,1,10.283,1013.112,1023.395,3,2,2026-09-25T16:46:01.000Z,1,,1,2026-09-25T16:46:00.392Z
SETUP-SEP-03,dry-setup-sepolia-6827943-20260925T164559Z,SETUP,setup,SETUP-SEP,,sepolia,groth16,set_issuer,,confirmed_success,,0xd65975b3488086f7324ff6fbdbccd15160a77accd39e8f70b48bf7bfe26cacb6,47900,2500000000,119750000000000,1,4.063,1011.708,1015.771,3,3,2026-09-25T16:46:02.000Z,2,,,2026-09-25T16:46:01.427Z
SETUP-SEP-04,dry-setup-sepolia-6827943-20260925T164559Z,SETUP,setup,SETUP-SEP,,sepolia,groth16,add_root,,confirmed_success,,0xd92958e932bf566439cae21f7b2f564ddee1f207ead069803d631304b2a8e1ec,47334,2500000000,118335000000000,1,3.934,1011.687,1015.621,3,4,2026-09-25T16:46:03.000Z,3,,,2026-09-25T16:46:02.453Z
SETUP-SEP-05,dry-setup-sepolia-6827943-20260925T164559Z,SETUP,setup,SETUP-SEP,,sepolia,plonk,deploy_verifier,,confirmed_success,,0xdff194bce9f373747a33822cfbb49dca0db2c2fdde264af617be5a17cfaebfb7,1226937,2500000000,3067342500000000,1,9.77,1011.268,1021.038,3,5,2026-09-25T16:46:04.000Z,4,,1,2026-09-25T16:46:03.484Z
SETUP-SEP-06,dry-setup-sepolia-6827943-20260925T164559Z,SETUP,setup,SETUP-SEP,,sepolia,plonk,deploy_manager,,confirmed_success,,0xf5c366162c675737fbf4d6da39955ebe52aab84fc296cb190df2d75e5a1e6e77,541930,2500000000,1354825000000000,1,5.348,1012.469,1017.817,3,6,2026-09-25T16:46:05.000Z,5,,1,2026-09-25T16:46:04.516Z
SETUP-SEP-07,dry-setup-sepolia-6827943-20260925T164559Z,SETUP,setup,SETUP-SEP,,sepolia,plonk,set_issuer,,confirmed_success,,0xa8d386d92966cd0df48b4877465915d3d85630004d22dc87332c6bfaeec0ce15,47900,2500000000,119750000000000,1,3.627,1008.096,1011.723,3,7,2026-09-25T16:46:06.000Z,6,,,2026-09-25T16:46:05.542Z
SETUP-SEP-08,dry-setup-sepolia-6827943-20260925T164559Z,SETUP,setup,SETUP-SEP,,sepolia,plonk,add_root,,confirmed_success,,0x5429a9f932f281bbc0a82ae4d0994283fdbcbb08d439ed3119e6708ac8cd8ca7,47334,2500000000,118335000000000,1,4.079,1004.407,1008.486,3,8,2026-09-25T16:46:07.000Z,7,,,2026-09-25T16:46:06.563Z
SETUP-ERA-01,dry-setup-era-sepolia-6827943-20260925T164607Z,SETUP,setup,SETUP-ERA,,era-sepolia,groth16,deploy_verifier,,confirmed_success,,0x09c8f6d8aadd68c30aaf770d8723e4b1f5e71e6518f042d9765c362d7b42c47c,757146,25000000,18928650000000,1,2.761,506.986,509.747,2,29,2026-09-25T16:46:28.000Z,28,10,1,2026-09-25T16:46:07.831Z
SETUP-ERA-02,dry-setup-era-sepolia-6827943-20260925T164607Z,SETUP,setup,SETUP-ERA,,era-sepolia,groth16,deploy_manager,,confirmed_success,,0x3b1a50d2d66a71138a7c175f2e17d3f37b770d998fe9f7292b302137b68cf224,1161857,25000000,29046425000000,1,4.841,506.234,511.075,2,31,2026-09-25T16:46:30.000Z,30,11,1,2026-09-25T16:46:08.361Z
SETUP-ERA-03,dry-setup-era-sepolia-6827943-20260925T164607Z,SETUP,setup,SETUP-ERA,,era-sepolia,groth16,set_issuer,,confirmed_success,,0x9989be12ac3cf563848d8d0d2a74f3290d6e20feb5a7eb08b4e87a29caaf393b,128557,25000000,3213925000000,1,4.319,505.521,509.84,2,32,2026-09-25T16:46:31.000Z,31,11,,2026-09-25T16:46:08.884Z
SETUP-ERA-04,dry-setup-era-sepolia-6827943-20260925T164607Z,SETUP,setup,SETUP-ERA,,era-sepolia,groth16,add_root,,confirmed_success,,0xd18b26c1b3c9d7516ed39c61c222daccb08f24d7ed486262772076e4f6cd72d5,128877,25000000,3221925000000,1,4.398,507.48,511.878,2,34,2026-09-25T16:46:33.000Z,33,12,,2026-09-25T16:46:09.404Z
SETUP-ERA-05,dry-setup-era-sepolia-6827943-20260925T164607Z,SETUP,setup,SETUP-ERA,,era-sepolia,plonk,deploy_verifier,,confirmed_success,,0x71f4bf4b8dd431018407829355cbc313c259e74e6358a5f91b4c4f4e72256e99,4898160,25000000,122454000000000,1,7.956,502.664,510.62,2,36,2026-09-25T16:46:35.000Z,35,12,1,2026-09-25T16:46:09.953Z
SETUP-ERA-06,dry-setup-era-sepolia-6827943-20260925T164607Z,SETUP,setup,SETUP-ERA,,era-sepolia,plonk,deploy_manager,,confirmed_success,,0xcd707d50910aa40fea02b3e442680b7ca13523d67575b9fdbbe6bfac0003e5ca,1138747,25000000,28468675000000,1,5.84,504.011,509.851,2,38,2026-09-25T16:46:37.000Z,37,13,1,2026-09-25T16:46:10.478Z
SETUP-ERA-07,dry-setup-era-sepolia-6827943-20260925T164607Z,SETUP,setup,SETUP-ERA,,era-sepolia,plonk,set_issuer,,confirmed_success,,0x9f48e20a014cfe60bb4b03792f21adba925043cdd41fd42c02137100ccbc8585,128541,25000000,3213525000000,1,3.621,507.91,511.531,2,39,2026-09-25T16:46:38.000Z,38,13,,2026-09-25T16:46:10.999Z
