session_id,network,backend,planned,confirmed_success,session_first_t0_utc,gas_used_median,receipt_fee_wei_median,effective_gas_price_median,request_to_receipt_ms_median,request_to_receipt_ms_min,request_to_receipt_ms_max
S1,era-sepolia,groth16,2,2,2026-09-25T16:46:16.918Z,452764,11319100000000,25000000,508.457,508.216,508.699
S1,era-sepolia,plonk,2,2,2026-09-25T16:46:16.400Z,454368,11359200000000,25000000,509.039,507.34,510.738
S1,sepolia,groth16,2,2,2026-09-25T16:46:13.306Z,223952,559880000000000,2500000000,1013.911,1011.506,1016.316
S1,sepolia,plonk,2,2,2026-09-25T16:46:12.280Z,299953,749882500000000,2500000000,1015.437,1014.238,1016.636
S2,era-sepolia,groth16,2,2,2026-09-25T16:46:18.715Z,452764,11319100000000,25000000,509.795,507.587,512.003
S2,era-sepolia,plonk,2,2,2026-09-25T16:46:19.235Z,454368,11359200000000,25000000,509.985,507.852,512.118
S2,sepolia,groth16,2,2,2026-09-25T16:46:20.813Z,223952,559880000000000,2500000000,762.413,510.35,1014.475
S2,sepolia,plonk,2,2,2026-09-25T16:46:21.332Z,299953,749882500000000,2500000000,1012.1,1011.876,1012.324
S3,era-sepolia,groth16,2,2,2026-09-25T16:46:28.747Z,452764,11319100000000,25000000,508.281,507.845,508.717
S3,era-sepolia,plonk,2,2,2026-09-25T16:46:29.266Z,454368,11359200000000,25000000,511.641,511.09,512.192
S3,sepolia,groth16,2,2,2026-09-25T16:46:25.664Z,223952,559880000000000,2500000000,1013.19,1012.035,1014.346
S3,sepolia,plonk,2,2,2026-09-25T16:46:24.643Z,299953,749882500000000,2500000000,1011.467,1010.371,1012.564
