phase,network,backend,op,planned,unsent_preflight_failure,unsent_client_error,unsent_insufficient_balance,submitted_no_receipt,reverted,confirmed_success,gas_used_min,gas_used_median,gas_used_max,effective_gas_price_min,effective_gas_price_median,effective_gas_price_max,receipt_fee_wei_min,receipt_fee_wei_median,receipt_fee_wei_max,send_to_hash_ms_min,send_to_hash_ms_median,send_to_hash_ms_max,hash_to_receipt_ms_min,hash_to_receipt_ms_median,hash_to_receipt_ms_max,request_to_receipt_ms_min,request_to_receipt_ms_median,request_to_receipt_ms_max
setup,era-sepolia,groth16,add_root,1,0,0,0,0,0,1,128877,128877,128877,25000000,25000000,25000000,3221925000000,3221925000000,3221925000000,4.398,4.398,4.398,507.48,507.48,507.48,511.878,511.878,511.878
setup,era-sepolia,groth16,deploy_manager,1,0,0,0,0,0,1,1161857,1161857,1161857,25000000,25000000,25000000,29046425000000,29046425000000,29046425000000,4.841,4.841,4.841,506.234,506.234,506.234,511.075,511.075,511.075
setup,era-sepolia,groth16,deploy_verifier,1,0,0,0,0,0,1,757146,757146,757146,25000000,25000000,25000000,18928650000000,18928650000000,18928650000000,2.761,2.761,2.761,506.986,506.986,506.986,509.747,509.747,509.747
setup,era-sepolia,groth16,set_issuer,1,0,0,0,0,0,1,128557,128557,128557,25000000,25000000,25000000,3213925000000,3213925000000,3213925000000,4.319,4.319,4.319,505.521,505.521,505.521,509.84,509.84,509.84
setup,era-sepolia,plonk,add_root,1,0,0,0,0,0,1,128861,128861,128861,25000000,25000000,25000000,3221525000000,3221525000000,3221525000000,4.706,4.706,4.706,502.858,502.858,502.858,507.564,507.564,507.564
setup,era-sepolia,plonk,deploy_manager,1,0,0,0,0,0,1,1138747,1138747,1138747,25000000,25000000,25000000,28468675000000,28468675000000,28468675000000,5.84,5.84,5.84,504.011,504.011,504.011,509.851,509.851,509.851
setup,era-sepolia,plonk,deploy_verifier,1,0,0,0,0,0,1,4898160,4898160,4898160,25000000,25000000,25000000,122454000000000,122454000000000,122454000000000,7.956,7.956,7.956,502.664,502.664,502.664,510.62,510.62,510.62
setup,era-sepolia,plonk,set_issuer,1,0,0,0,0,0,1,128541,128541,128541,25000000,25000000,25000000,3213525000000,3213525000000,3213525000000,3.621,3.621,3.621,507.91,507.91,507.91,511.531,511.531,511.531
setup,sepolia,groth16,add_root,1,0,0,0,0,0,1,47334,47334,47334,2500000000,2500000000,2500000000,118335000000000,118335000000000,118335000000000,3.934,3.934,3.934,1011.687,1011.687,1011.687,1015.621,1015.621,1015.621
setup,sepolia,groth16,deploy_manager,1,0,0,0,0,0,1,565248,565248,565248,2500000000,2500000000,2500000000,1413120000000000,1413120000000000,1413120000000000,10.283,10.283,10.283,1013.112,1013.112,1013.112,1023.395,1023.395,1023.395
setup,sepolia,groth16,deploy_verifier,1,0,0,0,0,0,1,349628,349628,349628,2500000000,2500000000,2500000000,874070000000000,874070000000000,874070000000000,3.787,3.787,3.787,1008.379,1008.379,1008.379,1012.166,1012.166,1012.166
setup,sepolia,groth16,set_issuer,1,0,0,0,0,0,1,47900,47900,47900,2500000000,2500000000,2500000000,119750000000000,119750000000000,119750000000000,4.063,4.063,4.063,1011.708,1011.708,1011.708,1015.771,1015.771,1015.771
setup,sepolia,plonk,add_root,1,0,0,0,0,0,1,47334,47334,47334,2500000000,2500000000,2500000000,118335000000000,118335000000000,118335000000000,4.079,4.079,4.079,1004.407,1004.407,1004.407,1008.486,1008.486,1008.486
setup,sepolia,plonk,deploy_manager,1,0,0,0,0,0,1,541930,541930,541930,2500000000,2500000000,2500000000,1354825000000000,1354825000000000,1354825000000000,5.348,5.348,5.348,1012.469,1012.469,1012.469,1017.817,1017.817,1017.817
setup,sepolia,plonk,deploy_verifier,1,0,0,0,0,0,1,1226937,1226937,1226937,2500000000,2500000000,2500000000,3067342500000000,3067342500000000,3067342500000000,9.77,9.77,9.77,1011.268,1011.268,1011.268,1021.038,1021.038,1021.038
setup,sepolia,plonk,set_issuer,1,0,0,0,0,0,1,47900,47900,47900,2500000000,2500000000,2500000000,119750000000000,119750000000000,119750000000000,3.627,3.627,3.627,1008.096,1008.096,1008.096,1011.723,1011.723,1011.723
verification,era-sepolia,groth16,verify_credential,6,0,0,0,0,0,6,452764,452764,452764,25000000,25000000,25000000,11319100000000,11319100000000,11319100000000,1.526,3.691,4.223,503.979,505.233,508.338,507.587,508.457,512.003
verification,era-sepolia,plonk,verify_credential,6,0,0,0,0,0,6,454329,454368,454407,25000000,25000000,25000000,11358225000000,11359200000000,11360175000000,3.564,3.94,4.457,503.727,507.223,508.13,507.34,510.914,512.192
verification,sepolia,groth16,verify_credential,6,0,0,0,0,0,6,223946,223952,223958,2500000000,2500000000,2500000000,559865000000000,559880000000000,559895000000000,2.853,3.503,3.76,507.497,1009.753,1012.556,510.35,1013.19,1016.316
verification,sepolia,plonk,verify_credential,6,0,0,0,0,0,6,299880,299953,300026,2500000000,2500000000,2500000000,749700000000000,749882500000000,750065000000000,1.58,3.691,4.466,1007.986,1008.813,1012.476,1010.371,1012.444,1016.636
