backend,profile_id,quantity,metric,rounds,n,median,min,max,values,definition
plonk,cpu2,A_boundary_d11_over_d10,prove_ms,1-5,5,1.92745,1.92069,1.94721,r1=1.94721;r2=1.92315;r3=1.92745;r4=1.92069;r5=1.93849,prove_r(11)/prove_r(10)
plonk,cpu2,S_plateau_medU_over_medL,prove_ms,1-5,5,1.92669,1.92051,1.94229,r1=1.94229;r2=1.92669;r3=1.92051;r4=1.92406;r5=1.93174,"median over d in {11..15} / median over d in {5..10}, per round"
plonk,cpu2,plateau_end_L_d10_over_d5,prove_ms,1-5,5,1.00576,0.943347,1.01321,r1=1.00694;r2=1.00576;r3=0.943347;r4=1.01321;r5=0.993641,prove_r(10)/prove_r(5)
plonk,cpu2,plateau_end_U_d15_over_d11,prove_ms,1-5,5,0.99819,0.99136,1.01767,r1=0.99136;r2=0.99819;r3=0.992228;r4=0.999423;r5=1.01767,prove_r(15)/prove_r(11)
plonk,cpu2,adjacent_d6_over_d5,prove_ms,1-5,5,1.001,0.945587,1.00539,r1=1.001;r2=1.00539;r3=0.945587;r4=1.00457;r5=0.984271,"prove_r(6)/prove_r(5), within plateau L"
plonk,cpu2,adjacent_d7_over_d6,prove_ms,1-5,5,1.0032,0.996888,1.00991,r1=0.999525;r2=0.996888;r3=1.0032;r4=1.00689;r5=1.00991,"prove_r(7)/prove_r(6), within plateau L"
plonk,cpu2,adjacent_d8_over_d7,prove_ms,1-5,5,1.00219,0.999086,1.00575,r1=1.0028;r2=1.00117;r3=0.999086;r4=1.00219;r5=1.00575,"prove_r(8)/prove_r(7), within plateau L"
plonk,cpu2,adjacent_d9_over_d8,prove_ms,1-5,5,0.996927,0.99214,1.00721,r1=0.996927;r2=1.00475;r3=0.99214;r4=0.996544;r5=1.00721,"prove_r(9)/prove_r(8), within plateau L"
plonk,cpu2,adjacent_d10_over_d9,prove_ms,1-5,5,1.00297,0.986783,1.00669,r1=1.00669;r2=0.997578;r3=1.00324;r4=1.00297;r5=0.986783,"prove_r(10)/prove_r(9), within plateau L"
plonk,cpu2,adjacent_within_L_pooled,prove_ms,1-5,25,1.00219,0.945587,1.00991,r1:d6/d5=1.001;r2:d6/d5=1.00539;r3:d6/d5=0.945587;r4:d6/d5=1.00457;r5:d6/d5=0.984271;r1:d7/d6=0.999525;r2:d7/d6=0.996888;r3:d7/d6=1.0032;r4:d7/d6=1.00689;r5:d7/d6=1.00991;r1:d8/d7=1.0028;r2:d8/d7=1.00117;r3:d8/d7=0.999086;r4:d8/d7=1.00219;r5:d8/d7=1.00575;r1:d9/d8=0.996927;r2:d9/d8=1.00475;r3:d9/d8=0.99214;r4:d9/d8=0.996544;r5:d9/d8=1.00721;r1:d10/d9=1.00669;r2:d10/d9=0.997578;r3:d10/d9=1.00324;r4:d10/d9=1.00297;r5:d10/d9=0.986783,"all adjacent ratios within plateau L, pooled over pairs and rounds"
plonk,cpu2,adjacent_d12_over_d11,prove_ms,1-5,5,0.994795,0.990966,1.00095,r1=0.992391;r2=1.00095;r3=0.994795;r4=0.998811;r5=0.990966,"prove_r(12)/prove_r(11), within plateau U"
plonk,cpu2,adjacent_d13_over_d12,prove_ms,1-5,5,0.997993,0.992354,1.00514,r1=0.992354;r2=1.00119;r3=1.00514;r4=0.997993;r5=0.9975,"prove_r(13)/prove_r(12), within plateau U"
plonk,cpu2,adjacent_d14_over_d13,prove_ms,1-5,5,1.00452,0.986627,1.01141,r1=0.986627;r2=0.998352;r3=1.00452;r4=1.01047;r5=1.01141,"prove_r(14)/prove_r(13), within plateau U"
plonk,cpu2,adjacent_d15_over_d14,prove_ms,1-5,5,0.997697,0.98785,1.0203,r1=1.0203;r2=0.997697;r3=0.98785;r4=0.992238;r5=1.01791,"prove_r(15)/prove_r(14), within plateau U"
plonk,cpu2,adjacent_within_U_pooled,prove_ms,1-5,20,0.998173,0.986627,1.0203,r1:d12/d11=0.992391;r2:d12/d11=1.00095;r3:d12/d11=0.994795;r4:d12/d11=0.998811;r5:d12/d11=0.990966;r1:d13/d12=0.992354;r2:d13/d12=1.00119;r3:d13/d12=1.00514;r4:d13/d12=0.997993;r5:d13/d12=0.9975;r1:d14/d13=0.986627;r2:d14/d13=0.998352;r3:d14/d13=1.00452;r4:d14/d13=1.01047;r5:d14/d13=1.01141;r1:d15/d14=1.0203;r2:d15/d14=0.997697;r3:d15/d14=0.98785;r4:d15/d14=0.992238;r5:d15/d14=1.01791,"all adjacent ratios within plateau U, pooled over pairs and rounds"
groth16,cpu2,depth_d15_over_d5,prove_ms,1-5,5,2.02628,1.78929,2.06415,r1=1.78929;r2=2.04151;r3=1.90186;r4=2.02628;r5=2.06415,prove_r(15)/prove_r(5)
groth16,cpu2,B_boundary_d8_over_d7,prove_ms,1-5,5,1.19046,1.00801,1.31128,r1=1.31128;r2=1.19046;r3=1.22972;r4=1.0701;r5=1.00801,prove_r(8)/prove_r(7)
groth16,cpu2,S_plateau_medU_over_medL,prove_ms,1-5,5,1.42583,1.34384,1.48098,r1=1.48098;r2=1.46519;r3=1.42583;r4=1.34384;r5=1.40293,"median over d in {8..15} / median over d in {5,6,7}, per round"
