profile_id,metric,depth,quantity,rounds,n,median,min,max,values,definition
cpu2,prove_ms,5,plonk_over_groth16,1-5,5,50.2375,47.7554,51.7962,r1=47.7554;r2=50.2375;r3=50.3781;r4=47.7889;r5=51.7962,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu2,prove_ms,6,plonk_over_groth16,1-5,5,41.7913,39.8937,55.1629,r1=55.1629;r2=43.5855;r3=41.1656;r4=39.8937;r5=41.7913,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu2,prove_ms,7,plonk_over_groth16,1-5,5,41.1502,37.9222,49.303,r1=49.303;r2=41.1502;r3=44.4938;r4=40.873;r5=37.9222,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu2,prove_ms,8,plonk_over_groth16,1-5,5,37.7044,34.6073,38.2791,r1=37.7044;r2=34.6073;r3=36.1489;r4=38.2791;r5=37.837,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu2,prove_ms,9,plonk_over_groth16,1-5,5,35.3566,32.3468,35.8285,r1=34.9695;r2=35.6387;r3=35.3566;r4=32.3468;r5=35.8285,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu2,prove_ms,10,plonk_over_groth16,1-5,5,32.7295,30.6448,35.422,r1=35.422;r2=30.6985;r3=32.7295;r4=32.929;r5=30.6448,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu2,prove_ms,11,plonk_over_groth16,1-5,5,61.4665,60.474,68.9365,r1=68.9365;r2=61.4665;r3=61.3004;r4=64.2696;r5=60.474,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu2,prove_ms,12,plonk_over_groth16,1-5,5,56.7085,55.0919,61.7617,r1=61.7617;r2=55.5826;r3=58.0918;r4=55.0919;r5=56.7085,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu2,prove_ms,13,plonk_over_groth16,1-5,5,54.4064,52.5898,55.8415,r1=54.4064;r2=55.6102;r3=55.8415;r4=52.6865;r5=52.5898,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu2,prove_ms,14,plonk_over_groth16,1-5,5,54.3704,50.6783,54.5591,r1=54.3704;r2=50.6783;r3=54.5591;r4=53.0568;r5=54.4068,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu2,prove_ms,15,plonk_over_groth16,1-5,5,47.7892,45.8706,51.8783,r1=51.8783;r2=47.5113;r3=47.7892;r4=45.8706;r5=49.1878,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu2,prove_ms,all,range_of_depth_medians,1-5,11,47.7892,32.7295,61.4665,d5=50.2375;d6=41.7913;d7=41.1502;d8=37.7044;d9=35.3566;d10=32.7295;d11=61.4665;d12=56.7085;d13=54.4064;d14=54.3704;d15=47.7892,min and max over depths of the per-depth median ratio (median shown for reference)
cpu2,wall_ms,5,plonk_over_groth16,1-5,5,43.3991,41.1932,45.4831,r1=42.3324;r2=43.3991;r3=43.9238;r4=41.1932;r5=45.4831,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu2,wall_ms,6,plonk_over_groth16,1-5,5,37.3111,35.8208,47.4062,r1=47.4062;r2=38.8438;r3=37.3111;r4=35.8208;r5=36.7877,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu2,wall_ms,7,plonk_over_groth16,1-5,5,36.4852,33.9206,43.0971,r1=43.0971;r2=36.397;r3=39.5389;r4=36.4852;r5=33.9206,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu2,wall_ms,8,plonk_over_groth16,1-5,5,34.2396,31.0014,34.5001,r1=34.5001;r2=31.0014;r3=32.5214;r4=34.3634;r5=34.2396,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu2,wall_ms,9,plonk_over_groth16,1-5,5,31.754,29.0324,32.6036,r1=31.754;r2=32.2717;r3=31.4314;r4=29.0324;r5=32.6036,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu2,wall_ms,10,plonk_over_groth16,1-5,5,29.9446,27.806,32.0843,r1=32.0843;r2=28.3623;r3=29.9446;r4=30.0695;r5=27.806,"PLONK_r(d)/Groth16_r(d), wall_ms"
