profile_id,backend,depth,quantity,rounds,n,median,min,max,values,definition
cpu2,groth16,5,path_prove_ms,1-5,5,250.639,245.232,267.482,dr1=245.352;dr2=245.232;dr3=267.482;dr4=253.435;dr5=250.639,prove_ms of the path call
cpu2,groth16,5,mem_prove_ms,1-5,5,258.299,238.242,266.968,dr1=238.242;dr2=263.846;dr3=258.299;dr4=266.968;dr5=256.277,prove_ms of the mem call
cpu2,groth16,5,paired_diff_path_minus_mem_ms,1-5,5,-5.638,-18.614,9.183,dr1=7.11;dr2=-18.614;dr3=9.183;dr4=-13.533;dr5=-5.638,"path - mem, same diagnostic round"
cpu2,groth16,5,paired_ratio_mem_over_path,1-5,5,1.02249,0.965669,1.0759,dr1=0.971021;dr2=1.0759;dr3=0.965669;dr4=1.0534;dr5=1.02249,"mem / path, same diagnostic round"
cpu2,groth16,5,zkey_readfile_ms,1-5,5,2.33,0.721,2.718,dr1=0.721;dr2=2.718;dr3=2.458;dr4=2.33;dr5=1.766,fs.readFileSync(zkey) before the mem call
cpu2,groth16,7,path_prove_ms,1-5,5,317.038,286.121,322.577,dr1=322.577;dr2=286.121;dr3=319.067;dr4=312.569;dr5=317.038,prove_ms of the path call
cpu2,groth16,7,mem_prove_ms,1-5,5,311.246,275.849,321.061,dr1=316.039;dr2=321.061;dr3=275.849;dr4=311.246;dr5=298.035,prove_ms of the mem call
cpu2,groth16,7,paired_diff_path_minus_mem_ms,1-5,5,6.538,-34.94,43.218,dr1=6.538;dr2=-34.94;dr3=43.218;dr4=1.323;dr5=19.003,"path - mem, same diagnostic round"
cpu2,groth16,7,paired_ratio_mem_over_path,1-5,5,0.979732,0.864549,1.12212,dr1=0.979732;dr2=1.12212;dr3=0.864549;dr4=0.995767;dr5=0.940061,"mem / path, same diagnostic round"
cpu2,groth16,7,zkey_readfile_ms,1-5,5,1.791,0.795,1.939,dr1=1.939;dr2=0.805;dr3=0.795;dr4=1.791;dr5=1.92,fs.readFileSync(zkey) before the mem call
cpu2,groth16,8,path_prove_ms,1-5,5,353.87,321.147,370.994,dr1=338.76;dr2=353.87;dr3=321.147;dr4=355.758;dr5=370.994,prove_ms of the path call
cpu2,groth16,8,mem_prove_ms,1-5,5,338.96,331.833,344.618,dr1=331.833;dr2=336.25;dr3=343.08;dr4=338.96;dr5=344.618,prove_ms of the mem call
cpu2,groth16,8,paired_diff_path_minus_mem_ms,1-5,5,16.798,-21.933,26.376,dr1=6.927;dr2=17.62;dr3=-21.933;dr4=16.798;dr5=26.376,"path - mem, same diagnostic round"
cpu2,groth16,8,paired_ratio_mem_over_path,1-5,5,0.952783,0.928905,1.0683,dr1=0.979552;dr2=0.950208;dr3=1.0683;dr4=0.952783;dr5=0.928905,"mem / path, same diagnostic round"
cpu2,groth16,8,zkey_readfile_ms,1-5,5,1.76,0.86,2.046,dr1=0.86;dr2=1.866;dr3=1.76;dr4=0.91;dr5=2.046,fs.readFileSync(zkey) before the mem call
cpu2,groth16,15,path_prove_ms,1-5,5,459.453,458.513,480.205,dr1=468.44;dr2=458.513;dr3=480.205;dr4=459.365;dr5=459.453,prove_ms of the path call
cpu2,groth16,15,mem_prove_ms,1-5,5,450.48,446.621,477.83,dr1=449.357;dr2=450.48;dr3=477.83;dr4=462.246;dr5=446.621,prove_ms of the mem call
cpu2,groth16,15,paired_diff_path_minus_mem_ms,1-5,5,8.033,-2.881,19.083,dr1=19.083;dr2=8.033;dr3=2.375;dr4=-2.881;dr5=12.832,"path - mem, same diagnostic round"
