backend,stage,role,depth,ratio,rounds,n,median,min,max,values,definition
groth16,input_ms,stage,5,S4_cpu2_over_cpu4,1-5,5,1.0691,0.732664,1.89646,r1=1.0691;r2=0.732664;r3=1.07379;r4=0.933414;r5=1.89646,T_r(cpu2)/T_r(cpu4)
groth16,input_ms,stage,6,S4_cpu2_over_cpu4,1-5,5,1.01861,0.883721,1.60555,r1=1.01861;r2=1.03914;r3=0.883721;r4=0.960563;r5=1.60555,T_r(cpu2)/T_r(cpu4)
groth16,input_ms,stage,7,S4_cpu2_over_cpu4,1-5,5,0.852643,0.293133,1.04476,r1=0.293133;r2=0.852643;r3=0.793015;r4=1.04476;r5=0.981714,T_r(cpu2)/T_r(cpu4)
groth16,input_ms,stage,8,S4_cpu2_over_cpu4,1-5,5,0.968905,0.948113,0.980865,r1=0.948113;r2=0.979916;r3=0.957627;r4=0.968905;r5=0.980865,T_r(cpu2)/T_r(cpu4)
groth16,input_ms,stage,9,S4_cpu2_over_cpu4,1-5,5,0.972718,0.802111,2.47391,r1=2.47391;r2=0.972718;r3=0.802111;r4=0.979632;r5=0.944802,T_r(cpu2)/T_r(cpu4)
groth16,input_ms,stage,10,S4_cpu2_over_cpu4,1-5,5,1.02031,0.957788,1.0408,r1=1.0408;r2=1.00643;r3=1.02696;r4=1.02031;r5=0.957788,T_r(cpu2)/T_r(cpu4)
groth16,input_ms,stage,11,S4_cpu2_over_cpu4,1-5,5,0.985198,0.90851,1.14097,r1=1.14097;r2=0.955696;r3=0.985198;r4=0.90851;r5=1.01448,T_r(cpu2)/T_r(cpu4)
groth16,input_ms,stage,12,S4_cpu2_over_cpu4,1-5,5,1.05067,1.02144,1.12566,r1=1.12566;r2=1.02144;r3=1.03987;r4=1.05067;r5=1.09524,T_r(cpu2)/T_r(cpu4)
groth16,input_ms,stage,13,S4_cpu2_over_cpu4,1-5,5,1.09312,1.06496,1.17216,r1=1.09312;r2=1.06496;r3=1.07251;r4=1.0976;r5=1.17216,T_r(cpu2)/T_r(cpu4)
groth16,input_ms,stage,14,S4_cpu2_over_cpu4,1-5,5,1.08193,1.02833,1.11004,r1=1.11004;r2=1.02833;r3=1.04346;r4=1.08541;r5=1.08193,T_r(cpu2)/T_r(cpu4)
groth16,input_ms,stage,15,S4_cpu2_over_cpu4,1-5,5,1.08073,1.04549,1.14758,r1=1.14758;r2=1.08073;r3=1.06154;r4=1.04549;r5=1.09866,T_r(cpu2)/T_r(cpu4)
groth16,input_ms,stage,all,S4_cpu2_over_cpu4,1-5,11,1.02031,0.852643,1.09312,d5=1.0691;d6=1.01861;d7=0.852643;d8=0.968905;d9=0.972718;d10=1.02031;d11=0.985198;d12=1.05067;d13=1.09312;d14=1.08193;d15=1.08073,median and min-max over depths of the per-depth median (Figure 5)
groth16,input_ms,stage,5,S8_cpu2_over_cpu8,1-5,5,1.07179,0.122558,1.94308,r1=1.07179;r2=0.122558;r3=1.14054;r4=0.888249;r5=1.94308,T_r(cpu2)/T_r(cpu8)
groth16,input_ms,stage,6,S8_cpu2_over_cpu8,1-5,5,0.977381,0.924719,1.63113,r1=0.977381;r2=0.924719;r3=0.934426;r4=1.06065;r5=1.63113,T_r(cpu2)/T_r(cpu8)
groth16,input_ms,stage,7,S8_cpu2_over_cpu8,1-5,5,0.867304,0.223904,1,r1=0.223904;r2=1;r3=0.664525;r4=0.867304;r5=0.938798,T_r(cpu2)/T_r(cpu8)
groth16,input_ms,stage,8,S8_cpu2_over_cpu8,1-5,5,0.967186,0.221319,1.07824,r1=0.899731;r2=0.221319;r3=1.07824;r4=0.976496;r5=0.967186,T_r(cpu2)/T_r(cpu8)
groth16,input_ms,stage,9,S8_cpu2_over_cpu8,1-5,5,0.978541,0.791648,2.44323,r1=2.44323;r2=0.984932;r3=0.978541;r4=0.801952;r5=0.791648,T_r(cpu2)/T_r(cpu8)
groth16,input_ms,stage,10,S8_cpu2_over_cpu8,1-5,5,1.01143,0.97415,1.05302,r1=1.05302;r2=0.998874;r3=1.01143;r4=0.97415;r5=1.03063,T_r(cpu2)/T_r(cpu8)
groth16,input_ms,stage,11,S8_cpu2_over_cpu8,1-5,5,0.925549,0.896205,1.08873,r1=1.08873;r2=0.925549;r3=0.992823;r4=0.896205;r5=0.903969,T_r(cpu2)/T_r(cpu8)
groth16,input_ms,stage,12,S8_cpu2_over_cpu8,1-5,5,1.05747,0.995418,1.09966,r1=1.07392;r2=0.995418;r3=1.05747;r4=1.00126;r5=1.09966,T_r(cpu2)/T_r(cpu8)
groth16,input_ms,stage,13,S8_cpu2_over_cpu8,1-5,5,1.03954,0.86294,1.12842,r1=1.03954;r2=1.0221;r3=1.10977;r4=1.12842;r5=0.86294,T_r(cpu2)/T_r(cpu8)
groth16,input_ms,stage,14,S8_cpu2_over_cpu8,1-5,5,1.06107,1.00934,1.10094,r1=1.10094;r2=1.01916;r3=1.00934;r4=1.0837;r5=1.06107,T_r(cpu2)/T_r(cpu8)
groth16,input_ms,stage,15,S8_cpu2_over_cpu8,1-5,5,1.0774,1.0004,1.17078,r1=1.15968;r2=1.07001;r3=1.0774;r4=1.0004;r5=1.17078,T_r(cpu2)/T_r(cpu8)
groth16,input_ms,stage,all,S8_cpu2_over_cpu8,1-5,11,1.01143,0.867304,1.0774,d5=1.07179;d6=0.977381;d7=0.867304;d8=0.967186;d9=0.978541;d10=1.01143;d11=0.925549;d12=1.05747;d13=1.03954;d14=1.06107;d15=1.0774,median and min-max over depths of the per-depth median (Figure 5)
groth16,input_ms,stage,5,doubling_cpu4_over_cpu8,1-5,5,1.00252,0.167277,1.06216,r1=1.00252;r2=0.167277;r3=1.06216;r4=0.951613;r5=1.02458,T_r(cpu4)/T_r(cpu8)
groth16,input_ms,stage,6,doubling_cpu4_over_cpu8,1-5,5,1.01593,0.889888,1.1042,r1=0.959524;r2=0.889888;r3=1.05738;r4=1.1042;r5=1.01593,T_r(cpu4)/T_r(cpu8)
groth16,input_ms,stage,7,doubling_cpu4_over_cpu8,1-5,5,0.837973,0.763831,1.17282,r1=0.763831;r2=1.17282;r3=0.837973;r4=0.830149;r5=0.956284,T_r(cpu4)/T_r(cpu8)
groth16,input_ms,stage,8,doubling_cpu4_over_cpu8,1-5,5,0.986054,0.225855,1.12595,r1=0.94897;r2=0.225855;r3=1.12595;r4=1.00783;r5=0.986054,T_r(cpu4)/T_r(cpu8)
groth16,input_ms,stage,9,doubling_cpu4_over_cpu8,1-5,5,0.987595,0.818625,1.21996,r1=0.987595;r2=1.01256;r3=1.21996;r4=0.818625;r5=0.837899,T_r(cpu4)/T_r(cpu8)
groth16,input_ms,stage,10,doubling_cpu4_over_cpu8,1-5,5,0.992492,0.954762,1.07606,r1=1.01174;r2=0.992492;r3=0.984882;r4=0.954762;r5=1.07606,T_r(cpu4)/T_r(cpu8)
groth16,input_ms,stage,11,doubling_cpu4_over_cpu8,1-5,5,0.968456,0.891066,1.00774,r1=0.954217;r2=0.968456;r3=1.00774;r4=0.986456;r5=0.891066,T_r(cpu4)/T_r(cpu8)
groth16,input_ms,stage,12,doubling_cpu4_over_cpu8,1-5,5,0.974519,0.952967,1.01692,r1=0.954031;r2=0.974519;r3=1.01692;r4=0.952967;r5=1.00404,T_r(cpu4)/T_r(cpu8)
groth16,input_ms,stage,13,doubling_cpu4_over_cpu8,1-5,5,0.959751,0.736197,1.03473,r1=0.950981;r2=0.959751;r3=1.03473;r4=1.02808;r5=0.736197,T_r(cpu4)/T_r(cpu8)
groth16,input_ms,stage,14,doubling_cpu4_over_cpu8,1-5,5,0.991077,0.967296,0.998427,r1=0.991802;r2=0.991077;r3=0.967296;r4=0.998427;r5=0.980714,T_r(cpu4)/T_r(cpu8)
groth16,input_ms,stage,15,doubling_cpu4_over_cpu8,1-5,5,1.01054,0.95687,1.06565,r1=1.01054;r2=0.990084;r3=1.01494;r4=0.95687;r5=1.06565,T_r(cpu4)/T_r(cpu8)
groth16,input_ms,stage,all,doubling_cpu4_over_cpu8,1-5,11,0.987595,0.837973,1.01593,d5=1.00252;d6=1.01593;d7=0.837973;d8=0.986054;d9=0.987595;d10=0.992492;d11=0.968456;d12=0.974519;d13=0.959751;d14=0.991077;d15=1.01054,median and min-max over depths of the per-depth median (Figure 5)
groth16,witness_ms,stage,5,S4_cpu2_over_cpu4,1-5,5,1.57122,1.40421,1.74742,r1=1.70772;r2=1.52259;r3=1.74742;r4=1.57122;r5=1.40421,T_r(cpu2)/T_r(cpu4)
groth16,witness_ms,stage,6,S4_cpu2_over_cpu4,1-5,5,1.61926,1.36685,1.77637,r1=1.61926;r2=1.77637;r3=1.36685;r4=1.57693;r5=1.70706,T_r(cpu2)/T_r(cpu4)
groth16,witness_ms,stage,7,S4_cpu2_over_cpu4,1-5,5,1.62413,1.30032,1.95495,r1=1.30032;r2=1.95495;r3=1.62413;r4=1.43815;r5=1.7807,T_r(cpu2)/T_r(cpu4)
groth16,witness_ms,stage,8,S4_cpu2_over_cpu4,1-5,5,1.5066,1.36863,1.87506,r1=1.51163;r2=1.5066;r3=1.87506;r4=1.36863;r5=1.38963,T_r(cpu2)/T_r(cpu4)
groth16,witness_ms,stage,9,S4_cpu2_over_cpu4,1-5,5,1.61632,1.37995,2.00215,r1=1.63047;r2=1.37995;r3=1.61632;r4=2.00215;r5=1.58116,T_r(cpu2)/T_r(cpu4)
groth16,witness_ms,stage,10,S4_cpu2_over_cpu4,1-5,5,1.47737,1.39503,1.78053,r1=1.78053;r2=1.39503;r3=1.45915;r4=1.47737;r5=1.59274,T_r(cpu2)/T_r(cpu4)
groth16,witness_ms,stage,11,S4_cpu2_over_cpu4,1-5,5,1.81583,1.51765,1.91738,r1=1.777;r2=1.90509;r3=1.81583;r4=1.91738;r5=1.51765,T_r(cpu2)/T_r(cpu4)
groth16,witness_ms,stage,12,S4_cpu2_over_cpu4,1-5,5,1.56126,1.28792,1.89449,r1=1.89449;r2=1.54391;r3=1.28792;r4=1.56126;r5=1.58965,T_r(cpu2)/T_r(cpu4)
