profile_id,backend,depth,stage,role,rounds,n,median,q1,q3,iqr,min,max
cpu2,groth16,5,input_ms,stage,1-5,5,0.844,0.803,0.851,0.048,0.771,1.502
cpu2,groth16,5,witness_ms,stage,1-5,5,22.641,22.334,23.309,0.975,19.745,27.562
cpu2,groth16,5,prove_ms,stage,1-5,5,248.817,239.769,256.783,17.014,237.506,278.562
cpu2,groth16,5,verify_first_ms,stage,1-5,5,12.975,10.133,16.71,6.577,9.759,17.979
cpu2,groth16,5,verify_steady_ms,stage,1-5,5,10.843,10.286,11.271,0.985,9.649,12.505
cpu2,groth16,5,wall_ms,total,1-5,5,289.636,278.315,295.351,17.036,271.121,315.048
cpu2,groth16,5,stage_sum_ms,diagnostic,1-5,5,289.607,278.295,295.321,17.026,271.101,315.03
cpu2,groth16,6,input_ms,stage,1-5,5,0.821,0.798,0.823,0.025,0.682,1.331
cpu2,groth16,6,witness_ms,stage,1-5,5,23.4,22.872,24.132,1.26,19.535,25.908
cpu2,groth16,6,prove_ms,stage,1-5,5,289.735,277.851,297.15,19.299,241.397,299.423
cpu2,groth16,6,verify_first_ms,stage,1-5,5,11.362,10.825,13.288,2.463,9.936,16.464
cpu2,groth16,6,verify_steady_ms,stage,1-5,5,11.013,10.615,11.073,0.458,10.025,13.427
cpu2,groth16,6,wall_ms,total,1-5,5,328.871,312.757,330.276,17.519,281.572,334.345
cpu2,groth16,6,stage_sum_ms,diagnostic,1-5,5,328.844,312.742,330.261,17.519,281.553,334.331
cpu2,groth16,7,input_ms,stage,1-5,5,0.858,0.817,0.859,0.042,0.758,0.931
cpu2,groth16,7,witness_ms,stage,1-5,5,24.336,23.055,25.318,2.263,22.082,28.681
cpu2,groth16,7,prove_ms,stage,1-5,5,293.379,275.804,294.262,18.458,269.96,322.461
cpu2,groth16,7,verify_first_ms,stage,1-5,5,12.405,10.16,12.938,2.778,9.777,16.736
cpu2,groth16,7,verify_steady_ms,stage,1-5,5,10.607,10.229,12.2,1.971,9.785,12.237
