profile_id,backend,depth,rounds,n,verify_first_median,verify_steady_median,first_over_steady_median,first_over_steady_min,first_over_steady_max
cpu2,groth16,5,1-5,5,12.975,10.843,1.05016,0.948765,1.65812
cpu2,groth16,6,1-5,5,11.362,11.013,1.0798,0.897318,1.25181
cpu2,groth16,7,1-5,5,12.405,10.607,1.16951,0.801393,1.71037
cpu2,groth16,8,1-5,5,12.35,11.236,1.07767,0.976421,1.43923
cpu2,groth16,9,1-5,5,12.726,9.936,1.05156,0.95256,1.70451
cpu2,groth16,10,1-5,5,11.274,10.698,1.04612,0.977291,1.11236
cpu2,groth16,11,1-5,5,10.913,9.937,1.07105,1.04458,1.24415
cpu2,groth16,12,1-5,5,10.395,11.023,0.989269,0.859964,1.12091
cpu2,groth16,13,1-5,5,10.442,10.469,1.03304,0.867786,1.22792
cpu2,groth16,14,1-5,5,11.799,10.477,1.18978,0.930922,1.25112
cpu2,groth16,15,1-5,5,12.972,12.367,1.21818,0.796267,1.55543
cpu2,groth16,all,1-5,55,11.799,10.607,1.0652,0.796267,1.71037
cpu2,groth16,5,1-10,10,11.8895,11.017,1.04387,0.932178,1.65812
cpu2,groth16,6,1-10,10,12.459,10.6415,1.19157,0.897318,1.30041
cpu2,groth16,7,1-10,10,11.6825,10.731,1.05133,0.801393,1.71037
cpu2,groth16,8,1-10,10,11.189,11.1525,0.99945,0.880872,1.43923
cpu2,groth16,9,1-10,10,11.058,10.344,1.06672,0.90706,1.70451
cpu2,groth16,10,1-10,10,11.168,10.7375,1.03292,0.945472,1.81848
cpu2,groth16,11,1-10,10,11.087,10.353,1.06812,0.877496,1.24415
cpu2,groth16,12,1-10,10,10.9135,10.725,1.0144,0.859964,1.20445
cpu2,groth16,13,1-10,10,11.679,10.5085,1.06013,0.867786,2.05456
cpu2,groth16,14,1-10,10,10.9735,10.5875,1.09033,0.776977,1.25112
cpu2,groth16,15,1-10,10,12.6725,11.0095,1.09001,0.796267,1.55543
cpu2,groth16,all,1-10,110,11.318,10.6785,1.05145,0.776977,2.05456
cpu2,plonk,5,1-5,5,10.089,7.363,1.38566,1.18545,1.41988
