iteration,gas,gasPrice,latency_ms,status,error
1,435731,25000000,4942.32,success,
2,408186,25000000,2794.05,success,
3,408186,25000000,3065.95,success,
4,408186,25000000,3408.12,success,
5,408186,25000000,2976.71,success,
6,408186,25000000,3131.84,success,
7,408186,25000000,4448.96,success,
8,408186,25000000,3328.96,success,
9,408186,25000000,3733.86,success,
10,408186,25000000,4936.11,success,
11,408186,25000000,4223.76,success,
12,408186,25000000,2904.00,success,
13,408186,25000000,2818.89,success,
14,408186,25000000,3261.48,success,
15,408186,25000000,4036.22,success,
16,408186,25000000,39033.62,success,
17,408186,25000000,3461.02,success,
18,408186,25000000,4124.10,success,
19,408186,25000000,2973.85,success,
20,408186,25000000,4509.84,success,
21,408186,25000000,3607.96,success,
22,408186,25000000,5993.00,success,
23,408186,25000000,6063.86,success,
24,408186,25000000,3552.60,success,
25,408186,25000000,5135.55,success,
26,408186,25000000,5282.81,success,
27,408595,25000000,3327.81,success,
28,408595,25000000,3067.18,success,
29,408186,25000000,3464.23,success,
30,408186,25000000,3488.38,success,
31,408186,25000000,2933.70,success,
32,408186,25000000,4199.98,success,
33,408186,25000000,2796.12,success,
34,408186,25000000,2861.34,success,
35,408186,25000000,2965.65,success,
36,408186,25000000,2891.81,success,
37,408186,25000000,3547.72,success,
38,408186,25000000,3023.42,success,
39,408186,25000000,3850.90,success,
40,408186,25000000,4246.18,success,
41,408186,25000000,4369.05,success,
42,408186,25000000,3263.15,success,
43,408186,25000000,4403.99,success,
44,408186,25000000,3668.43,success,
45,408186,25000000,4227.33,success,
46,408186,25000000,2767.01,success,
47,408186,25000000,2940.95,success,
48,408186,25000000,3527.99,success,
49,408186,25000000,4263.69,success,
50,408186,25000000,2933.04,success,
