iteration,gas,gasPrice,latency_ms,status,error
1,238750.0,2119687.0,17150.3678,success,
2,238750.0,5101186.0,12176.63149,success,
3,238750.0,4886309.0,23150.779199999997,success,
4,,,,failed,transaction receipt timeout
5,238750.0,4264323.0,13289.43205,success,
6,238750.0,4237377.0,18764.800659999997,success,
7,,,,failed,transaction receipt timeout
8,,,,failed,transaction receipt timeout
9,,,,failed,transaction receipt timeout
10,238750.0,4247191.0,24048.00145,success,
11,238750.0,3935158.0,22700.39494,success,
12,238750.0,5062576.0,19971.83579,success,
13,,,,failed,transaction receipt timeout
14,238750.0,3160658.0,7747.909261,success,
15,238750.0,2522244.0,14655.39142,success,
16,238750.0,6789883.0,16022.004240000002,success,
17,238750.0,5736557.0,11887.182190000001,success,
18,238750.0,3130230.0,6167.911599,success,
19,238750.0,4972445.0,19087.27146,success,
20,238750.0,5386694.0,22926.58606,success,
21,238750.0,2875296.0,15506.92449,success,
22,238750.0,3417391.0,23953.83117,success,
23,238750.0,1533426.0,9018.195737,success,
24,238750.0,4794321.0,11511.834,success,
25,238750.0,5180971.0,18944.98015,success,
26,,,,failed,transaction receipt timeout
27,238750.0,4117079.0,14957.23148,success,
28,,,,failed,transaction receipt timeout
29,238750.0,3181307.0,22327.13276,success,
30,238750.0,2476148.0,21145.426659999997,success,
31,238750.0,3036524.0,15406.62307,success,
32,,,,failed,transaction receipt timeout
33,238750.0,4773945.0,9577.122481,success,
34,238750.0,3824988.0,14662.18362,success,
35,,,,failed,transaction receipt timeout
36,238750.0,4693062.0,21313.22661,success,
37,238750.0,3603029.0,22605.69576,success,
38,238750.0,3640564.0,14984.911820000001,success,
39,238750.0,905775.0,6136.658962,success,
40,238750.0,1805506.0,8689.102714,success,
41,238750.0,1989042.0,20746.419589999998,success,
42,238750.0,6398457.0,15300.86212,success,
43,238750.0,5275031.0,15454.152199999999,success,
44,,,,failed,transaction receipt timeout
45,238750.0,3389125.0,11412.676239999999,success,
46,238750.0,3121934.0,11297.84562,success,
47,238750.0,345359.0,23830.15696,success,
48,238750.0,4275471.0,20988.9655,success,
49,238750.0,907884.0,13788.95031,success,
50,238750.0,2741015.0,18452.906550000003,success,
