iteration,gas,gasPrice,latency_ms,status,error,txHash
1,239241,1111394152,14113.20,success,,0xa6fc3abca768f18f5bec7d2adec96fbb48e10ca5f14a17341fc191ba51a8bd9b
2,239241,1072646168,12577.20,success,,0x1633291a0544c375ab7eed7e70087d4580fa4d635f04887b274b010f5b2a9a03
3,239241,1168867139,11420.30,success,,0x0e08de583da3d13f38fda8567514bd8c86f943ee46087a4ad6c7975e9a56c936
4,239241,1109368708,24686.77,success,,0x251e1ef27f014598598ad4552d5813ca1b991b59e6c1af6eca3a010386424eea
5,239241,1134313372,10852.69,success,,0x7e1732991bf45b4864e39c712d92e6eaed204566e10d0001b17bd877154a92b9
6,239241,1134870071,13389.09,success,,0x017e2cdf93f87ff7e08bf4f112700951e0f040f1873854ede07fe250ac09a534
7,239241,1169838089,11056.90,success,,0x321e17c12e381e471395a7217d2deb016786405ba7ad5b9d3cc0dea1a40885a6
8,239241,1016389588,14954.48,success,,0xe437e99660990fdcf7d8c7fb78a8382e5d184ca9be937132de79c21de1ecb764
9,239241,1124573824,9703.70,success,,0xcc1629f8fd68500794d757af253257b7a15011a46b757a46a54c42aa12376b7c
10,239241,1103710784,11354.20,success,,0xd9a68daf444da76cfe5b5551095e2fd8714e7583a049ea6bd8b229aa25040351
11,239241,1148501983,12654.99,success,,0x36a4009cdd825894baf96919cac857932461e584d42f2e74663e8f67ad5fde75
12,239241,1264149387,11295.90,success,,0x02053ed4bae5f156a79964de202c0cc47686ce55dcc908ef9cc4abde38b456a2
13,239241,1124809737,11787.49,success,,0x69c44020d32a1d69519f97487b4908186060da7dd92e69412041311d87151a33
14,239241,1123933131,13192.63,success,,0x5f575fcc6dc2377a4d89abbf63107f31636ea082fb88b6830d483e8776ccf050
15,239241,1160877739,12058.98,success,,0x2a4305bd3b011f9fba2e45272241eb953f3f4d8c270aa2b7d543c9ff3240e0cf
16,239241,1038474707,10581.66,success,,0x1ac2d3fb1a6c5f20904a357337b70e42fdacc235c97b1c9e5a1661c86243b83e
17,239241,1221650561,13041.48,success,,0x675e086984718b740caa631405baca0176745c577b46763c7506b7d5d0544c0d
18,239241,1120645070,12304.66,success,,0xc0394adb2241fbb0ddc27aebc9c87e00ba400b5a2a87cf4b8e3298e17c82813d
19,239241,1085130028,11316.58,success,,0x3872b93ee6342b62c76ee664a82c40f8b3e0ddf88274547cd46b2589489a6d62
20,239241,1114781741,11789.79,success,,0xb1fe5b1d87d400da1afd0b5b24612d9ed4568812ea9eb7bd135341a31cf27f11
21,239241,1044294791,11721.50,success,,0x5b81ffe6a18f15a1fca214f756bb28d0eff406f006e111b442d03bab30e5dbc8
22,239241,1122406530,12137.25,success,,0x1ebf53bfb631351b00034e38e86ba72364a49c8a2bad79687f87252e67f8ad09
23,239241,1067415380,13063.69,success,,0x17e0b1adb7e209588e3bfd58b563b7eb09d5b4663e7c757c7ba49c139ccd9b00
24,239241,1033354504,10905.82,success,,0x0d3bd3f5b2db0de0e992fd53897ac897fccb46624893af9de5dec2e91d988d75
25,239241,1228549214,12599.33,success,,0x51497a85f902f46843b5d7efa38b60089e35ae3b4a843beeff45f1c45e5c0ec6
26,239241,1121253548,12436.22,success,,0x282d070602f1fd7ae513037a3f6ce7c7097897a7b8062c9f5ff08704a6c9563f
27,239241,1064340734,11084.51,success,,0x3954df1c709050ad61940c30014db8d7af23699d7e6038ef08e2f88a59cdb7c6
28,239241,1100055887,36253.45,success,,0x59ebafe8056a36a6866a6a680387cd045a229b5b86c1d66fb0344ce468c03d52
29,239241,1121202844,12701.65,success,,0x91de44d29901ba68e9c605f8da5f45914299b27a18b3faf1e119b578b4995b5a
30,239241,1153733654,10955.36,success,,0x6f8b92d1ad603a68d80818aac80f9d178e47607dab57af701a3964852324388d
