iteration,gas,gasPrice,latency_ms,status,error,txHash
1,435064,25000000,4424.67,success,,0x0c8858a30a5bfa8b65309bf56b6cc6eb4133f00d8bfc38b696e4b2f3ab638f87
2,408186,25000000,2746.40,success,,0xc30a4cb112521e82fce616668f564a1d97f0adf79453bcd3b23db73eaa3d6ba8
3,408186,25000000,2579.39,success,,0x2bf07a836afd5bfdd72987b6ab9b181006077dd85f9e56efe857fc02a4564cc9
4,408186,25000000,3565.83,success,,0xdf150a5d3e05d9bd211e3df642aa0fc38511b9e1d8537ae79d3df1ac895d5497
5,408186,25000000,2501.86,success,,0x5867bc1cb0075ad8b8fc88621a3248c9a62c035d426525e55d96c340eb7f4def
6,408186,25000000,3283.74,success,,0x8074cecfa5197e090e588f15505d6dce4f7d39a5eca93677beda2f1f6818b4c4
7,408186,25000000,3374.27,success,,0x677e5abd33d17ec3770a73fccc772dfa5510e1d0a1ef6d3520c279bbe3879c37
8,408186,25000000,3459.98,success,,0x4b970e1931ac05cc7be6766be99b3b0d678d0b4cd3bb9c4eb978749843ce4d5a
9,408186,25000000,2786.81,success,,0xe95daa3f8226f255ee44da4798e0e49869c8f6b0f0870ddb7a3b988ca5f9b60d
10,408186,25000000,3365.87,success,,0x7ce02bb5c006d59222a8177343f50b8914e139ec3b7f8aefb4a66ccd6a8f7aff
11,408186,25000000,4336.65,success,,0xc1801e55ef31eed57c24512db268661390130fe06a3bc4e2db5f0f9d0074f849
12,408186,25000000,3013.20,success,,0xd2f1ba2a8cb4bae0a644f525d5af65928464d64d65105e911f77906d386e91e4
13,408186,25000000,4432.39,success,,0x471ba0cce2cd73624e69e4b899664bde96f1480ea7ce2470256788edae800a65
14,408186,25000000,3102.18,success,,0x6fc27867a35852c960a5f5045c6e344fcc88108b281389b9ddc8363fbf7c0c15
15,408186,25000000,2424.33,success,,0x04f329ea56f3c4ea176ce132f18b32f0813db07dd22a4e9ed5cb4d5a7feebd25
16,408186,25000000,3114.38,success,,0xcda4965a6f5fa015e65d5e45f1c7a91754e4a895a3641f8ced2fe64d8a41cda0
17,408186,25000000,2760.19,success,,0x4460ae9038a4bd665b1d214f1753aa2f4120ec5a472814e44ac7844f3f687ed9
18,408186,25000000,2949.00,success,,0xf7ca9e5649a2c8010aaea78ff88a0ec779a9059b41643a40932f51719cd1aae9
19,408186,25000000,2938.01,success,,0xcf7aeddfb4669f9d28d1915339ad00bc9fe0073be38b6a4c6961db3d0a37019e
20,408186,25000000,2500.75,success,,0xdc32f0949e7adfe8652779189188fad4afeb42947b660478632b405c7a0906a6
21,408186,25000000,4295.28,success,,0x4511e3d3fc2b26893aa6517ad6df943063a15a6b32e5b28d2a7671850ba78b92
22,408186,25000000,3158.29,success,,0x30c6549c4f123987e49699dfa8a29ee74e08594124751eda65df2c338da912b0
23,408186,25000000,2941.26,success,,0x7fb6678710c453929f558f32d341cf6550115f9b353283dfb053534f185a8e96
