iteration,gas,gasPrice,latency_ms,status,error
1,9150072,31640625,10634.00,success,
2,9129982,31640625,10328.00,success,
3,9129982,31640625,9888.00,success,
4,9129988,31640625,10532.00,success,
5,9129982,31640625,10617.00,success,
6,9187636,31640625,10178.00,success,
7,9142086,31640625,10992.00,success,
8,9193181,31640625,10390.00,success,
9,9110151,31640625,10070.00,success,
10,9138499,31640625,10800.00,success,
11,9124379,31640625,10270.00,success,
12,9169031,31640625,11088.00,success,
13,9190247,31640625,10106.00,success,
14,9134272,31640625,10704.00,success,
15,9190978,31640625,10410.00,success,
16,9139429,31640625,10776.00,success,
17,9038494,31640625,10214.00,success,
18,9173892,31640625,10370.00,success,
19,9106313,31640625,10512.00,success,
20,9160473,31640625,11120.00,success,
21,9165060,31640625,11056.00,success,
22,9176377,31640625,9854.00,success,
23,9111998,31640625,10142.00,success,
24,9160091,31640625,10034.00,success,
25,9039929,31640625,10430.00,success,
26,9163870,31640625,11024.00,success,
27,9175093,31640625,10290.00,success,
28,9142499,31640625,10680.00,success,
29,9143359,31640625,10250.00,success,
30,9100608,31640625,10450.00,success,
31,9074513,31640625,10832.00,success,
32,9076891,31640625,10928.00,success,
33,9164733,31640625,9926.00,success,
34,9145369,31640625,9998.00,success,
35,9258408,31640625,9962.00,success,
36,9131289,31640625,10490.00,success,
37,9139950,31640625,10584.00,success,
38,9158658,31640625,10656.00,success,
39,9150230,31640625,10728.00,success,
40,9108577,31640625,10310.00,success,
41,9142945,31640625,10752.00,success,
42,9072146,31640625,10896.00,success,
43,9074296,31640625,10470.00,success,
44,9101084,31640625,11184.00,success,
45,9133677,31640625,10960.00,success,
46,9153964,31640625,10560.00,success,
47,9075366,31640625,11152.00,success,
48,9169354,31640625,10864.00,success,
49,8979303,31640625,9818.00,success,
50,9141356,31640625,10350.00,success,
