iteration,gas,gasPrice,latency_ms,status,error
1,238750,71780536856,29076.00,success,
2,238750,72773023192,9047.00,success,
3,,,,failed,transaction receipt timeout
4,,,,failed,transaction receipt timeout
5,238750,70386864442,13255.56,success,
6,238750,72503450267,22566.67,success,
7,238750,52244385881,17911.11,success,
8,238750,61996059929,30122.22,success,
9,238750,75963320234,19653.33,success,
10,238750,70489777382,24833.33,success,
11,238750,62945121540,20506.67,success,
12,238750,71680888191,11700.00,success,
13,238750,73630615107,12011.11,success,
14,238750,98892709541,15244.44,success,
15,238750,64735786206,20791.11,success,
16,238750,77206214393,21360.00,success,
17,238750,74257271719,12633.33,success,
18,238750,77704547343,19084.44,success,
19,238750,89704740998,24077.78,success,
20,238750,71595350214,14800.00,success,
21,238750,58399097784,21644.44,success,
22,238750,81111994285,17466.67,success,
23,238750,75281905768,10333.33,success,
24,238750,92230344543,21928.89,success,
25,238750,67445789053,16133.33,success,
26,238750,60412582760,21075.56,success,
27,238750,73797108451,23322.22,success,
28,238750,83539124494,18800.00,success,
29,238750,62380353358,28611.11,success,
30,238750,61395945857,11388.89,success,
31,238750,52182852216,25588.89,success,
32,238750,63744758691,14355.56,success,
33,238750,79921032319,27855.56,success,
34,238750,81433858510,17022.22,success,
35,238750,61398967051,18355.56,success,
36,238750,85597076522,13566.67,success,
37,238750,72381014106,27100.00,success,
38,238750,71496960530,12944.44,success,
39,238750,65067713755,12322.22,success,
40,238750,74750892548,15688.89,success,
41,,,,failed,transaction receipt timeout
42,,,,failed,transaction receipt timeout
43,238750,81594762097,13911.11,success,
44,238750,67819647055,11077.78,success,
45,238750,76438577374,19368.89,success,
46,238750,85973558910,16577.78,success,
47,,,,failed,transaction receipt timeout
48,238750,60214703751,20222.22,success,
49,238750,83937798885,19937.78,success,
50,238750,62016016972,26344.44,success,
