iteration,gas,gasPrice,latency_ms,status,error
1,9211856,31640625,10850.00,success,
2,9131170,31640625,9873.00,success,
3,9129988,31640625,9407.00,success,
4,9129982,31640625,11194.00,success,
5,9129988,31640625,9775.00,success,
6,9105750,31640625,11004.00,success,
7,9121020,31640625,10492.00,success,
8,9065230,31640625,8920.00,success,
9,9186663,31640625,9256.00,success,
10,9177867,31640625,10060.00,success,
11,9196605,31640625,8968.00,success,
12,9117268,31640625,9940.00,success,
13,9213539,31640625,10180.00,success,
14,9199434,31640625,10684.00,success,
15,9031469,31640625,9592.00,success,
16,9081623,31640625,10940.00,success,
17,9214825,31640625,10620.00,success,
18,9055005,31640625,9720.00,success,
19,9207249,31640625,10812.00,success,
20,9139490,31640625,9160.00,success,
21,9124661,31640625,9624.00,success,
22,9114110,31640625,9464.00,success,
23,9177019,31640625,9560.00,success,
24,9178210,31640625,9352.00,success,
25,9096303,31640625,10556.00,success,
26,9164680,31640625,9304.00,success,
27,9170269,31640625,9688.00,success,
28,9184047,31640625,10300.00,success,
29,9081692,31640625,10020.00,success,
30,9175054,31640625,8824.00,success,
31,9164940,31640625,10748.00,success,
32,9118362,31640625,9016.00,success,
33,9202615,31640625,10364.00,success,
34,9121837,31640625,9980.00,success,
35,9190692,31640625,10100.00,success,
36,9193909,31640625,10260.00,success,
37,9171932,31640625,9208.00,success,
38,9080885,31640625,9112.00,success,
39,9157940,31640625,9064.00,success,
40,9056972,31640625,9496.00,success,
41,9192850,31640625,10140.00,success,
42,9214377,31640625,10220.00,success,
43,9138865,31640625,9432.00,success,
44,9185946,31640625,9528.00,success,
45,9110405,31640625,10428.00,success,
46,9125236,31640625,9900.00,success,
47,9138143,31640625,9820.00,success,
48,9193574,31640625,9656.00,success,
49,9187599,31640625,8872.00,success,
50,9070695,31640625,9752.00,success,
