Depth,Groth16,PLONK,Ratio,G16 Domain,PLONK Domain,PLONK Add.,Compile(ms)
5,1507,19222,12.76,2048,32768,17714,587.91
6,1749,21696,12.40,2048,32768,19946,708.89
7,1991,24170,12.14,2048,32768,22178,662.70
8,2233,26644,11.93,4096,32768,24410,676.43
9,2475,29118,11.76,4096,32768,26642,633.30
10,2717,31592,11.63,4096,32768,28874,624.60
11,2959,34066,11.51,4096,65536,31106,688.91
12,3201,36540,11.42,4096,65536,33338,707.61
13,3443,39014,11.33,4096,65536,35570,669.48
14,3685,41488,11.26,4096,65536,37802,757.96
15,3927,43962,11.19,4096,65536,40034,695.14
