Depth,Groth16,PLONK,Ratio,G16 Domain,PLONK Domain,PLONK Add.,Compile(ms)
5,1507,19222,12.76,2048,32768,17714,487.42
6,1749,21696,12.40,2048,32768,19946,539.73
7,1991,24170,12.14,2048,32768,22178,514.17
8,2233,26644,11.93,4096,32768,24410,529.48
9,2475,29118,11.76,4096,32768,26642,524.03
10,2717,31592,11.63,4096,32768,28874,548.88
11,2959,34066,11.51,4096,65536,31106,563.50
12,3201,36540,11.42,4096,65536,33338,554.46
13,3443,39014,11.33,4096,65536,35570,564.03
14,3685,41488,11.26,4096,65536,37802,580.13
15,3927,43962,11.19,4096,65536,40034,584.84
