campaign_id,profile_id,backend,depth,metric,rounds_used,round_attempts_used,n,median,q1,q3,iqr,min,max
campaign-20260925T060607Z,cpu2,groth16,10,input_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,2.8034999999999997,2.66625,3.023,0.35675000000000034,2.594,3.459
campaign-20260925T060607Z,cpu2,groth16,10,witness_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,24.813499999999998,22.36025,26.53425,4.1739999999999995,21.351,30.308
campaign-20260925T060607Z,cpu2,groth16,10,prove_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,380.75300000000004,373.515,391.85425,18.339249999999993,353.367,398.882
campaign-20260925T060607Z,cpu2,groth16,10,verify_first_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,11.168,10.827,11.87325,1.0462500000000006,9.812,21.82
campaign-20260925T060607Z,cpu2,groth16,10,verify_steady_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,10.7375,10.15325,11.70275,1.5495,9.991,12.214
campaign-20260925T060607Z,cpu2,groth16,10,stage_sum_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,419.9045,410.165,433.091,22.925999999999988,391.467,441.081
campaign-20260925T060607Z,cpu2,groth16,10,wall_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,419.92,410.18375000000003,433.11475,22.930999999999983,391.486,441.097
campaign-20260925T060607Z,cpu2,groth16,11,input_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,6.436999999999999,5.78475,7.1615,1.3767500000000004,5.535,7.681
campaign-20260925T060607Z,cpu2,groth16,11,witness_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,27.122999999999998,24.9785,28.50875,3.5302499999999988,24.248,30.73
campaign-20260925T060607Z,cpu2,groth16,11,prove_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,387.7685,378.5335,405.8725,27.339,360.047,429.876
campaign-20260925T060607Z,cpu2,groth16,11,verify_first_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,11.087,10.687999999999999,11.62975,0.9417500000000008,10.38,12.682
campaign-20260925T060607Z,cpu2,groth16,11,verify_steady_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,10.353,9.95125,10.895499999999998,0.9442499999999985,9.408,12.718
campaign-20260925T060607Z,cpu2,groth16,11,stage_sum_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,432.3645,422.08225,447.5175,25.435249999999996,407.836,476.966
campaign-20260925T060607Z,cpu2,groth16,11,wall_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,432.384,422.09975000000003,447.53700000000003,25.437250000000006,407.857,476.987
campaign-20260925T060607Z,cpu2,groth16,12,input_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,16.1375,10.1785,16.832,6.653500000000001,8.907,18.652
campaign-20260925T060607Z,cpu2,groth16,12,witness_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,26.814,25.261,28.2485,2.9875000000000007,22.84,31.883
campaign-20260925T060607Z,cpu2,groth16,12,prove_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,417.63599999999997,414.133,419.422,5.289000000000044,398.655,429.451
campaign-20260925T060607Z,cpu2,groth16,12,verify_first_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,10.913499999999999,10.32225,11.94625,1.6239999999999988,9.973,12.811
campaign-20260925T060607Z,cpu2,groth16,12,verify_steady_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,10.725000000000001,10.039,10.978,0.9390000000000001,9.875,12.673
campaign-20260925T060607Z,cpu2,groth16,12,stage_sum_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,470.6195,463.60175,472.05325,8.45150000000001,445.241,487.056
campaign-20260925T060607Z,cpu2,groth16,12,wall_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,470.64149999999995,463.6235,472.07325000000003,8.449750000000051,445.272,487.083
campaign-20260925T060607Z,cpu2,groth16,13,input_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,31.0885,27.533,31.590249999999997,4.057249999999996,24.827,33.549
campaign-20260925T060607Z,cpu2,groth16,13,witness_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,30.775,29.8075,32.63275,2.8252500000000005,28.08,38.354
campaign-20260925T060607Z,cpu2,groth16,13,prove_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,441.95,425.33375,454.242,28.90825000000001,407.386,472.125
campaign-20260925T060607Z,cpu2,groth16,13,verify_first_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,11.679,10.5035,12.74125,2.23775,9.563,21.388
campaign-20260925T060607Z,cpu2,groth16,13,verify_steady_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,10.5085,10.42475,10.83325,0.4085000000000001,10.108,11.615
campaign-20260925T060607Z,cpu2,groth16,13,stage_sum_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,515.124,497.33950000000004,527.6460000000001,30.306500000000028,479.467,545.989
campaign-20260925T060607Z,cpu2,groth16,13,wall_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,515.1514999999999,497.3675,527.6804999999999,30.31299999999993,479.495,546.012
campaign-20260925T060607Z,cpu2,groth16,14,input_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,55.9765,50.581250000000004,58.4925,7.9112499999999955,46.333,59.236
campaign-20260925T060607Z,cpu2,groth16,14,witness_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,29.8555,28.24475,30.408250000000002,2.1635000000000026,25.99,38.871
campaign-20260925T060607Z,cpu2,groth16,14,prove_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,455.53999999999996,441.73,468.25075000000004,26.52075000000002,433.028,486.352
campaign-20260925T060607Z,cpu2,groth16,14,verify_first_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,10.973500000000001,10.0125,12.603,2.5905000000000005,9.814,14.361
campaign-20260925T060607Z,cpu2,groth16,14,verify_steady_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,10.5875,10.0525,10.996500000000001,0.9440000000000008,9.797,12.631
campaign-20260925T060607Z,cpu2,groth16,14,stage_sum_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,548.742,540.8905,561.53675,20.64625000000001,528.593,588.102
campaign-20260925T060607Z,cpu2,groth16,14,wall_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,548.7660000000001,540.912,561.5605,20.648500000000013,528.615,588.13
campaign-20260925T060607Z,cpu2,groth16,15,input_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,120.7225,118.2995,124.0595,5.760000000000005,100.964,126.812
campaign-20260925T060607Z,cpu2,groth16,15,witness_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,29.8945,28.69125,35.6505,6.959250000000001,27.148,38.882
campaign-20260925T060607Z,cpu2,groth16,15,prove_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,485.759,471.02,490.05975,19.039750000000026,444.303,504.173
campaign-20260925T060607Z,cpu2,groth16,15,verify_first_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,12.6725,11.06425,13.5885,2.5242500000000003,10.044,19.236
campaign-20260925T060607Z,cpu2,groth16,15,verify_steady_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,11.0095,10.3455,12.313500000000001,1.9680000000000017,9.828,12.698
campaign-20260925T060607Z,cpu2,groth16,15,stage_sum_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,651.394,628.7645,658.546,29.78150000000005,605.69,667.609
campaign-20260925T060607Z,cpu2,groth16,15,wall_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,651.4245,628.79125,658.5730000000001,29.781750000000102,605.72,667.636
campaign-20260925T060607Z,cpu2,groth16,5,input_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,0.7975000000000001,0.774,0.84925,0.07524999999999993,0.606,1.502
campaign-20260925T060607Z,cpu2,groth16,5,witness_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,22.487499999999997,21.58025,24.94325,3.3629999999999995,19.745,27.562
campaign-20260925T060607Z,cpu2,groth16,5,prove_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,266.3995,250.8085,271.62350000000004,20.815000000000026,237.506,281.181
campaign-20260925T060607Z,cpu2,groth16,5,verify_first_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,11.8895,10.29175,13.812,3.520249999999999,9.759,17.979
campaign-20260925T060607Z,cpu2,groth16,5,verify_steady_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,11.017,10.1465,11.40825,1.261750000000001,9.649,12.505
campaign-20260925T060607Z,cpu2,groth16,5,stage_sum_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,303.046,291.0355,309.43949999999995,18.40399999999994,271.101,315.03
campaign-20260925T060607Z,cpu2,groth16,5,wall_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,303.0625,291.06475,309.463,18.39825000000002,271.121,315.048
campaign-20260925T060607Z,cpu2,groth16,6,input_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,0.822,0.77325,1.3940000000000001,0.6207500000000001,0.673,1.845
campaign-20260925T060607Z,cpu2,groth16,6,witness_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,22.898,22.5055,23.949,1.4435000000000002,19.535,25.908
campaign-20260925T060607Z,cpu2,groth16,6,prove_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,286.1065,278.6915,295.29625,16.604749999999967,241.397,299.423
campaign-20260925T060607Z,cpu2,groth16,6,verify_first_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,12.459,10.959249999999999,12.70375,1.7445000000000004,9.936,16.464
campaign-20260925T060607Z,cpu2,groth16,6,verify_steady_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,10.6415,10.18525,11.0095,0.8242499999999993,9.607,13.427
campaign-20260925T060607Z,cpu2,groth16,6,stage_sum_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,322.9945,313.69525,329.90675,16.2115,281.553,334.482
campaign-20260925T060607Z,cpu2,groth16,6,wall_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,323.00750000000005,313.71025,329.92475,16.214500000000044,281.572,334.5
campaign-20260925T060607Z,cpu2,groth16,7,input_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,0.87,0.85825,0.9297500000000001,0.07150000000000012,0.758,1.667
campaign-20260925T060607Z,cpu2,groth16,7,witness_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,23.6955,22.253,25.73125,3.478249999999999,21.643,28.681
campaign-20260925T060607Z,cpu2,groth16,7,prove_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,294.82,293.50575000000003,302.06375,8.557999999999993,269.96,343.581
campaign-20260925T060607Z,cpu2,groth16,7,verify_first_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,11.682500000000001,10.025,13.0025,2.977499999999999,9.667,16.736
campaign-20260925T060607Z,cpu2,groth16,7,verify_steady_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,10.731,10.223749999999999,11.6605,1.4367500000000017,9.785,12.237
campaign-20260925T060607Z,cpu2,groth16,7,stage_sum_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,333.1,328.1595,339.022,10.862500000000011,309.636,379.234
campaign-20260925T060607Z,cpu2,groth16,7,wall_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,333.115,328.17375,339.03725,10.863499999999988,309.652,379.254
campaign-20260925T060607Z,cpu2,groth16,8,input_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,1.2565,1.14025,1.8944999999999999,0.7542499999999999,1.005,2.1
campaign-20260925T060607Z,cpu2,groth16,8,witness_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,23.7065,23.1755,24.5785,1.4029999999999987,20.463,25.679
campaign-20260925T060607Z,cpu2,groth16,8,prove_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,339.263,327.61525,347.49975,19.884500000000003,314.891,353.993
campaign-20260925T060607Z,cpu2,groth16,8,verify_first_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,11.189,10.682,12.325,1.642999999999999,9.78,15.014
campaign-20260925T060607Z,cpu2,groth16,8,verify_steady_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,11.1525,10.75375,11.54025,0.7865000000000002,10.432,12.137
campaign-20260925T060607Z,cpu2,groth16,8,stage_sum_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,376.3035,363.31625,384.52700000000004,21.21075000000002,351.771,391.001
campaign-20260925T060607Z,cpu2,groth16,8,wall_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,376.32050000000004,363.33125,384.54925000000003,21.218000000000018,351.787,391.022
campaign-20260925T060607Z,cpu2,groth16,9,input_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,1.8295,1.7705,1.96925,0.19874999999999998,1.745,5.121
campaign-20260925T060607Z,cpu2,groth16,9,witness_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,24.448999999999998,23.250500000000002,26.988,3.737499999999997,22.053,28.899
campaign-20260925T060607Z,cpu2,groth16,9,prove_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,359.0625,347.64,368.868,21.22800000000001,340.759,380.506
campaign-20260925T060607Z,cpu2,groth16,9,verify_first_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,11.058,10.50775,12.73275,2.2249999999999996,10.111,16.936
campaign-20260925T060607Z,cpu2,groth16,9,verify_steady_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,10.344000000000001,9.888,11.338249999999999,1.4502499999999987,9.569,12.318
campaign-20260925T060607Z,cpu2,groth16,9,stage_sum_ms,1 2 3 4 5 6 7 8 9 10,1a1 2a1 3a1 4a1 5a1 6a1 7a1 8a1 9a1 10a1,10,397.318,389.33574999999996,411.63025,22.294500000000028,377.499,420.346
