seq,kind,round,position,profile_id
1,primary,0,1,cpu8
2,primary,0,2,cpu2
3,primary,0,3,cpu4
4,primary,1,1,cpu4
5,primary,1,2,cpu8
6,primary,1,3,cpu2
7,primary,2,1,cpu2
8,primary,2,2,cpu4
9,primary,2,3,cpu8
10,primary,3,1,cpu8
11,primary,3,2,cpu2
12,primary,3,3,cpu4
13,primary,4,1,cpu2
14,primary,4,2,cpu4
15,primary,4,3,cpu8
16,primary,5,1,cpu8
17,primary,5,2,cpu2
18,primary,5,3,cpu4
19,primary,6,1,cpu4
20,primary,6,2,cpu8
21,primary,6,3,cpu2
22,primary,7,1,cpu8
23,primary,7,2,cpu2
24,primary,7,3,cpu4
25,primary,8,1,cpu2
26,primary,8,2,cpu4
27,primary,8,3,cpu8
28,primary,9,1,cpu4
29,primary,9,2,cpu8
30,primary,9,3,cpu2
31,primary,10,1,cpu8
32,primary,10,2,cpu2
33,primary,10,3,cpu4
34,diag,1,1,cpu2
35,diag,1,2,cpu4
36,diag,1,3,cpu8
37,diag,2,1,cpu4
38,diag,2,2,cpu8
39,diag,2,3,cpu2
40,diag,3,1,cpu8
41,diag,3,2,cpu2
42,diag,3,3,cpu4
43,diag,4,1,cpu4
44,diag,4,2,cpu8
45,diag,4,3,cpu2
46,diag,5,1,cpu8
47,diag,5,2,cpu2
48,diag,5,3,cpu4
