campaign_id,session_id,seq,kind,round,round_attempt,profile_id,phase,utc,loadavg,power_source,low_power_mode,pmset_therm
campaign-20260925T060607Z,S20260925T060607Z,1,primary,0,1,cpu8,before,2026-09-25T06:11:41Z,"4.29 3.80 3.36","AC Power",0,"Note: No thermal warning level has been recorded Note: No performance warning level has been recorded Note: No CPU power status has been recorded "
campaign-20260925T060607Z,S20260925T060607Z,1,primary,0,1,cpu8,after,2026-09-25T06:14:27Z,"4.47 3.92 3.47","AC Power",0,"Note: No thermal warning level has been recorded Note: No performance warning level has been recorded Note: No CPU power status has been recorded "
campaign-20260925T060607Z,S20260925T060607Z,2,primary,0,1,cpu2,before,2026-09-25T06:14:27Z,"4.47 3.92 3.47","AC Power",0,"Note: No thermal warning level has been recorded Note: No performance warning level has been recorded Note: No CPU power status has been recorded "
campaign-20260925T060607Z,S20260925T060607Z,2,primary,0,1,cpu2,after,2026-09-25T06:18:03Z,"2.75 3.48 3.38","AC Power",0,"Note: No thermal warning level has been recorded Note: No performance warning level has been recorded Note: No CPU power status has been recorded "
campaign-20260925T060607Z,S20260925T060607Z,3,primary,0,1,cpu4,before,2026-09-25T06:18:03Z,"2.75 3.48 3.38","AC Power",0,"Note: No thermal warning level has been recorded Note: No performance warning level has been recorded Note: No CPU power status has been recorded "
campaign-20260925T060607Z,S20260925T060607Z,3,primary,0,1,cpu4,after,2026-09-25T06:20:59Z,"3.12 3.29 3.32","AC Power",0,"Note: No thermal warning level has been recorded Note: No performance warning level has been recorded Note: No CPU power status has been recorded "
campaign-20260925T060607Z,S20260925T060607Z,4,primary,1,1,cpu4,before,2026-09-25T06:20:59Z,"3.12 3.29 3.32","AC Power",0,"Note: No thermal warning level has been recorded Note: No performance warning level has been recorded Note: No CPU power status has been recorded "
campaign-20260925T060607Z,S20260925T060607Z,4,primary,1,1,cpu4,after,2026-09-25T06:23:54Z,"2.56 3.06 3.22","AC Power",0,"Note: No thermal warning level has been recorded Note: No performance warning level has been recorded Note: No CPU power status has been recorded "
campaign-20260925T060607Z,S20260925T060607Z,5,primary,1,1,cpu8,before,2026-09-25T06:23:54Z,"2.56 3.06 3.22","AC Power",0,"Note: No thermal warning level has been recorded Note: No performance warning level has been recorded Note: No CPU power status has been recorded "
campaign-20260925T060607Z,S20260925T060607Z,5,primary,1,1,cpu8,after,2026-09-25T06:26:40Z,"3.60 3.25 3.26","AC Power",0,"Note: No thermal warning level has been recorded Note: No performance warning level has been recorded Note: No CPU power status has been recorded "
campaign-20260925T060607Z,S20260925T060607Z,6,primary,1,1,cpu2,before,2026-09-25T06:26:40Z,"3.60 3.25 3.26","AC Power",0,"Note: No thermal warning level has been recorded Note: No performance warning level has been recorded Note: No CPU power status has been recorded "
campaign-20260925T060607Z,S20260925T060607Z,6,primary,1,1,cpu2,after,2026-09-25T06:30:29Z,"2.27 2.74 3.03","AC Power",0,"Note: No thermal warning level has been recorded Note: No performance warning level has been recorded Note: No CPU power status has been recorded "
