kind,round,position,profile_id,config_seed,config_order,pair_orders
primary,0,1,cpu8,0,plonk:14;plonk:10;groth16:7;groth16:10;plonk:9;groth16:8;groth16:12;plonk:12;groth16:6;plonk:15;plonk:8;plonk:11;groth16:15;plonk:5;groth16:9;groth16:5;plonk:7;groth16:13;groth16:11;groth16:14;plonk:13;plonk:6,
primary,0,2,cpu2,0,plonk:14;plonk:10;groth16:7;groth16:10;plonk:9;groth16:8;groth16:12;plonk:12;groth16:6;plonk:15;plonk:8;plonk:11;groth16:15;plonk:5;groth16:9;groth16:5;plonk:7;groth16:13;groth16:11;groth16:14;plonk:13;plonk:6,
primary,0,3,cpu4,0,plonk:14;plonk:10;groth16:7;groth16:10;plonk:9;groth16:8;groth16:12;plonk:12;groth16:6;plonk:15;plonk:8;plonk:11;groth16:15;plonk:5;groth16:9;groth16:5;plonk:7;groth16:13;groth16:11;groth16:14;plonk:13;plonk:6,
primary,1,1,cpu4,1,groth16:7;groth16:8;plonk:14;groth16:6;plonk:11;plonk:7;groth16:5;plonk:15;plonk:5;plonk:6;plonk:8;plonk:13;plonk:10;groth16:15;plonk:9;groth16:14;groth16:12;groth16:10;groth16:13;plonk:12;groth16:9;groth16:11,
primary,1,2,cpu8,1,groth16:7;groth16:8;plonk:14;groth16:6;plonk:11;plonk:7;groth16:5;plonk:15;plonk:5;plonk:6;plonk:8;plonk:13;plonk:10;groth16:15;plonk:9;groth16:14;groth16:12;groth16:10;groth16:13;plonk:12;groth16:9;groth16:11,
primary,1,3,cpu2,1,groth16:7;groth16:8;plonk:14;groth16:6;plonk:11;plonk:7;groth16:5;plonk:15;plonk:5;plonk:6;plonk:8;plonk:13;plonk:10;groth16:15;plonk:9;groth16:14;groth16:12;groth16:10;groth16:13;plonk:12;groth16:9;groth16:11,
primary,2,1,cpu2,2,groth16:8;plonk:8;plonk:5;plonk:14;groth16:5;groth16:10;plonk:12;plonk:6;plonk:11;groth16:9;groth16:11;groth16:13;groth16:15;plonk:10;groth16:6;plonk:15;groth16:12;plonk:9;plonk:13;plonk:7;groth16:14;groth16:7,
primary,2,2,cpu4,2,groth16:8;plonk:8;plonk:5;plonk:14;groth16:5;groth16:10;plonk:12;plonk:6;plonk:11;groth16:9;groth16:11;groth16:13;groth16:15;plonk:10;groth16:6;plonk:15;groth16:12;plonk:9;plonk:13;plonk:7;groth16:14;groth16:7,
primary,2,3,cpu8,2,groth16:8;plonk:8;plonk:5;plonk:14;groth16:5;groth16:10;plonk:12;plonk:6;plonk:11;groth16:9;groth16:11;groth16:13;groth16:15;plonk:10;groth16:6;plonk:15;groth16:12;plonk:9;plonk:13;plonk:7;groth16:14;groth16:7,
primary,3,1,cpu8,3,groth16:15;groth16:14;groth16:10;groth16:8;plonk:9;plonk:13;plonk:12;groth16:13;groth16:7;plonk:5;plonk:6;groth16:5;plonk:7;groth16:6;groth16:11;plonk:10;plonk:14;plonk:8;groth16:12;groth16:9;plonk:11;plonk:15,
