Depth,Input(s),Witness(s),Prove(s),Verify(s),Total(s),Status
5,0.022,0.021,0.234,0.007,0.287,success
6,0.016,0.015,0.107,0.008,0.147,success
7,0.017,0.015,0.111,0.007,0.155,success
8,0.017,0.015,0.137,0.008,0.181,success
9,0.018,0.016,0.139,0.008,0.182,success
10,0.020,0.016,0.146,0.007,0.190,success
11,0.024,0.016,0.151,0.006,0.197,success
12,0.031,0.016,0.158,0.006,0.213,success
13,0.052,0.017,0.163,0.006,0.239,success
14,0.082,0.017,0.171,0.006,0.279,success
15,0.120,0.017,0.184,0.006,0.328,success
