Depth,Input(s),Witness(s),Prove(s),Verify(s),Total(s),Status
5,0.015,0.016,9.302,0.010,9.345,success
6,0.019,0.018,9.789,0.008,9.836,success
7,0.019,0.016,9.495,0.009,9.540,success
8,0.019,0.016,9.428,0.008,9.474,success
9,0.021,0.019,9.563,0.009,9.615,success
10,0.024,0.016,9.372,0.008,9.426,success
11,0.027,0.017,18.100,0.008,18.154,success
12,0.040,0.020,18.187,0.008,18.259,success
13,0.053,0.020,18.393,0.008,18.480,success
14,0.062,0.018,18.204,0.009,18.294,success
15,0.106,0.017,18.315,0.008,18.448,success
