Depth,Input(s),Witness(s),Prove(s),Verify(s),Total(s),Status
5,0.247,0.276,1.889,1.387,3.801,success
6,0.242,0.271,1.748,1.392,3.655,success
7,0.238,0.269,1.868,1.281,3.658,success
8,0.245,0.273,1.855,1.325,3.699,success
9,0.236,0.269,1.801,1.314,3.622,success
10,0.242,0.272,1.814,1.274,3.602,success
11,0.247,0.269,1.858,1.288,3.663,success
12,0.237,0.272,1.858,1.292,3.661,success
13,0.236,0.276,1.855,1.292,3.659,success
14,0.236,0.276,1.982,1.376,3.871,success
15,0.240,0.269,1.914,1.308,3.732,success
