Depth,Input(s),Witness(s),Prove(s),Verify(s),Total(s),Status
5,0.245,0.272,51.748,1.301,53.567,success
6,0.238,0.273,50.109,1.283,51.905,success
7,0.240,0.270,49.958,1.281,51.750,success
8,0.238,0.279,50.710,1.331,52.560,success
9,0.238,0.275,50.752,1.338,52.606,success
10,0.237,0.270,50.437,1.323,52.267,success
11,0.239,0.271,98.949,1.288,100.748,success
12,0.244,0.274,89.457,1.193,91.168,success
13,0.219,0.247,100.421,1.294,102.182,success
14,0.237,0.283,96.836,1.453,98.810,success
15,0.246,0.286,97.541,1.205,99.279,success
