Depth,Input(s),Witness(s),Prove(s),Verify(s),Total(s),Status
5,0.048,0.059,17.961,0.350,18.419,success
6,0.048,0.060,17.012,0.327,17.447,success
7,0.221,0.126,17.923,0.328,18.601,success
8,0.053,0.065,17.092,0.332,17.543,success
9,0.051,0.066,17.036,0.320,17.474,success
10,0.050,0.085,16.943,0.443,17.531,success
11,0.053,0.060,33.417,0.335,33.865,success
12,0.050,0.062,33.941,0.326,34.380,success
13,0.051,0.064,32.565,0.352,33.033,success
14,0.049,0.060,32.377,0.336,32.824,success
15,0.050,0.061,32.824,0.333,33.269,success
