Depth,Input(s),Witness(s),Prove(s),Verify(s),Total(s),Status
5,0.048,0.069,1.062,0.776,1.956,success
6,0.044,0.079,1.003,0.758,1.885,success
7,0.046,0.076,1.042,0.791,1.955,success
8,0.048,0.073,1.098,0.780,2.000,success
9,0.050,0.081,1.073,0.772,1.977,success
10,0.047,0.081,1.161,0.784,2.073,success
11,0.054,0.075,1.112,0.758,1.999,success
12,0.044,0.071,1.060,0.780,1.955,success
13,0.047,0.074,1.025,0.760,1.908,success
14,0.052,0.073,1.121,0.775,2.021,success
15,0.046,0.074,1.114,0.798,2.033,success
